'Time and date','MCL1','II','V','ABP','PLETH','RESP'
'[19:41:12.090 19/11/1995]',0.016,-0.022,0.004,84.151,-0.049,-0.196
'[19:41:12.092 19/11/1995]',0.014,-0.025,0.046,84.151,-0.049,-0.196
'[19:41:12.094 19/11/1995]',0.012,-0.028,0.046,84.151,-0.049,-0.196
'[19:41:12.096 19/11/1995]',0.009,-0.028,0.004,84.252,-0.075,-0.198
'[19:41:12.098 19/11/1995]',0.006,-0.028,0.004,84.252,-0.075,-0.198
'[19:41:12.100 19/11/1995]',0.002,-0.027,0.004,84.252,-0.075,-0.198
'[19:41:12.102 19/11/1995]',-0.001,-0.026,0.004,84.252,-0.075,-0.198
'[19:41:12.104 19/11/1995]',-0.002,-0.024,0.004,84.303,-0.100,-0.200
'[19:41:12.106 19/11/1995]',-0.004,-0.022,0.004,84.303,-0.100,-0.200
'[19:41:12.108 19/11/1995]',-0.002,-0.021,0.004,84.303,-0.100,-0.200
'[19:41:12.110 19/11/1995]',0.000,-0.019,0.004,84.303,-0.100,-0.200
'[19:41:12.112 19/11/1995]',0.002,-0.017,0.004,84.252,-0.122,-0.201
'[19:41:12.114 19/11/1995]',0.005,-0.015,0.004,84.252,-0.122,-0.201
'[19:41:12.116 19/11/1995]',0.007,-0.015,0.004,84.252,-0.122,-0.201
'[19:41:12.118 19/11/1995]',0.008,-0.015,0.004,84.252,-0.122,-0.201
'[19:41:12.120 19/11/1995]',0.010,-0.018,0.004,84.151,-0.143,-0.203
'[19:41:12.122 19/11/1995]',0.011,-0.021,0.004,84.151,-0.143,-0.203
'[19:41:12.124 19/11/1995]',0.011,-0.024,0.004,84.151,-0.143,-0.203
'[19:41:12.126 19/11/1995]',0.012,-0.028,0.004,84.151,-0.143,-0.203
'[19:41:12.128 19/11/1995]',0.013,-0.033,0.004,83.950,-0.161,-0.204
'[19:41:12.130 19/11/1995]',0.014,-0.037,0.004,83.950,-0.161,-0.204
'[19:41:12.132 19/11/1995]',0.016,-0.042,0.004,83.950,-0.161,-0.204
'[19:41:12.134 19/11/1995]',0.017,-0.047,0.004,83.950,-0.161,-0.204
'[19:41:12.136 19/11/1995]',0.017,-0.050,0.004,83.748,-0.175,-0.205
'[19:41:12.138 19/11/1995]',0.017,-0.054,0.004,83.748,-0.175,-0.205
'[19:41:12.140 19/11/1995]',0.014,-0.055,0.004,83.748,-0.175,-0.205
'[19:41:12.142 19/11/1995]',0.011,-0.056,0.004,83.748,-0.175,-0.205
'[19:41:12.144 19/11/1995]',0.007,-0.055,0.004,83.446,-0.190,-0.206
'[19:41:12.146 19/11/1995]',0.004,-0.054,0.004,83.446,-0.190,-0.206
'[19:41:12.148 19/11/1995]',0.001,-0.050,0.004,83.446,-0.190,-0.206
'[19:41:12.150 19/11/1995]',-0.002,-0.047,0.004,83.446,-0.190,-0.206
'[19:41:12.152 19/11/1995]',-0.004,-0.039,-0.040,83.093,-0.201,-0.207
'[19:41:12.154 19/11/1995]',-0.005,-0.032,0.004,83.093,-0.201,-0.207
'[19:41:12.156 19/11/1995]',-0.004,-0.026,0.004,83.093,-0.201,-0.207
'[19:41:12.158 19/11/1995]',-0.002,-0.021,0.004,83.093,-0.201,-0.207
'[19:41:12.160 19/11/1995]',0.001,-0.019,0.004,82.588,-0.212,-0.209
'[19:41:12.162 19/11/1995]',0.004,-0.017,0.004,82.588,-0.212,-0.209
'[19:41:12.164 19/11/1995]',0.007,-0.017,0.004,82.588,-0.212,-0.209
'[19:41:12.166 19/11/1995]',0.010,-0.017,0.004,82.588,-0.212,-0.209
'[19:41:12.168 19/11/1995]',0.011,-0.018,0.004,82.084,-0.223,-0.212
'[19:41:12.170 19/11/1995]',0.012,-0.019,0.004,82.084,-0.223,-0.212
'[19:41:12.172 19/11/1995]',0.010,-0.021,0.004,82.084,-0.223,-0.212
'[19:41:12.174 19/11/1995]',0.008,-0.022,0.004,82.084,-0.223,-0.212
'[19:41:12.176 19/11/1995]',0.005,-0.026,0.004,81.530,-0.231,-0.216
'[19:41:12.178 19/11/1995]',0.002,-0.030,0.004,81.530,-0.231,-0.216
'[19:41:12.180 19/11/1995]',0.001,-0.033,0.004,81.530,-0.231,-0.216
'[19:41:12.182 19/11/1995]',0.000,-0.035,0.004,81.530,-0.231,-0.216
'[19:41:12.184 19/11/1995]',0.001,-0.038,0.004,80.925,-0.241,-0.222
'[19:41:12.186 19/11/1995]',0.002,-0.041,0.004,80.925,-0.241,-0.222
'[19:41:12.188 19/11/1995]',0.007,-0.042,0.004,80.925,-0.241,-0.222
'[19:41:12.190 19/11/1995]',0.012,-0.043,0.046,80.925,-0.241,-0.222
'[19:41:12.192 19/11/1995]',0.015,-0.042,0.046,80.370,-0.250,-0.227
'[19:41:12.194 19/11/1995]',0.018,-0.041,0.046,80.370,-0.250,-0.227
'[19:41:12.196 19/11/1995]',0.017,-0.041,0.004,80.370,-0.250,-0.227
'[19:41:12.198 19/11/1995]',0.016,-0.041,0.004,80.370,-0.250,-0.227
'[19:41:12.200 19/11/1995]',0.010,-0.041,0.004,79.714,-0.259,-0.231
'[19:41:12.202 19/11/1995]',0.005,-0.041,0.004,79.714,-0.259,-0.231
'[19:41:12.204 19/11/1995]',-0.002,-0.042,0.004,79.714,-0.259,-0.231
'[19:41:12.206 19/11/1995]',-0.010,-0.043,0.004,79.714,-0.259,-0.231
'[19:41:12.208 19/11/1995]',-0.013,-0.044,0.004,79.109,-0.269,-0.235
'[19:41:12.210 19/11/1995]',-0.017,-0.045,0.004,79.109,-0.269,-0.235
'[19:41:12.212 19/11/1995]',-0.015,-0.045,0.004,79.109,-0.269,-0.235
'[19:41:12.214 19/11/1995]',-0.013,-0.045,0.004,79.109,-0.269,-0.235
'[19:41:12.216 19/11/1995]',-0.008,-0.043,0.004,78.504,-0.279,-0.238
'[19:41:12.218 19/11/1995]',-0.004,-0.041,0.004,78.504,-0.279,-0.238
'[19:41:12.220 19/11/1995]',0.001,-0.040,0.004,78.504,-0.279,-0.238
'[19:41:12.222 19/11/1995]',0.005,-0.039,0.004,78.504,-0.279,-0.238
'[19:41:12.224 19/11/1995]',0.006,-0.037,0.004,77.950,-0.288,-0.242
'[19:41:12.226 19/11/1995]',0.007,-0.035,0.004,77.950,-0.288,-0.242
'[19:41:12.228 19/11/1995]',0.006,-0.035,0.004,77.950,-0.288,-0.242
'[19:41:12.230 19/11/1995]',0.005,-0.034,0.004,77.950,-0.288,-0.242
'[19:41:12.232 19/11/1995]',0.003,-0.035,0.004,77.345,-0.298,-0.246
'[19:41:12.234 19/11/1995]',0.001,-0.037,0.004,77.345,-0.298,-0.246
'[19:41:12.236 19/11/1995]',0.002,-0.040,0.004,77.345,-0.298,-0.246
'[19:41:12.238 19/11/1995]',0.004,-0.043,0.004,77.345,-0.298,-0.246
'[19:41:12.240 19/11/1995]',0.006,-0.046,0.004,76.740,-0.309,-0.251
'[19:41:12.242 19/11/1995]',0.008,-0.049,0.004,76.740,-0.309,-0.251
'[19:41:12.244 19/11/1995]',0.011,-0.054,0.004,76.740,-0.309,-0.251
'[19:41:12.246 19/11/1995]',0.013,-0.060,0.004,76.740,-0.309,-0.251
'[19:41:12.248 19/11/1995]',0.013,-0.063,0.004,76.235,-0.321,-0.255
'[19:41:12.250 19/11/1995]',0.013,-0.067,0.004,76.235,-0.321,-0.255
'[19:41:12.252 19/11/1995]',0.014,-0.068,0.004,76.235,-0.321,-0.255
'[19:41:12.254 19/11/1995]',0.014,-0.069,0.004,76.235,-0.321,-0.255
'[19:41:12.256 19/11/1995]',0.015,-0.067,0.004,75.681,-0.331,-0.260
'[19:41:12.258 19/11/1995]',0.016,-0.065,0.004,75.681,-0.331,-0.260
'[19:41:12.260 19/11/1995]',0.014,-0.060,0.004,75.681,-0.331,-0.260
'[19:41:12.262 19/11/1995]',0.013,-0.054,0.004,75.681,-0.331,-0.260
'[19:41:12.264 19/11/1995]',0.010,-0.047,0.004,75.227,-0.341,-0.265
'[19:41:12.266 19/11/1995]',0.007,-0.039,0.004,75.227,-0.341,-0.265
'[19:41:12.268 19/11/1995]',0.005,-0.033,0.004,75.227,-0.341,-0.265
'[19:41:12.270 19/11/1995]',0.004,-0.026,0.004,75.227,-0.341,-0.265
'[19:41:12.272 19/11/1995]',0.005,-0.021,0.004,74.723,-0.350,-0.270
'[19:41:12.274 19/11/1995]',0.006,-0.017,0.004,74.723,-0.350,-0.270
'[19:41:12.276 19/11/1995]',0.010,-0.013,0.046,74.723,-0.350,-0.270
'[19:41:12.278 19/11/1995]',0.013,-0.009,0.004,74.723,-0.350,-0.270
'[19:41:12.280 19/11/1995]',0.016,-0.007,0.004,74.319,-0.360,-0.275
'[19:41:12.282 19/11/1995]',0.018,-0.006,0.004,74.319,-0.360,-0.275
'[19:41:12.284 19/11/1995]',0.019,-0.007,0.004,74.319,-0.360,-0.275
'[19:41:12.286 19/11/1995]',0.019,-0.009,0.004,74.319,-0.360,-0.275
'[19:41:12.288 19/11/1995]',0.016,-0.012,0.004,73.866,-0.368,-0.280
'[19:41:12.290 19/11/1995]',0.012,-0.015,0.004,73.866,-0.368,-0.280
'[19:41:12.292 19/11/1995]',0.007,-0.019,0.004,73.866,-0.368,-0.280
'[19:41:12.294 19/11/1995]',0.002,-0.022,0.004,73.866,-0.368,-0.280
'[19:41:12.296 19/11/1995]',-0.001,-0.026,0.004,73.361,-0.376,-0.284
'[19:41:12.298 19/11/1995]',-0.005,-0.030,0.004,73.361,-0.376,-0.284
'[19:41:12.300 19/11/1995]',-0.005,-0.032,0.004,73.361,-0.376,-0.284
'[19:41:12.302 19/11/1995]',-0.005,-0.034,0.004,73.361,-0.376,-0.284
'[19:41:12.304 19/11/1995]',-0.002,-0.035,0.004,72.908,-0.384,-0.288
'[19:41:12.306 19/11/1995]',0.000,-0.035,0.004,72.908,-0.384,-0.288
'[19:41:12.308 19/11/1995]',0.002,-0.035,0.046,72.908,-0.384,-0.288
'[19:41:12.310 19/11/1995]',0.005,-0.034,0.004,72.908,-0.384,-0.288
'[19:41:12.312 19/11/1995]',0.007,-0.031,0.004,72.454,-0.389,-0.291
'[19:41:12.314 19/11/1995]',0.008,-0.028,0.004,72.454,-0.389,-0.291
'[19:41:12.316 19/11/1995]',0.010,-0.024,0.004,72.454,-0.389,-0.291
'[19:41:12.318 19/11/1995]',0.011,-0.021,0.004,72.454,-0.389,-0.291
'[19:41:12.320 19/11/1995]',0.011,-0.021,0.004,71.950,-0.396,-0.295
'[19:41:12.322 19/11/1995]',0.012,-0.021,0.004,71.950,-0.396,-0.295
'[19:41:12.324 19/11/1995]',0.013,-0.022,0.004,71.950,-0.396,-0.295
'[19:41:12.326 19/11/1995]',0.014,-0.024,0.004,71.950,-0.396,-0.295
'[19:41:12.328 19/11/1995]',0.016,-0.029,0.004,71.546,-0.402,-0.298
'[19:41:12.330 19/11/1995]',0.017,-0.034,0.004,71.546,-0.402,-0.298
'[19:41:12.332 19/11/1995]',0.017,-0.035,0.004,71.546,-0.402,-0.298
'[19:41:12.334 19/11/1995]',0.017,-0.037,0.004,71.546,-0.402,-0.298
'[19:41:12.336 19/11/1995]',0.015,-0.039,0.004,71.193,-0.407,-0.302
'[19:41:12.338 19/11/1995]',0.013,-0.041,0.004,71.193,-0.407,-0.302
'[19:41:12.340 19/11/1995]',0.012,-0.041,0.004,71.193,-0.407,-0.302
'[19:41:12.342 19/11/1995]',0.011,-0.041,0.004,71.193,-0.407,-0.302
'[19:41:12.344 19/11/1995]',0.010,-0.040,0.004,70.840,-0.410,-0.307
'[19:41:12.346 19/11/1995]',0.010,-0.039,0.004,70.840,-0.410,-0.307
'[19:41:12.348 19/11/1995]',0.009,-0.036,0.004,70.840,-0.410,-0.307
'[19:41:12.350 19/11/1995]',0.008,-0.034,0.004,70.840,-0.410,-0.307
'[19:41:12.352 19/11/1995]',0.011,-0.028,0.004,70.488,-0.415,-0.311
'[19:41:12.354 19/11/1995]',0.014,-0.022,0.004,70.488,-0.415,-0.311
'[19:41:12.356 19/11/1995]',0.018,-0.014,0.004,70.488,-0.415,-0.311
'[19:41:12.358 19/11/1995]',0.021,-0.006,0.046,70.488,-0.415,-0.311
'[19:41:12.360 19/11/1995]',0.025,0.002,0.046,70.185,-0.418,-0.316
'[19:41:12.362 19/11/1995]',0.029,0.009,0.046,70.185,-0.418,-0.316
'[19:41:12.364 19/11/1995]',0.031,0.011,0.004,70.185,-0.418,-0.316
'[19:41:12.366 19/11/1995]',0.033,0.013,0.004,70.185,-0.418,-0.316
'[19:41:12.368 19/11/1995]',0.034,0.013,0.004,69.832,-0.422,-0.321
'[19:41:12.370 19/11/1995]',0.035,0.013,0.004,69.832,-0.422,-0.321
'[19:41:12.372 19/11/1995]',0.033,0.014,0.004,69.832,-0.422,-0.321
'[19:41:12.374 19/11/1995]',0.031,0.015,0.046,69.832,-0.422,-0.321
'[19:41:12.376 19/11/1995]',0.031,0.017,0.046,69.530,-0.425,-0.326
'[19:41:12.378 19/11/1995]',0.031,0.019,0.046,69.530,-0.425,-0.326
'[19:41:12.380 19/11/1995]',0.034,0.021,0.046,69.530,-0.425,-0.326
'[19:41:12.382 19/11/1995]',0.037,0.024,0.046,69.530,-0.425,-0.326
'[19:41:12.384 19/11/1995]',0.044,0.029,0.046,69.328,-0.420,-0.331
'[19:41:12.386 19/11/1995]',0.051,0.034,0.046,69.328,-0.420,-0.331
'[19:41:12.388 19/11/1995]',0.061,0.038,0.046,69.328,-0.420,-0.331
'[19:41:12.390 19/11/1995]',0.070,0.043,0.089,69.328,-0.420,-0.331
'[19:41:12.392 19/11/1995]',0.076,0.046,0.089,69.076,-0.422,-0.336
'[19:41:12.394 19/11/1995]',0.081,0.049,0.089,69.076,-0.422,-0.336
'[19:41:12.396 19/11/1995]',0.081,0.052,0.046,69.076,-0.422,-0.336
'[19:41:12.398 19/11/1995]',0.080,0.056,0.004,69.076,-0.422,-0.336
'[19:41:12.400 19/11/1995]',0.074,0.059,0.004,68.874,-0.424,-0.341
'[19:41:12.402 19/11/1995]',0.068,0.062,0.004,68.874,-0.424,-0.341
'[19:41:12.404 19/11/1995]',0.060,0.065,0.004,68.874,-0.424,-0.341
'[19:41:12.406 19/11/1995]',0.053,0.069,0.004,68.874,-0.424,-0.341
'[19:41:12.408 19/11/1995]',0.045,0.073,0.046,68.723,-0.428,-0.345
'[19:41:12.410 19/11/1995]',0.037,0.077,0.046,68.723,-0.428,-0.345
'[19:41:12.412 19/11/1995]',0.032,0.080,0.004,68.723,-0.428,-0.345
'[19:41:12.414 19/11/1995]',0.027,0.084,0.004,68.723,-0.428,-0.345
'[19:41:12.416 19/11/1995]',0.024,0.090,0.004,68.521,-0.429,-0.350
'[19:41:12.418 19/11/1995]',0.020,0.095,0.004,68.521,-0.429,-0.350
'[19:41:12.420 19/11/1995]',0.017,0.098,0.004,68.521,-0.429,-0.350
'[19:41:12.422 19/11/1995]',0.014,0.101,0.004,68.521,-0.429,-0.350
'[19:41:12.424 19/11/1995]',0.010,0.097,0.004,68.370,-0.428,-0.355
'[19:41:12.426 19/11/1995]',0.006,0.093,0.004,68.370,-0.428,-0.355
'[19:41:12.428 19/11/1995]',0.002,0.085,0.004,68.370,-0.428,-0.355
'[19:41:12.430 19/11/1995]',-0.002,0.077,0.004,68.370,-0.428,-0.355
'[19:41:12.432 19/11/1995]',-0.007,0.066,0.004,68.118,-0.429,-0.359
'[19:41:12.434 19/11/1995]',-0.012,0.056,-0.040,68.118,-0.429,-0.359
'[19:41:12.436 19/11/1995]',-0.017,0.048,-0.040,68.118,-0.429,-0.359
'[19:41:12.438 19/11/1995]',-0.023,0.039,0.004,68.118,-0.429,-0.359
'[19:41:12.440 19/11/1995]',-0.025,0.035,0.004,67.866,-0.428,-0.362
'[19:41:12.442 19/11/1995]',-0.027,0.030,0.004,67.866,-0.428,-0.362
'[19:41:12.444 19/11/1995]',-0.027,0.026,0.004,67.866,-0.428,-0.362
'[19:41:12.446 19/11/1995]',-0.026,0.022,0.004,67.866,-0.428,-0.362
'[19:41:12.448 19/11/1995]',-0.023,0.017,-0.040,67.714,-0.426,-0.365
'[19:41:12.450 19/11/1995]',-0.019,0.011,-0.040,67.714,-0.426,-0.365
'[19:41:12.452 19/11/1995]',-0.014,0.003,-0.040,67.714,-0.426,-0.365
'[19:41:12.454 19/11/1995]',-0.008,-0.006,0.004,67.714,-0.426,-0.365
'[19:41:12.456 19/11/1995]',-0.003,-0.013,0.004,67.614,-0.424,-0.367
'[19:41:12.458 19/11/1995]',0.002,-0.021,0.004,67.614,-0.424,-0.367
'[19:41:12.460 19/11/1995]',0.006,-0.026,0.004,67.614,-0.424,-0.367
'[19:41:12.462 19/11/1995]',0.010,-0.032,0.004,67.614,-0.424,-0.367
'[19:41:12.464 19/11/1995]',0.011,-0.035,0.004,67.462,-0.424,-0.368
'[19:41:12.466 19/11/1995]',0.013,-0.039,0.004,67.462,-0.424,-0.368
'[19:41:12.468 19/11/1995]',0.013,-0.044,0.004,67.462,-0.424,-0.368
'[19:41:12.470 19/11/1995]',0.012,-0.049,0.004,67.462,-0.424,-0.368
'[19:41:12.472 19/11/1995]',0.010,-0.054,0.004,67.361,-0.421,-0.369
'[19:41:12.474 19/11/1995]',0.008,-0.060,0.004,67.361,-0.421,-0.369
'[19:41:12.476 19/11/1995]',0.006,-0.064,0.004,67.361,-0.421,-0.369
'[19:41:12.478 19/11/1995]',0.004,-0.069,0.004,67.361,-0.421,-0.369
'[19:41:12.480 19/11/1995]',0.003,-0.072,0.004,67.261,-0.420,-0.369
'[19:41:12.482 19/11/1995]',0.002,-0.075,0.004,67.261,-0.420,-0.369
'[19:41:12.484 19/11/1995]',0.002,-0.076,0.004,67.261,-0.420,-0.369
'[19:41:12.486 19/11/1995]',0.001,-0.077,0.004,67.261,-0.420,-0.369
'[19:41:12.488 19/11/1995]',0.003,-0.077,0.004,67.109,-0.416,-0.369
'[19:41:12.490 19/11/1995]',0.005,-0.078,0.004,67.109,-0.416,-0.369
'[19:41:12.492 19/11/1995]',0.011,-0.084,0.046,67.109,-0.416,-0.369
'[19:41:12.494 19/11/1995]',0.018,-0.090,0.046,67.109,-0.416,-0.369
'[19:41:12.496 19/11/1995]',0.032,-0.098,0.089,67.009,-0.413,-0.369
'[19:41:12.498 19/11/1995]',0.045,-0.106,0.089,67.009,-0.413,-0.369
'[19:41:12.500 19/11/1995]',0.064,-0.110,0.133,67.009,-0.413,-0.369
'[19:41:12.502 19/11/1995]',0.084,-0.114,0.133,67.009,-0.413,-0.369
'[19:41:12.504 19/11/1995]',0.105,-0.106,0.177,66.807,-0.409,-0.369
'[19:41:12.506 19/11/1995]',0.127,-0.099,0.220,66.807,-0.409,-0.369
'[19:41:12.508 19/11/1995]',0.147,-0.070,0.220,66.807,-0.409,-0.369
'[19:41:12.510 19/11/1995]',0.167,-0.041,0.220,66.807,-0.409,-0.369
'[19:41:12.512 19/11/1995]',0.180,0.017,0.177,66.706,-0.406,-0.369
'[19:41:12.514 19/11/1995]',0.193,0.075,0.133,66.706,-0.406,-0.369
'[19:41:12.516 19/11/1995]',0.189,0.162,0.133,66.706,-0.406,-0.369
'[19:41:12.518 19/11/1995]',0.185,0.248,0.133,66.706,-0.406,-0.369
'[19:41:12.520 19/11/1995]',0.153,0.363,0.089,66.555,-0.402,-0.369
'[19:41:12.522 19/11/1995]',0.121,0.478,0.004,66.555,-0.402,-0.369
'[19:41:12.524 19/11/1995]',0.059,0.610,-0.171,66.555,-0.402,-0.369
'[19:41:12.526 19/11/1995]',-0.004,0.741,-0.345,66.555,-0.402,-0.369
'[19:41:12.528 19/11/1995]',-0.084,0.868,-0.520,66.353,-0.399,-0.368
'[19:41:12.530 19/11/1995]',-0.165,0.995,-0.692,66.353,-0.399,-0.368
'[19:41:12.532 19/11/1995]',-0.245,1.080,-0.780,66.353,-0.399,-0.368
'[19:41:12.534 19/11/1995]',-0.326,1.165,-0.823,66.353,-0.399,-0.368
'[19:41:12.536 19/11/1995]',-0.389,1.176,-0.823,66.151,-0.394,-0.366
'[19:41:12.538 19/11/1995]',-0.451,1.188,-0.823,66.151,-0.394,-0.366
'[19:41:12.540 19/11/1995]',-0.491,1.113,-0.780,66.151,-0.394,-0.366
'[19:41:12.542 19/11/1995]',-0.531,1.038,-0.736,66.151,-0.394,-0.366
'[19:41:12.544 19/11/1995]',-0.555,0.894,-0.736,65.950,-0.390,-0.365
'[19:41:12.546 19/11/1995]',-0.578,0.749,-0.736,65.950,-0.390,-0.365
'[19:41:12.548 19/11/1995]',-0.591,0.576,-0.736,65.950,-0.390,-0.365
'[19:41:12.550 19/11/1995]',-0.604,0.403,-0.692,65.950,-0.390,-0.365
'[19:41:12.552 19/11/1995]',-0.608,0.246,-0.649,65.647,-0.385,-0.364
'[19:41:12.554 19/11/1995]',-0.611,0.090,-0.607,65.647,-0.385,-0.364
'[19:41:12.556 19/11/1995]',-0.599,-0.018,-0.520,65.647,-0.385,-0.364
'[19:41:12.558 19/11/1995]',-0.586,-0.125,-0.476,65.647,-0.385,-0.364
'[19:41:12.560 19/11/1995]',-0.552,-0.176,-0.389,65.345,-0.382,-0.363
'[19:41:12.562 19/11/1995]',-0.518,-0.228,-0.345,65.345,-0.382,-0.363
'[19:41:12.564 19/11/1995]',-0.465,-0.235,-0.302,65.345,-0.382,-0.363
'[19:41:12.566 19/11/1995]',-0.412,-0.243,-0.214,65.345,-0.382,-0.363
'[19:41:12.568 19/11/1995]',-0.348,-0.225,-0.171,65.042,-0.380,-0.362
'[19:41:12.570 19/11/1995]',-0.284,-0.207,-0.083,65.042,-0.380,-0.362
'[19:41:12.572 19/11/1995]',-0.222,-0.186,-0.040,65.042,-0.380,-0.362
'[19:41:12.574 19/11/1995]',-0.160,-0.164,0.004,65.042,-0.380,-0.362
'[19:41:12.576 19/11/1995]',-0.112,-0.148,0.004,64.740,-0.377,-0.362
'[19:41:12.578 19/11/1995]',-0.064,-0.131,0.046,64.740,-0.377,-0.362
'[19:41:12.580 19/11/1995]',-0.035,-0.120,0.004,64.740,-0.377,-0.362
'[19:41:12.582 19/11/1995]',-0.006,-0.110,0.004,64.740,-0.377,-0.362
'[19:41:12.584 19/11/1995]',0.008,-0.108,0.004,64.387,-0.374,-0.362
'[19:41:12.586 19/11/1995]',0.021,-0.106,0.004,64.387,-0.374,-0.362
'[19:41:12.588 19/11/1995]',0.025,-0.110,0.046,64.387,-0.374,-0.362
'[19:41:12.590 19/11/1995]',0.029,-0.114,0.046,64.387,-0.374,-0.362
'[19:41:12.592 19/11/1995]',0.028,-0.119,0.046,64.034,-0.371,-0.363
'[19:41:12.594 19/11/1995]',0.027,-0.123,0.046,64.034,-0.371,-0.363
'[19:41:12.596 19/11/1995]',0.029,-0.128,0.046,64.034,-0.371,-0.363
'[19:41:12.598 19/11/1995]',0.030,-0.133,0.046,64.034,-0.371,-0.363
'[19:41:12.600 19/11/1995]',0.030,-0.134,0.046,63.681,-0.370,-0.365
'[19:41:12.602 19/11/1995]',0.031,-0.136,0.046,63.681,-0.370,-0.365
'[19:41:12.604 19/11/1995]',0.031,-0.137,0.046,63.681,-0.370,-0.365
'[19:41:12.606 19/11/1995]',0.031,-0.138,0.046,63.681,-0.370,-0.365
'[19:41:12.608 19/11/1995]',0.033,-0.136,0.089,63.328,-0.368,-0.366
'[19:41:12.610 19/11/1995]',0.035,-0.134,0.089,63.328,-0.368,-0.366
'[19:41:12.612 19/11/1995]',0.038,-0.133,0.046,63.328,-0.368,-0.366
'[19:41:12.614 19/11/1995]',0.042,-0.131,0.046,63.328,-0.368,-0.366
'[19:41:12.616 19/11/1995]',0.047,-0.129,0.046,63.126,-0.368,-0.367
'[19:41:12.618 19/11/1995]',0.053,-0.127,0.046,63.126,-0.368,-0.367
'[19:41:12.620 19/11/1995]',0.058,-0.125,0.046,63.126,-0.368,-0.367
'[19:41:12.622 19/11/1995]',0.063,-0.123,0.046,63.126,-0.368,-0.367
'[19:41:12.624 19/11/1995]',0.067,-0.120,0.089,62.824,-0.365,-0.367
'[19:41:12.626 19/11/1995]',0.070,-0.116,0.089,62.824,-0.365,-0.367
'[19:41:12.628 19/11/1995]',0.073,-0.112,0.089,62.824,-0.365,-0.367
'[19:41:12.630 19/11/1995]',0.075,-0.108,0.046,62.824,-0.365,-0.367
'[19:41:12.632 19/11/1995]',0.076,-0.105,0.046,62.572,-0.364,-0.367
'[19:41:12.634 19/11/1995]',0.078,-0.101,0.046,62.572,-0.364,-0.367
'[19:41:12.636 19/11/1995]',0.078,-0.098,0.046,62.572,-0.364,-0.367
'[19:41:12.638 19/11/1995]',0.079,-0.095,0.046,62.572,-0.364,-0.367
'[19:41:12.640 19/11/1995]',0.078,-0.092,0.089,62.319,-0.363,-0.367
'[19:41:12.642 19/11/1995]',0.076,-0.090,0.089,62.319,-0.363,-0.367
'[19:41:12.644 19/11/1995]',0.075,-0.090,0.089,62.319,-0.363,-0.367
'[19:41:12.646 19/11/1995]',0.074,-0.090,0.046,62.319,-0.363,-0.367
'[19:41:12.648 19/11/1995]',0.074,-0.092,0.046,62.017,-0.362,-0.370
'[19:41:12.650 19/11/1995]',0.074,-0.093,0.046,62.017,-0.362,-0.370
'[19:41:12.652 19/11/1995]',0.074,-0.098,0.004,62.017,-0.362,-0.370
'[19:41:12.654 19/11/1995]',0.074,-0.103,0.046,62.017,-0.362,-0.370
'[19:41:12.656 19/11/1995]',0.075,-0.107,0.046,61.765,-0.362,-0.374
'[19:41:12.658 19/11/1995]',0.075,-0.112,0.089,61.765,-0.362,-0.374
'[19:41:12.660 19/11/1995]',0.076,-0.115,0.089,61.765,-0.362,-0.374
'[19:41:12.662 19/11/1995]',0.076,-0.118,0.089,61.765,-0.362,-0.374
'[19:41:12.664 19/11/1995]',0.076,-0.117,0.046,61.311,-0.361,-0.380
'[19:41:12.666 19/11/1995]',0.075,-0.116,0.046,61.311,-0.361,-0.380
'[19:41:12.668 19/11/1995]',0.075,-0.113,0.046,61.311,-0.361,-0.380
'[19:41:12.670 19/11/1995]',0.075,-0.110,0.046,61.311,-0.361,-0.380
'[19:41:12.672 19/11/1995]',0.077,-0.106,0.046,60.958,-0.359,-0.386
'[19:41:12.674 19/11/1995]',0.079,-0.101,0.089,60.958,-0.359,-0.386
'[19:41:12.676 19/11/1995]',0.081,-0.098,0.089,60.958,-0.359,-0.386
'[19:41:12.678 19/11/1995]',0.082,-0.095,0.089,60.958,-0.359,-0.386
'[19:41:12.680 19/11/1995]',0.083,-0.093,0.089,60.605,-0.358,-0.393
'[19:41:12.682 19/11/1995]',0.084,-0.092,0.046,60.605,-0.358,-0.393
'[19:41:12.684 19/11/1995]',0.082,-0.094,0.046,60.605,-0.358,-0.393
'[19:41:12.686 19/11/1995]',0.080,-0.097,0.046,60.605,-0.358,-0.393
'[19:41:12.688 19/11/1995]',0.076,-0.100,0.046,60.504,-0.353,-0.400
'[19:41:12.690 19/11/1995]',0.073,-0.103,0.046,60.504,-0.353,-0.400
'[19:41:12.692 19/11/1995]',0.069,-0.102,0.046,60.504,-0.353,-0.400
'[19:41:12.694 19/11/1995]',0.066,-0.101,0.046,60.504,-0.353,-0.400
'[19:41:12.696 19/11/1995]',0.064,-0.098,0.046,60.807,-0.350,-0.407
'[19:41:12.698 19/11/1995]',0.063,-0.095,0.046,60.807,-0.350,-0.407
'[19:41:12.700 19/11/1995]',0.065,-0.091,0.046,60.807,-0.350,-0.407
'[19:41:12.702 19/11/1995]',0.067,-0.086,0.046,60.807,-0.350,-0.407
'[19:41:12.704 19/11/1995]',0.067,-0.080,0.046,61.765,-0.347,-0.415
'[19:41:12.706 19/11/1995]',0.068,-0.075,0.046,61.765,-0.347,-0.415
