'Time and date','MCL1','I','V','ABP','PAP','PLETH','RESP'
'[10:55:57.154 10/11/1995]',0.060,-0.068,0.029,50.250,25.850,-0.485,0.160
'[10:55:57.156 10/11/1995]',0.060,-0.068,0.022,50.250,25.850,-0.485,0.160
'[10:55:57.158 10/11/1995]',0.060,-0.056,0.022,50.250,25.850,-0.485,0.160
'[10:55:57.160 10/11/1995]',0.060,-0.045,0.022,50.150,32.750,-0.489,0.149
'[10:55:57.162 10/11/1995]',0.060,-0.045,0.022,50.150,32.750,-0.489,0.149
'[10:55:57.164 10/11/1995]',0.040,-0.045,0.015,50.150,32.750,-0.489,0.149
'[10:55:57.166 10/11/1995]',0.060,-0.045,0.015,50.150,32.750,-0.489,0.149
'[10:55:57.168 10/11/1995]',0.060,-0.045,0.015,50.000,39.675,-0.493,0.140
'[10:55:57.170 10/11/1995]',0.060,-0.033,0.008,50.000,39.675,-0.493,0.140
'[10:55:57.172 10/11/1995]',0.040,-0.033,0.008,50.000,39.675,-0.493,0.140
'[10:55:57.174 10/11/1995]',0.060,-0.033,0.001,50.000,39.675,-0.493,0.140
'[10:55:57.176 10/11/1995]',0.040,-0.022,-0.007,50.200,45.000,-0.493,0.131
'[10:55:57.178 10/11/1995]',0.040,-0.010,-0.007,50.200,45.000,-0.493,0.131
'[10:55:57.180 10/11/1995]',0.040,0.001,-0.014,50.200,45.000,-0.493,0.131
'[10:55:57.182 10/11/1995]',0.021,0.001,-0.014,50.200,45.000,-0.493,0.131
'[10:55:57.184 10/11/1995]',0.021,0.001,-0.014,51.050,45.000,-0.489,0.122
'[10:55:57.186 10/11/1995]',0.021,0.001,-0.021,51.050,45.000,-0.489,0.122
'[10:55:57.188 10/11/1995]',0.021,0.001,-0.021,51.050,45.000,-0.489,0.122
'[10:55:57.190 10/11/1995]',0.021,0.001,-0.021,51.050,45.000,-0.489,0.122
'[10:55:57.192 10/11/1995]',0.021,0.001,-0.021,53.250,45.000,-0.485,0.113
'[10:55:57.194 10/11/1995]',0.021,0.012,-0.021,53.250,45.000,-0.485,0.113
'[10:55:57.196 10/11/1995]',0.002,0.024,-0.028,53.250,45.000,-0.485,0.113
'[10:55:57.198 10/11/1995]',0.002,0.024,-0.028,53.250,45.000,-0.485,0.113
'[10:55:57.200 10/11/1995]',0.002,0.024,-0.028,57.300,45.000,-0.481,0.104
'[10:55:57.202 10/11/1995]',0.002,0.012,-0.035,57.300,45.000,-0.481,0.104
'[10:55:57.204 10/11/1995]',0.002,0.001,-0.028,57.300,45.000,-0.481,0.104
'[10:55:57.206 10/11/1995]',0.021,0.001,-0.028,57.300,45.000,-0.481,0.104
'[10:55:57.208 10/11/1995]',0.040,-0.010,-0.021,63.300,45.000,-0.476,0.095
'[10:55:57.210 10/11/1995]',0.040,-0.010,-0.021,63.300,45.000,-0.476,0.095
'[10:55:57.212 10/11/1995]',0.040,0.001,-0.021,63.300,45.000,-0.476,0.095
'[10:55:57.214 10/11/1995]',0.021,0.001,-0.028,63.300,45.000,-0.476,0.095
'[10:55:57.216 10/11/1995]',0.021,0.001,-0.028,70.800,45.000,-0.472,0.086
'[10:55:57.218 10/11/1995]',0.002,0.001,-0.028,70.800,45.000,-0.472,0.086
'[10:55:57.220 10/11/1995]',0.021,0.001,-0.028,70.800,45.000,-0.472,0.086
'[10:55:57.222 10/11/1995]',0.021,0.001,-0.021,70.800,45.000,-0.472,0.086
'[10:55:57.224 10/11/1995]',0.021,0.001,-0.028,79.100,44.450,-0.451,0.076
'[10:55:57.226 10/11/1995]',0.021,0.001,-0.028,79.100,44.450,-0.451,0.076
'[10:55:57.228 10/11/1995]',0.021,0.001,-0.028,79.100,44.450,-0.451,0.076
'[10:55:57.230 10/11/1995]',0.040,0.001,-0.028,79.100,44.450,-0.451,0.076
'[10:55:57.232 10/11/1995]',0.040,0.001,-0.021,87.650,41.425,-0.434,0.066
'[10:55:57.234 10/11/1995]',0.040,0.001,-0.021,87.650,41.425,-0.434,0.066
'[10:55:57.236 10/11/1995]',0.040,0.001,-0.021,87.650,41.425,-0.434,0.066
'[10:55:57.238 10/11/1995]',0.040,0.001,-0.021,87.650,41.425,-0.434,0.066
'[10:55:57.240 10/11/1995]',0.040,0.001,-0.021,96.250,38.975,-0.401,0.056
'[10:55:57.242 10/11/1995]',0.040,0.001,-0.021,96.250,38.975,-0.401,0.056
'[10:55:57.244 10/11/1995]',0.040,0.001,-0.014,96.250,38.975,-0.401,0.056
'[10:55:57.246 10/11/1995]',0.040,0.001,-0.014,96.250,38.975,-0.401,0.056
'[10:55:57.248 10/11/1995]',0.040,0.001,-0.014,104.700,37.325,-0.354,0.046
'[10:55:57.250 10/11/1995]',0.040,0.001,-0.014,104.700,37.325,-0.354,0.046
'[10:55:57.252 10/11/1995]',0.040,0.001,-0.014,104.700,37.325,-0.354,0.046
'[10:55:57.254 10/11/1995]',0.040,0.012,-0.014,104.700,37.325,-0.354,0.046
'[10:55:57.256 10/11/1995]',0.040,0.012,-0.014,112.550,36.500,-0.295,0.036
'[10:55:57.258 10/11/1995]',0.040,0.012,-0.014,112.550,36.500,-0.295,0.036
'[10:55:57.260 10/11/1995]',0.021,0.001,-0.021,112.550,36.500,-0.295,0.036
'[10:55:57.262 10/11/1995]',0.021,0.001,-0.021,112.550,36.500,-0.295,0.036
'[10:55:57.264 10/11/1995]',0.021,0.001,-0.021,119.100,36.375,-0.224,0.027
'[10:55:57.266 10/11/1995]',0.021,0.012,-0.021,119.100,36.375,-0.224,0.027
'[10:55:57.268 10/11/1995]',0.021,0.012,-0.021,119.100,36.375,-0.224,0.027
'[10:55:57.270 10/11/1995]',0.021,0.024,-0.014,119.100,36.375,-0.224,0.027
'[10:55:57.272 10/11/1995]',0.021,0.012,-0.014,123.850,36.625,-0.131,0.018
'[10:55:57.274 10/11/1995]',0.002,0.012,-0.021,123.850,36.625,-0.131,0.018
'[10:55:57.276 10/11/1995]',0.021,0.012,-0.014,123.850,36.625,-0.131,0.018
'[10:55:57.278 10/11/1995]',0.021,0.001,-0.007,123.850,36.625,-0.131,0.018
'[10:55:57.280 10/11/1995]',0.040,0.001,-0.007,126.500,36.975,-0.038,0.010
'[10:55:57.282 10/11/1995]',0.040,-0.010,-0.007,126.500,36.975,-0.038,0.010
'[10:55:57.284 10/11/1995]',0.040,-0.022,-0.007,126.500,36.975,-0.038,0.010
'[10:55:57.286 10/11/1995]',0.060,-0.022,0.001,126.500,36.975,-0.038,0.010
'[10:55:57.288 10/11/1995]',0.060,-0.033,0.001,127.050,37.100,0.072,0.003
'[10:55:57.290 10/11/1995]',0.060,-0.033,0.008,127.050,37.100,0.072,0.003
'[10:55:57.292 10/11/1995]',0.060,-0.045,0.008,127.050,37.100,0.072,0.003
'[10:55:57.294 10/11/1995]',0.060,-0.045,0.008,127.050,37.100,0.072,0.003
'[10:55:57.296 10/11/1995]',0.080,-0.056,0.015,126.000,36.625,0.177,-0.004
'[10:55:57.298 10/11/1995]',0.080,-0.056,0.015,126.000,36.625,0.177,-0.004
'[10:55:57.300 10/11/1995]',0.080,-0.045,0.015,126.000,36.625,0.177,-0.004
'[10:55:57.302 10/11/1995]',0.080,-0.045,0.015,126.000,36.625,0.177,-0.004
'[10:55:57.304 10/11/1995]',0.060,-0.033,0.015,123.550,35.575,0.279,-0.009
'[10:55:57.306 10/11/1995]',0.060,-0.033,0.015,123.550,35.575,0.279,-0.009
'[10:55:57.308 10/11/1995]',0.060,-0.022,0.015,123.550,35.575,0.279,-0.009
'[10:55:57.310 10/11/1995]',0.060,-0.033,0.008,123.550,35.575,0.279,-0.009
'[10:55:57.312 10/11/1995]',0.060,-0.033,0.015,120.050,34.100,0.380,-0.014
'[10:55:57.314 10/11/1995]',0.060,-0.045,0.015,120.050,34.100,0.380,-0.014
'[10:55:57.316 10/11/1995]',0.060,-0.033,0.015,120.050,34.100,0.380,-0.014
'[10:55:57.318 10/11/1995]',0.060,-0.033,0.015,120.050,34.100,0.380,-0.014
'[10:55:57.320 10/11/1995]',0.060,-0.045,0.015,115.650,32.225,0.464,-0.018
'[10:55:57.322 10/11/1995]',0.040,-0.033,0.015,115.650,32.225,0.464,-0.018
'[10:55:57.324 10/11/1995]',0.021,-0.033,-0.007,115.650,32.225,0.464,-0.018
'[10:55:57.326 10/11/1995]',0.002,-0.033,-0.007,115.650,32.225,0.464,-0.018
'[10:55:57.328 10/11/1995]',0.021,-0.033,-0.007,110.600,30.125,0.536,-0.021
'[10:55:57.330 10/11/1995]',0.021,-0.045,-0.007,110.600,30.125,0.536,-0.021
'[10:55:57.332 10/11/1995]',0.021,-0.033,-0.007,110.600,30.125,0.536,-0.021
'[10:55:57.334 10/11/1995]',0.021,-0.033,-0.007,110.600,30.125,0.536,-0.021
'[10:55:57.336 10/11/1995]',0.021,-0.033,0.001,105.100,27.725,0.583,-0.025
'[10:55:57.338 10/11/1995]',0.021,-0.022,-0.007,105.100,27.725,0.583,-0.025
'[10:55:57.340 10/11/1995]',0.002,-0.010,-0.014,105.100,27.725,0.583,-0.025
'[10:55:57.342 10/11/1995]',0.002,-0.010,-0.007,105.100,27.725,0.583,-0.025
'[10:55:57.344 10/11/1995]',0.002,-0.010,-0.014,99.400,25.500,0.616,-0.029
'[10:55:57.346 10/11/1995]',0.002,0.001,-0.028,99.400,25.500,0.616,-0.029
'[10:55:57.348 10/11/1995]',0.002,0.001,-0.028,99.400,25.500,0.616,-0.029
'[10:55:57.350 10/11/1995]',0.002,0.001,-0.021,99.400,25.500,0.616,-0.029
'[10:55:57.352 10/11/1995]',0.002,0.001,-0.021,93.650,24.150,0.637,-0.033
'[10:55:57.354 10/11/1995]',-0.018,0.001,-0.028,93.650,24.150,0.637,-0.033
'[10:55:57.356 10/11/1995]',-0.018,0.001,-0.028,93.650,24.150,0.637,-0.033
'[10:55:57.358 10/11/1995]',0.002,0.001,-0.021,93.650,24.150,0.637,-0.033
'[10:55:57.360 10/11/1995]',0.002,0.001,-0.021,88.150,24.500,0.633,-0.037
'[10:55:57.362 10/11/1995]',-0.018,0.012,-0.028,88.150,24.500,0.633,-0.037
'[10:55:57.364 10/11/1995]',-0.018,0.012,-0.028,88.150,24.500,0.633,-0.037
'[10:55:57.366 10/11/1995]',-0.018,0.012,-0.021,88.150,24.500,0.633,-0.037
'[10:55:57.368 10/11/1995]',-0.018,0.012,-0.028,83.000,26.825,0.621,-0.043
'[10:55:57.370 10/11/1995]',-0.018,0.001,-0.028,83.000,26.825,0.621,-0.043
'[10:55:57.372 10/11/1995]',-0.018,0.001,-0.021,83.000,26.825,0.621,-0.043
'[10:55:57.374 10/11/1995]',0.002,0.001,-0.021,83.000,26.825,0.621,-0.043
'[10:55:57.376 10/11/1995]',0.002,0.001,-0.021,78.300,30.825,0.591,-0.049
'[10:55:57.378 10/11/1995]',-0.018,0.012,-0.028,78.300,30.825,0.591,-0.049
'[10:55:57.380 10/11/1995]',-0.018,0.012,-0.028,78.300,30.825,0.591,-0.049
'[10:55:57.382 10/11/1995]',-0.018,0.012,-0.028,78.300,30.825,0.591,-0.049
'[10:55:57.384 10/11/1995]',-0.018,0.024,-0.028,74.150,35.050,0.557,-0.055
'[10:55:57.386 10/11/1995]',-0.018,0.024,-0.021,74.150,35.050,0.557,-0.055
'[10:55:57.388 10/11/1995]',-0.018,0.012,-0.021,74.150,35.050,0.557,-0.055
'[10:55:57.390 10/11/1995]',-0.038,0.024,-0.028,74.150,35.050,0.557,-0.055
'[10:55:57.392 10/11/1995]',-0.018,0.024,-0.028,70.600,37.975,0.502,-0.062
'[10:55:57.394 10/11/1995]',-0.018,0.012,-0.021,70.600,37.975,0.502,-0.062
'[10:55:57.396 10/11/1995]',-0.038,0.024,-0.028,70.600,37.975,0.502,-0.062
'[10:55:57.398 10/11/1995]',-0.038,0.024,-0.028,70.600,37.975,0.502,-0.062
'[10:55:57.400 10/11/1995]',-0.018,0.024,-0.021,67.600,38.975,0.452,-0.069
'[10:55:57.402 10/11/1995]',-0.018,0.012,-0.021,67.600,38.975,0.452,-0.069
'[10:55:57.404 10/11/1995]',-0.018,0.001,-0.014,67.600,38.975,0.452,-0.069
'[10:55:57.406 10/11/1995]',-0.018,0.001,-0.014,67.600,38.975,0.452,-0.069
'[10:55:57.408 10/11/1995]',-0.018,0.012,-0.014,65.150,38.025,0.384,-0.075
'[10:55:57.410 10/11/1995]',-0.018,0.012,-0.021,65.150,38.025,0.384,-0.075
'[10:55:57.412 10/11/1995]',-0.018,0.024,-0.021,65.150,38.025,0.384,-0.075
'[10:55:57.414 10/11/1995]',-0.018,0.035,-0.014,65.150,38.025,0.384,-0.075
'[10:55:57.416 10/11/1995]',-0.018,0.035,-0.014,63.150,35.675,0.321,-0.082
'[10:55:57.418 10/11/1995]',-0.038,0.035,-0.021,63.150,35.675,0.321,-0.082
'[10:55:57.420 10/11/1995]',-0.018,0.047,-0.021,63.150,35.675,0.321,-0.082
'[10:55:57.422 10/11/1995]',-0.018,0.047,-0.021,63.150,35.675,0.321,-0.082
'[10:55:57.424 10/11/1995]',-0.018,0.047,-0.014,61.500,32.625,0.249,-0.087
'[10:55:57.426 10/11/1995]',0.002,0.035,-0.014,61.500,32.625,0.249,-0.087
'[10:55:57.428 10/11/1995]',0.002,0.024,-0.014,61.500,32.625,0.249,-0.087
'[10:55:57.430 10/11/1995]',0.002,0.012,-0.007,61.500,32.625,0.249,-0.087
'[10:55:57.432 10/11/1995]',0.002,0.001,0.001,60.200,29.650,0.181,-0.093
'[10:55:57.434 10/11/1995]',0.002,0.001,0.001,60.200,29.650,0.181,-0.093
'[10:55:57.436 10/11/1995]',0.002,0.001,0.001,60.200,29.650,0.181,-0.093
'[10:55:57.438 10/11/1995]',0.002,0.001,0.001,60.200,29.650,0.181,-0.093
'[10:55:57.440 10/11/1995]',0.021,-0.010,0.008,59.150,27.300,0.114,-0.098
'[10:55:57.442 10/11/1995]',0.021,-0.033,0.001,59.150,27.300,0.114,-0.098
'[10:55:57.444 10/11/1995]',0.040,-0.033,0.001,59.150,27.300,0.114,-0.098
'[10:55:57.446 10/11/1995]',0.021,-0.033,0.001,59.150,27.300,0.114,-0.098
'[10:55:57.448 10/11/1995]',0.021,-0.010,0.001,58.400,25.725,0.051,-0.102
'[10:55:57.450 10/11/1995]',0.021,-0.010,0.001,58.400,25.725,0.051,-0.102
'[10:55:57.452 10/11/1995]',0.021,-0.022,0.001,58.400,25.725,0.051,-0.102
'[10:55:57.454 10/11/1995]',0.021,-0.022,0.001,58.400,25.725,0.051,-0.102
'[10:55:57.456 10/11/1995]',0.021,-0.010,0.008,57.850,24.950,-0.013,-0.107
'[10:55:57.458 10/11/1995]',0.040,-0.010,-0.007,57.850,24.950,-0.013,-0.107
'[10:55:57.460 10/11/1995]',0.040,0.001,-0.007,57.850,24.950,-0.013,-0.107
'[10:55:57.462 10/11/1995]',0.040,0.001,-0.014,57.850,24.950,-0.013,-0.107
'[10:55:57.464 10/11/1995]',0.040,0.001,-0.014,57.550,25.025,-0.071,-0.111
'[10:55:57.466 10/11/1995]',0.060,-0.010,-0.014,57.550,25.025,-0.071,-0.111
'[10:55:57.468 10/11/1995]',0.060,-0.033,-0.014,57.550,25.025,-0.071,-0.111
'[10:55:57.470 10/11/1995]',0.080,-0.033,-0.021,57.550,25.025,-0.071,-0.111
'[10:55:57.472 10/11/1995]',0.080,-0.056,-0.028,57.500,25.675,-0.127,-0.115
'[10:55:57.474 10/11/1995]',0.099,-0.068,-0.035,57.500,25.675,-0.127,-0.115
'[10:55:57.476 10/11/1995]',0.099,-0.091,-0.043,57.500,25.675,-0.127,-0.115
'[10:55:57.478 10/11/1995]',0.099,-0.103,-0.064,57.500,25.675,-0.127,-0.115
'[10:55:57.480 10/11/1995]',0.060,-0.091,-0.079,57.650,26.600,-0.169,-0.117
'[10:55:57.482 10/11/1995]',0.002,-0.045,-0.107,57.650,26.600,-0.169,-0.117
'[10:55:57.484 10/11/1995]',-0.057,0.001,-0.136,57.650,26.600,-0.169,-0.117
'[10:55:57.486 10/11/1995]',-0.136,0.070,-0.165,57.650,26.600,-0.169,-0.117
'[10:55:57.488 10/11/1995]',-0.254,0.139,-0.194,57.900,27.650,-0.211,-0.119
'[10:55:57.490 10/11/1995]',-0.391,0.242,-0.222,57.900,27.650,-0.211,-0.119
'[10:55:57.492 10/11/1995]',-0.509,0.333,-0.244,57.900,27.650,-0.211,-0.119
'[10:55:57.494 10/11/1995]',-0.626,0.414,-0.273,57.900,27.650,-0.211,-0.119
'[10:55:57.496 10/11/1995]',-0.705,0.471,-0.287,58.300,28.525,-0.244,-0.121
'[10:55:57.498 10/11/1995]',-0.744,0.517,-0.295,58.300,28.525,-0.244,-0.121
'[10:55:57.500 10/11/1995]',-0.784,0.528,-0.295,58.300,28.525,-0.244,-0.121
'[10:55:57.502 10/11/1995]',-0.784,0.528,-0.287,58.300,28.525,-0.244,-0.121
'[10:55:57.504 10/11/1995]',-0.744,0.528,-0.273,58.800,28.950,-0.274,-0.121
'[10:55:57.506 10/11/1995]',-0.705,0.494,-0.259,58.800,28.950,-0.274,-0.121
'[10:55:57.508 10/11/1995]',-0.646,0.448,-0.222,58.800,28.950,-0.274,-0.121
'[10:55:57.510 10/11/1995]',-0.606,0.414,-0.201,58.800,28.950,-0.274,-0.121
'[10:55:57.512 10/11/1995]',-0.548,0.379,-0.172,59.350,28.775,-0.303,-0.120
'[10:55:57.514 10/11/1995]',-0.509,0.356,-0.151,59.350,28.775,-0.303,-0.120
'[10:55:57.516 10/11/1995]',-0.470,0.311,-0.115,59.350,28.775,-0.303,-0.120
'[10:55:57.518 10/11/1995]',-0.411,0.276,-0.093,59.350,28.775,-0.303,-0.120
'[10:55:57.520 10/11/1995]',-0.352,0.242,-0.072,59.900,28.125,-0.325,-0.118
'[10:55:57.522 10/11/1995]',-0.332,0.207,-0.064,59.900,28.125,-0.325,-0.118
'[10:55:57.524 10/11/1995]',-0.292,0.184,-0.043,59.900,28.125,-0.325,-0.118
'[10:55:57.526 10/11/1995]',-0.274,0.173,-0.035,59.900,28.125,-0.325,-0.118
'[10:55:57.528 10/11/1995]',-0.234,0.139,-0.021,60.500,27.125,-0.342,-0.116
'[10:55:57.530 10/11/1995]',-0.215,0.139,-0.014,60.500,27.125,-0.342,-0.116
'[10:55:57.532 10/11/1995]',-0.195,0.116,-0.021,60.500,27.125,-0.342,-0.116
'[10:55:57.534 10/11/1995]',-0.136,0.081,-0.007,60.500,27.125,-0.342,-0.116
'[10:55:57.536 10/11/1995]',-0.097,0.047,0.008,61.100,26.125,-0.354,-0.114
'[10:55:57.538 10/11/1995]',-0.057,0.035,0.015,61.100,26.125,-0.354,-0.114
'[10:55:57.540 10/11/1995]',-0.038,0.012,0.015,61.100,26.125,-0.354,-0.114
'[10:55:57.542 10/11/1995]',0.002,0.001,0.029,61.100,26.125,-0.354,-0.114
'[10:55:57.544 10/11/1995]',0.002,-0.033,0.036,61.600,25.375,-0.367,-0.112
'[10:55:57.546 10/11/1995]',0.021,-0.045,0.036,61.600,25.375,-0.367,-0.112
'[10:55:57.548 10/11/1995]',0.040,-0.068,0.036,61.600,25.375,-0.367,-0.112
'[10:55:57.550 10/11/1995]',0.040,-0.045,0.036,61.600,25.375,-0.367,-0.112
'[10:55:57.552 10/11/1995]',0.040,-0.033,0.036,62.100,24.900,-0.371,-0.111
'[10:55:57.554 10/11/1995]',0.040,-0.045,0.029,62.100,24.900,-0.371,-0.111
'[10:55:57.556 10/11/1995]',0.021,-0.045,0.029,62.100,24.900,-0.371,-0.111
'[10:55:57.558 10/11/1995]',0.040,-0.068,0.036,62.100,24.900,-0.371,-0.111
'[10:55:57.560 10/11/1995]',0.060,-0.068,0.036,62.500,24.675,-0.380,-0.110
'[10:55:57.562 10/11/1995]',0.060,-0.068,0.036,62.500,24.675,-0.380,-0.110
'[10:55:57.564 10/11/1995]',0.060,-0.068,0.029,62.500,24.675,-0.380,-0.110
'[10:55:57.566 10/11/1995]',0.060,-0.079,0.029,62.500,24.675,-0.380,-0.110
'[10:55:57.568 10/11/1995]',0.040,-0.056,0.022,62.850,24.375,-0.380,-0.111
'[10:55:57.570 10/11/1995]',0.040,-0.033,0.022,62.850,24.375,-0.380,-0.111
'[10:55:57.572 10/11/1995]',0.040,-0.033,0.022,62.850,24.375,-0.380,-0.111
'[10:55:57.574 10/11/1995]',0.040,-0.033,0.022,62.850,24.375,-0.380,-0.111
'[10:55:57.576 10/11/1995]',0.060,-0.045,0.029,63.150,24.325,-0.380,-0.113
'[10:55:57.578 10/11/1995]',0.060,-0.056,0.029,63.150,24.325,-0.380,-0.113
'[10:55:57.580 10/11/1995]',0.080,-0.068,0.036,63.150,24.325,-0.380,-0.113
'[10:55:57.582 10/11/1995]',0.060,-0.056,0.029,63.150,24.325,-0.380,-0.113
'[10:55:57.584 10/11/1995]',0.060,-0.045,0.036,63.300,24.950,-0.376,-0.117
'[10:55:57.586 10/11/1995]',0.040,-0.033,0.029,63.300,24.950,-0.376,-0.117
'[10:55:57.588 10/11/1995]',0.040,-0.033,0.029,63.300,24.950,-0.376,-0.117
'[10:55:57.590 10/11/1995]',0.040,-0.033,0.036,63.300,24.950,-0.376,-0.117
'[10:55:57.592 10/11/1995]',0.060,-0.045,0.036,63.450,26.825,-0.367,-0.121
'[10:55:57.594 10/11/1995]',0.060,-0.056,0.036,63.450,26.825,-0.367,-0.121
'[10:55:57.596 10/11/1995]',0.060,-0.056,0.036,63.450,26.825,-0.367,-0.121
'[10:55:57.598 10/11/1995]',0.040,-0.045,0.036,63.450,26.825,-0.367,-0.121
'[10:55:57.600 10/11/1995]',0.040,-0.056,0.036,63.500,29.650,-0.362,-0.129
'[10:55:57.602 10/11/1995]',0.060,-0.068,0.044,63.500,29.650,-0.362,-0.129
'[10:55:57.604 10/11/1995]',0.080,-0.091,0.051,63.500,29.650,-0.362,-0.129
'[10:55:57.606 10/11/1995]',0.099,-0.103,0.065,63.500,29.650,-0.362,-0.129
'[10:55:57.608 10/11/1995]',0.119,-0.103,0.065,63.500,32.050,-0.354,-0.139
'[10:55:57.610 10/11/1995]',0.119,-0.103,0.065,63.500,32.050,-0.354,-0.139
'[10:55:57.612 10/11/1995]',0.119,-0.103,0.065,63.500,32.050,-0.354,-0.139
'[10:55:57.614 10/11/1995]',0.119,-0.103,0.051,63.500,32.050,-0.354,-0.139
'[10:55:57.616 10/11/1995]',0.139,-0.103,0.065,63.350,32.750,-0.350,-0.150
'[10:55:57.618 10/11/1995]',0.119,-0.103,0.065,63.350,32.750,-0.350,-0.150
'[10:55:57.620 10/11/1995]',0.139,-0.103,0.073,63.350,32.750,-0.350,-0.150
'[10:55:57.622 10/11/1995]',0.139,-0.103,0.073,63.350,32.750,-0.350,-0.150
'[10:55:57.624 10/11/1995]',0.139,-0.103,0.073,63.250,31.925,-0.346,-0.164
'[10:55:57.626 10/11/1995]',0.139,-0.103,0.065,63.250,31.925,-0.346,-0.164
'[10:55:57.628 10/11/1995]',0.139,-0.103,0.051,63.250,31.925,-0.346,-0.164
'[10:55:57.630 10/11/1995]',0.139,-0.103,0.051,63.250,31.925,-0.346,-0.164
'[10:55:57.632 10/11/1995]',0.139,-0.091,0.065,63.000,30.175,-0.346,-0.179
'[10:55:57.634 10/11/1995]',0.139,-0.079,0.065,63.000,30.175,-0.346,-0.179
'[10:55:57.636 10/11/1995]',0.139,-0.091,0.065,63.000,30.175,-0.346,-0.179
'[10:55:57.638 10/11/1995]',0.158,-0.091,0.073,63.000,30.175,-0.346,-0.179
'[10:55:57.640 10/11/1995]',0.139,-0.103,0.065,62.650,27.775,-0.342,-0.195
'[10:55:57.642 10/11/1995]',0.158,-0.103,0.065,62.650,27.775,-0.342,-0.195
'[10:55:57.644 10/11/1995]',0.158,-0.103,0.065,62.650,27.775,-0.342,-0.195
'[10:55:57.646 10/11/1995]',0.178,-0.103,0.073,62.650,27.775,-0.342,-0.195
'[10:55:57.648 10/11/1995]',0.158,-0.091,0.073,62.300,25.325,-0.338,-0.212
'[10:55:57.650 10/11/1995]',0.158,-0.079,0.065,62.300,25.325,-0.338,-0.212
'[10:55:57.652 10/11/1995]',0.139,-0.068,0.065,62.300,25.325,-0.338,-0.212
'[10:55:57.654 10/11/1995]',0.139,-0.068,0.044,62.300,25.325,-0.338,-0.212
'[10:55:57.656 10/11/1995]',0.139,-0.068,0.044,61.850,24.325,-0.338,-0.230
'[10:55:57.658 10/11/1995]',0.139,-0.068,0.044,61.850,24.325,-0.338,-0.230
'[10:55:57.660 10/11/1995]',0.139,-0.068,0.036,61.850,24.325,-0.338,-0.230
'[10:55:57.662 10/11/1995]',0.139,-0.068,0.029,61.850,24.325,-0.338,-0.230
'[10:55:57.664 10/11/1995]',0.139,-0.079,0.022,61.450,25.500,-0.342,-0.247
'[10:55:57.666 10/11/1995]',0.139,-0.068,0.029,61.450,25.500,-0.342,-0.247
'[10:55:57.668 10/11/1995]',0.139,-0.068,0.029,61.450,25.500,-0.342,-0.247
'[10:55:57.670 10/11/1995]',0.139,-0.068,0.029,61.450,25.500,-0.342,-0.247
'[10:55:57.672 10/11/1995]',0.139,-0.056,0.029,61.250,28.700,-0.338,-0.265
'[10:55:57.674 10/11/1995]',0.119,-0.056,0.022,61.250,28.700,-0.338,-0.265
'[10:55:57.676 10/11/1995]',0.139,-0.068,0.029,61.250,28.700,-0.338,-0.265
'[10:55:57.678 10/11/1995]',0.119,-0.068,0.029,61.250,28.700,-0.338,-0.265
'[10:55:57.680 10/11/1995]',0.119,-0.068,0.029,61.550,33.275,-0.342,-0.282
'[10:55:57.682 10/11/1995]',0.099,-0.045,0.022,61.550,33.275,-0.342,-0.282
'[10:55:57.684 10/11/1995]',0.099,-0.033,0.022,61.550,33.275,-0.342,-0.282
'[10:55:57.686 10/11/1995]',0.080,-0.033,0.022,61.550,33.275,-0.342,-0.282
'[10:55:57.688 10/11/1995]',0.080,-0.033,0.015,63.000,38.025,-0.346,-0.299
'[10:55:57.690 10/11/1995]',0.060,-0.033,0.015,63.000,38.025,-0.346,-0.299
'[10:55:57.692 10/11/1995]',0.080,-0.033,0.015,63.000,38.025,-0.346,-0.299
'[10:55:57.694 10/11/1995]',0.080,-0.022,0.015,63.000,38.025,-0.346,-0.299
'[10:55:57.696 10/11/1995]',0.080,-0.033,0.015,66.000,42.125,-0.346,-0.316
'[10:55:57.698 10/11/1995]',0.080,-0.033,0.008,66.000,42.125,-0.346,-0.316
'[10:55:57.700 10/11/1995]',0.080,-0.033,0.008,66.000,42.125,-0.346,-0.316
'[10:55:57.702 10/11/1995]',0.080,-0.033,0.008,66.000,42.125,-0.346,-0.316
'[10:55:57.704 10/11/1995]',0.080,-0.033,0.008,70.800,44.875,-0.342,-0.332
'[10:55:57.706 10/11/1995]',0.080,-0.033,0.008,70.800,44.875,-0.342,-0.332
'[10:55:57.708 10/11/1995]',0.080,-0.033,0.008,70.800,44.875,-0.342,-0.332
'[10:55:57.710 10/11/1995]',0.060,-0.033,0.001,70.800,44.875,-0.342,-0.332
'[10:55:57.712 10/11/1995]',0.060,-0.022,0.001,77.100,45.000,-0.346,-0.347
'[10:55:57.714 10/11/1995]',0.060,-0.022,-0.007,77.100,45.000,-0.346,-0.347
'[10:55:57.716 10/11/1995]',0.040,-0.010,-0.014,77.100,45.000,-0.346,-0.347
'[10:55:57.718 10/11/1995]',0.040,-0.010,-0.007,77.100,45.000,-0.346,-0.347
'[10:55:57.720 10/11/1995]',0.040,-0.010,-0.014,84.250,45.000,-0.338,-0.361
'[10:55:57.722 10/11/1995]',0.040,-0.010,-0.014,84.250,45.000,-0.338,-0.361
'[10:55:57.724 10/11/1995]',0.040,0.001,-0.014,84.250,45.000,-0.338,-0.361
