'Time and date','V','II','V','ABP','PAP','PLETH','RESP'
'[07:24:19.022 15/12/1995]',0.007,0.011,0.001,45.386,33.650,0.000,0.859
'[07:24:19.024 15/12/1995]',0.007,0.011,0.001,44.936,34.200,0.000,1.022
'[07:24:19.026 15/12/1995]',0.007,0.011,0.001,44.936,34.200,0.000,1.022
'[07:24:19.028 15/12/1995]',0.007,0.011,0.001,44.936,34.200,0.000,1.022
'[07:24:19.030 15/12/1995]',0.007,0.011,0.001,44.936,34.200,0.000,1.022
'[07:24:19.032 15/12/1995]',0.007,0.011,0.001,44.711,34.450,0.000,0.859
'[07:24:19.034 15/12/1995]',0.007,0.011,0.001,44.711,34.450,0.000,0.859
'[07:24:19.036 15/12/1995]',0.007,0.011,0.001,44.711,34.450,0.000,0.859
'[07:24:19.038 15/12/1995]',0.007,0.011,0.001,44.711,34.450,0.000,0.859
'[07:24:19.040 15/12/1995]',0.007,0.011,0.001,44.636,34.450,0.000,0.716
'[07:24:19.042 15/12/1995]',0.007,0.011,0.001,44.636,34.450,0.000,0.716
'[07:24:19.044 15/12/1995]',0.007,0.011,0.001,44.636,34.450,0.000,0.716
'[07:24:19.046 15/12/1995]',0.007,0.011,0.001,44.636,34.450,0.000,0.716
'[07:24:19.048 15/12/1995]',0.007,0.011,0.001,44.711,34.250,0.000,0.552
'[07:24:19.050 15/12/1995]',0.007,0.011,0.001,44.711,34.250,0.000,0.552
'[07:24:19.052 15/12/1995]',0.007,0.011,0.001,44.711,34.250,0.000,0.552
'[07:24:19.054 15/12/1995]',0.007,0.011,0.001,44.711,34.250,0.000,0.552
'[07:24:19.056 15/12/1995]',0.007,0.011,0.001,44.861,33.750,0.000,0.388
'[07:24:19.058 15/12/1995]',0.007,0.011,0.001,44.861,33.750,0.000,0.388
'[07:24:19.060 15/12/1995]',0.007,0.011,0.001,44.861,33.750,0.000,0.388
'[07:24:19.062 15/12/1995]',0.007,0.011,0.001,44.861,33.750,0.000,0.388
'[07:24:19.064 15/12/1995]',0.007,0.011,0.001,45.086,33.200,0.000,0.245
'[07:24:19.066 15/12/1995]',0.007,0.011,0.001,45.086,33.200,0.000,0.245
'[07:24:19.068 15/12/1995]',0.007,0.011,0.001,45.086,33.200,0.000,0.245
'[07:24:19.070 15/12/1995]',0.007,0.011,0.001,45.086,33.200,0.000,0.245
'[07:24:19.072 15/12/1995]',0.007,0.011,0.001,45.236,32.350,0.000,0.081
'[07:24:19.074 15/12/1995]',0.007,0.011,0.001,45.236,32.350,0.000,0.081
'[07:24:19.076 15/12/1995]',0.007,0.011,0.001,45.236,32.350,0.000,0.081
'[07:24:19.078 15/12/1995]',0.007,0.011,0.001,45.236,32.350,0.000,0.081
'[07:24:19.080 15/12/1995]',0.007,0.011,0.001,45.386,31.350,0.000,-0.083
'[07:24:19.082 15/12/1995]',0.007,0.011,0.001,45.386,31.350,0.000,-0.083
'[07:24:19.084 15/12/1995]',0.007,0.011,0.001,45.386,31.350,0.000,-0.083
'[07:24:19.086 15/12/1995]',0.007,0.011,0.001,45.386,31.350,0.000,-0.083
'[07:24:19.088 15/12/1995]',0.007,0.011,0.001,45.536,30.350,0.000,-0.246
'[07:24:19.090 15/12/1995]',0.007,0.011,0.001,45.536,30.350,0.000,-0.246
'[07:24:19.092 15/12/1995]',0.007,0.011,0.001,45.536,30.350,0.000,-0.246
'[07:24:19.094 15/12/1995]',0.007,0.011,0.001,45.536,30.350,0.000,-0.246
'[07:24:19.096 15/12/1995]',0.007,0.011,0.001,45.536,29.450,0.000,-0.390
'[07:24:19.098 15/12/1995]',0.007,0.011,0.001,45.536,29.450,0.000,-0.390
'[07:24:19.100 15/12/1995]',0.007,0.011,0.001,45.536,29.450,0.000,-0.390
'[07:24:19.102 15/12/1995]',0.007,0.011,0.001,45.536,29.450,0.000,-0.390
'[07:24:19.104 15/12/1995]',0.007,0.011,0.001,45.536,28.500,0.000,-0.553
'[07:24:19.106 15/12/1995]',0.007,0.011,0.001,45.536,28.500,0.000,-0.553
'[07:24:19.108 15/12/1995]',0.007,0.011,0.001,45.536,28.500,0.000,-0.553
'[07:24:19.110 15/12/1995]',0.007,0.011,0.001,45.536,28.500,0.000,-0.553
'[07:24:19.112 15/12/1995]',0.007,0.011,0.001,45.461,27.650,0.000,-0.717
'[07:24:19.114 15/12/1995]',0.007,0.011,0.001,45.461,27.650,0.000,-0.717
'[07:24:19.116 15/12/1995]',0.007,0.011,0.001,45.461,27.650,0.000,-0.717
'[07:24:19.118 15/12/1995]',0.007,0.011,0.001,45.461,27.650,0.000,-0.717
'[07:24:19.120 15/12/1995]',0.007,0.011,0.001,45.311,26.900,0.000,-0.861
'[07:24:19.122 15/12/1995]',0.007,0.011,0.001,45.311,26.900,0.000,-0.861
'[07:24:19.124 15/12/1995]',0.007,0.011,0.001,45.311,26.900,0.000,-0.861
'[07:24:19.126 15/12/1995]',0.007,0.011,0.001,45.311,26.900,0.000,-0.861
'[07:24:19.128 15/12/1995]',0.007,0.011,0.001,45.086,26.200,0.000,-
'[07:24:19.130 15/12/1995]',0.007,0.011,0.001,45.086,26.200,0.000,-
'[07:24:19.132 15/12/1995]',0.007,0.011,0.001,45.086,26.200,0.000,-
'[07:24:19.134 15/12/1995]',0.007,0.011,0.001,45.086,26.200,0.000,-
'[07:24:19.136 15/12/1995]',0.007,0.011,0.001,44.786,25.700,0.000,-0.861
'[07:24:19.138 15/12/1995]',0.007,0.011,0.001,44.786,25.700,0.000,-0.861
'[07:24:19.140 15/12/1995]',0.007,0.011,0.001,44.786,25.700,0.000,-0.861
'[07:24:19.142 15/12/1995]',0.007,0.011,0.001,44.786,25.700,0.000,-0.861
'[07:24:19.144 15/12/1995]',0.007,0.011,0.001,44.411,25.200,0.000,-0.717
'[07:24:19.146 15/12/1995]',0.007,0.011,0.001,44.411,25.200,0.000,-0.717
'[07:24:19.148 15/12/1995]',0.007,0.011,0.001,44.411,25.200,0.000,-0.717
'[07:24:19.150 15/12/1995]',0.007,0.011,0.001,44.411,25.200,0.000,-0.717
'[07:24:19.152 15/12/1995]',0.007,0.011,0.001,44.036,24.850,0.000,-0.553
'[07:24:19.154 15/12/1995]',0.007,0.011,0.001,44.036,24.850,0.000,-0.553
'[07:24:19.156 15/12/1995]',0.007,0.011,0.001,44.036,24.850,0.000,-0.553
'[07:24:19.158 15/12/1995]',0.007,0.011,0.001,44.036,24.850,0.000,-0.553
'[07:24:19.160 15/12/1995]',0.007,0.011,0.001,43.511,24.550,0.000,-0.390
'[07:24:19.162 15/12/1995]',0.007,0.011,0.001,43.511,24.550,0.000,-0.390
'[07:24:19.164 15/12/1995]',0.007,0.011,0.001,43.511,24.550,0.000,-0.390
'[07:24:19.166 15/12/1995]',0.007,0.011,0.001,43.511,24.550,0.000,-0.390
'[07:24:19.168 15/12/1995]',0.007,0.011,0.001,42.986,24.350,0.000,-0.246
'[07:24:19.170 15/12/1995]',0.007,0.011,0.001,42.986,24.350,0.000,-0.246
'[07:24:19.172 15/12/1995]',0.007,0.011,0.001,42.986,24.350,0.000,-0.246
'[07:24:19.174 15/12/1995]',0.007,0.011,0.001,42.986,24.350,0.000,-0.246
'[07:24:19.176 15/12/1995]',0.007,0.011,0.001,42.536,24.250,0.000,-0.083
'[07:24:19.178 15/12/1995]',0.007,0.011,0.001,42.536,24.250,0.000,-0.083
'[07:24:19.180 15/12/1995]',0.007,0.011,0.001,42.536,24.250,0.000,-0.083
'[07:24:19.182 15/12/1995]',0.007,0.011,0.001,42.536,24.250,0.000,-0.083
'[07:24:19.184 15/12/1995]',0.007,0.011,0.001,42.011,24.250,0.000,0.081
'[07:24:19.186 15/12/1995]',0.007,0.011,0.001,42.011,24.250,0.000,0.081
'[07:24:19.188 15/12/1995]',0.007,0.011,0.001,42.011,24.250,0.000,0.081
'[07:24:19.190 15/12/1995]',0.007,0.011,0.001,42.011,24.250,0.000,0.081
'[07:24:19.192 15/12/1995]',0.007,0.011,0.001,41.560,24.400,0.000,0.245
'[07:24:19.194 15/12/1995]',0.007,0.011,0.001,41.560,24.400,0.000,0.245
'[07:24:19.196 15/12/1995]',0.007,0.011,0.001,41.560,24.400,0.000,0.245
'[07:24:19.198 15/12/1995]',0.007,0.011,0.001,41.560,24.400,0.000,0.245
'[07:24:19.200 15/12/1995]',0.007,0.011,0.001,41.035,24.500,0.000,0.388
'[07:24:19.202 15/12/1995]',0.007,0.011,0.001,41.035,24.500,0.000,0.388
'[07:24:19.204 15/12/1995]',0.007,0.011,0.001,41.035,24.500,0.000,0.388
'[07:24:19.206 15/12/1995]',0.007,0.011,0.001,41.035,24.500,0.000,0.388
'[07:24:19.208 15/12/1995]',0.007,0.011,0.001,40.510,24.650,0.000,0.552
'[07:24:19.210 15/12/1995]',0.007,0.011,0.001,40.510,24.650,0.000,0.552
'[07:24:19.212 15/12/1995]',0.007,0.011,0.001,40.510,24.650,0.000,0.552
'[07:24:19.214 15/12/1995]',0.007,0.011,0.001,40.510,24.650,0.000,0.552
'[07:24:19.216 15/12/1995]',0.007,0.011,0.001,39.910,24.750,0.000,0.716
'[07:24:19.218 15/12/1995]',0.007,0.011,0.001,39.910,24.750,0.000,0.716
'[07:24:19.220 15/12/1995]',0.007,0.011,0.001,39.910,24.750,0.000,0.716
'[07:24:19.222 15/12/1995]',0.007,0.011,0.001,39.910,24.750,0.000,0.716
'[07:24:19.224 15/12/1995]',0.009,0.006,0.001,39.310,24.750,0.000,0.859
'[07:24:19.226 15/12/1995]',0.011,0.002,0.001,39.310,24.750,0.000,0.859
'[07:24:19.228 15/12/1995]',0.018,-0.011,0.001,39.310,24.750,0.000,0.859
'[07:24:19.230 15/12/1995]',0.024,-0.024,0.001,39.310,24.750,0.000,0.859
'[07:24:19.232 15/12/1995]',0.035,-0.045,0.075,38.785,24.750,0.000,1.022
'[07:24:19.234 15/12/1995]',0.045,-0.067,0.087,38.785,24.750,0.000,1.022
'[07:24:19.236 15/12/1995]',0.056,-0.091,0.087,38.785,24.750,0.000,1.022
'[07:24:19.238 15/12/1995]',0.067,-0.114,0.087,38.785,24.750,0.000,1.022
'[07:24:19.240 15/12/1995]',0.076,-0.132,0.087,38.260,24.700,0.000,0.859
'[07:24:19.242 15/12/1995]',0.085,-0.150,0.075,38.260,24.700,0.000,0.859
'[07:24:19.244 15/12/1995]',0.090,-0.160,0.075,38.260,24.700,0.000,0.859
'[07:24:19.246 15/12/1995]',0.094,-0.169,0.087,38.260,24.700,0.000,0.859
'[07:24:19.248 15/12/1995]',0.097,-0.172,0.087,37.809,24.650,0.000,0.716
'[07:24:19.250 15/12/1995]',0.099,-0.174,0.093,37.809,24.650,0.000,0.716
'[07:24:19.252 15/12/1995]',0.100,-0.174,0.098,37.809,24.650,0.000,0.716
'[07:24:19.254 15/12/1995]',0.101,-0.173,0.098,37.809,24.650,0.000,0.716
'[07:24:19.256 15/12/1995]',0.102,-0.173,0.098,37.359,24.650,0.000,0.552
'[07:24:19.258 15/12/1995]',0.103,-0.172,0.098,37.359,24.650,0.000,0.552
'[07:24:19.260 15/12/1995]',0.105,-0.171,0.093,37.359,24.650,0.000,0.552
'[07:24:19.262 15/12/1995]',0.106,-0.169,0.087,37.359,24.650,0.000,0.552
'[07:24:19.264 15/12/1995]',0.106,-0.166,0.093,37.059,24.700,0.000,0.388
'[07:24:19.266 15/12/1995]',0.106,-0.162,0.098,37.059,24.700,0.000,0.388
'[07:24:19.268 15/12/1995]',0.104,-0.154,0.098,37.059,24.700,0.000,0.388
'[07:24:19.270 15/12/1995]',0.102,-0.147,0.093,37.059,24.700,0.000,0.388
'[07:24:19.272 15/12/1995]',0.095,-0.135,0.087,36.759,24.700,0.000,0.245
'[07:24:19.274 15/12/1995]',0.089,-0.122,0.070,36.759,24.700,0.000,0.245
'[07:24:19.276 15/12/1995]',0.077,-0.102,0.047,36.759,24.700,0.000,0.245
'[07:24:19.278 15/12/1995]',0.065,-0.082,0.023,36.759,24.700,0.000,0.245
'[07:24:19.280 15/12/1995]',0.047,-0.053,-0.005,36.534,24.650,0.000,0.081
'[07:24:19.282 15/12/1995]',0.029,-0.024,-0.023,36.534,24.650,0.000,0.081
'[07:24:19.284 15/12/1995]',0.005,0.012,-0.063,36.534,24.650,0.000,0.081
'[07:24:19.286 15/12/1995]',-0.018,0.047,-0.086,36.534,24.650,0.000,0.081
'[07:24:19.288 15/12/1995]',-0.041,0.084,-0.109,36.384,24.550,0.000,-0.083
'[07:24:19.290 15/12/1995]',-0.065,0.120,-0.138,36.384,24.550,0.000,-0.083
'[07:24:19.292 15/12/1995]',-0.086,0.150,-0.155,36.384,24.550,0.000,-0.083
'[07:24:19.294 15/12/1995]',-0.106,0.180,-0.161,36.384,24.550,0.000,-0.083
'[07:24:19.296 15/12/1995]',-0.121,0.198,-0.172,36.309,24.450,0.000,-0.246
'[07:24:19.298 15/12/1995]',-0.137,0.216,-0.178,36.309,24.450,0.000,-0.246
'[07:24:19.300 15/12/1995]',-0.144,0.217,-0.178,36.309,24.450,0.000,-0.246
'[07:24:19.302 15/12/1995]',-0.151,0.218,-0.161,36.309,24.450,0.000,-0.246
'[07:24:19.304 15/12/1995]',-0.149,0.200,-0.161,36.234,24.250,0.000,-0.390
'[07:24:19.306 15/12/1995]',-0.147,0.182,-0.150,36.234,24.250,0.000,-0.390
'[07:24:19.308 15/12/1995]',-0.137,0.148,-0.138,36.234,24.250,0.000,-0.390
'[07:24:19.310 15/12/1995]',-0.126,0.115,-0.109,36.234,24.250,0.000,-0.390
'[07:24:19.312 15/12/1995]',-0.109,0.074,-0.086,36.234,24.100,0.000,-0.553
'[07:24:19.314 15/12/1995]',-0.091,0.033,-0.052,36.234,24.100,0.000,-0.553
'[07:24:19.316 15/12/1995]',-0.070,-0.008,-0.028,36.234,24.100,0.000,-0.553
'[07:24:19.318 15/12/1995]',-0.049,-0.050,-0.005,36.234,24.100,0.000,-0.553
'[07:24:19.320 15/12/1995]',-0.027,-0.085,0.023,36.084,24.000,0.000,-0.717
'[07:24:19.322 15/12/1995]',-0.005,-0.121,0.029,36.084,24.000,0.000,-0.717
'[07:24:19.324 15/12/1995]',0.015,-0.150,0.052,36.084,24.000,0.000,-0.717
'[07:24:19.326 15/12/1995]',0.035,-0.179,0.064,36.084,24.000,0.000,-0.717
'[07:24:19.328 15/12/1995]',0.051,-0.202,0.075,36.009,24.000,0.000,-0.861
'[07:24:19.330 15/12/1995]',0.067,-0.225,0.087,36.009,24.000,0.000,-0.861
'[07:24:19.332 15/12/1995]',0.081,-0.243,0.098,36.009,24.000,0.000,-0.861
'[07:24:19.334 15/12/1995]',0.094,-0.260,0.110,36.009,24.000,0.000,-0.861
'[07:24:19.336 15/12/1995]',0.104,-0.272,0.127,35.859,24.250,0.000,-
'[07:24:19.338 15/12/1995]',0.114,-0.284,0.127,35.859,24.250,0.000,-
'[07:24:19.340 15/12/1995]',0.121,-0.289,0.133,35.859,24.250,0.000,-
'[07:24:19.342 15/12/1995]',0.128,-0.294,0.133,35.859,24.250,0.000,-
'[07:24:19.344 15/12/1995]',0.132,-0.295,0.127,35.709,25.200,0.000,-
'[07:24:19.346 15/12/1995]',0.137,-0.295,0.127,35.709,25.200,0.000,-
'[07:24:19.348 15/12/1995]',0.139,-0.291,0.133,35.709,25.200,0.000,-
'[07:24:19.350 15/12/1995]',0.141,-0.287,0.133,35.709,25.200,0.000,-
'[07:24:19.352 15/12/1995]',0.141,-0.279,0.133,35.484,27.100,0.000,-
'[07:24:19.354 15/12/1995]',0.141,-0.271,0.139,35.484,27.100,0.000,-
'[07:24:19.356 15/12/1995]',0.140,-0.260,0.133,35.484,27.100,0.000,-
'[07:24:19.358 15/12/1995]',0.140,-0.249,0.127,35.484,27.100,0.000,-
'[07:24:19.360 15/12/1995]',0.139,-0.238,0.116,35.184,29.550,0.000,-
'[07:24:19.362 15/12/1995]',0.139,-0.227,0.116,35.184,29.550,0.000,-
'[07:24:19.364 15/12/1995]',0.138,-0.216,0.116,35.184,29.550,0.000,-
'[07:24:19.366 15/12/1995]',0.138,-0.206,0.127,35.184,29.550,0.000,-
'[07:24:19.368 15/12/1995]',0.137,-0.198,0.127,34.959,31.650,0.000,-
'[07:24:19.370 15/12/1995]',0.137,-0.190,0.133,34.959,31.650,0.000,-
'[07:24:19.372 15/12/1995]',0.137,-0.185,0.133,34.959,31.650,0.000,-
'[07:24:19.374 15/12/1995]',0.137,-0.180,0.127,34.959,31.650,0.000,-
'[07:24:19.376 15/12/1995]',0.137,-0.177,0.127,34.659,32.500,0.000,-
'[07:24:19.378 15/12/1995]',0.138,-0.174,0.127,34.659,32.500,0.000,-
'[07:24:19.380 15/12/1995]',0.138,-0.172,0.127,34.659,32.500,0.000,-
'[07:24:19.382 15/12/1995]',0.139,-0.170,0.127,34.659,32.500,0.000,-
'[07:24:19.384 15/12/1995]',0.139,-0.168,0.127,34.359,32.300,0.000,-
'[07:24:19.386 15/12/1995]',0.139,-0.166,0.133,34.359,32.300,0.000,-
'[07:24:19.388 15/12/1995]',0.140,-0.164,0.133,34.359,32.300,0.000,-
'[07:24:19.390 15/12/1995]',0.140,-0.162,0.127,34.359,32.300,0.000,-
'[07:24:19.392 15/12/1995]',0.140,-0.159,0.127,34.059,31.950,0.000,-
'[07:24:19.394 15/12/1995]',0.140,-0.157,0.127,34.059,31.950,0.000,-
'[07:24:19.396 15/12/1995]',0.139,-0.154,0.127,34.059,31.950,0.000,-
'[07:24:19.398 15/12/1995]',0.139,-0.151,0.116,34.059,31.950,0.000,-
'[07:24:19.400 15/12/1995]',0.138,-0.149,0.127,33.758,31.750,0.000,-
'[07:24:19.402 15/12/1995]',0.138,-0.146,0.127,33.758,31.750,0.000,-
'[07:24:19.404 15/12/1995]',0.137,-0.145,0.127,33.758,31.750,0.000,-
'[07:24:19.406 15/12/1995]',0.137,-0.143,0.127,33.758,31.750,0.000,-
'[07:24:19.408 15/12/1995]',0.137,-0.141,0.116,33.533,31.500,0.000,-
'[07:24:19.410 15/12/1995]',0.136,-0.140,0.127,33.533,31.500,0.000,-
'[07:24:19.412 15/12/1995]',0.136,-0.140,0.116,33.533,31.500,0.000,-
'[07:24:19.414 15/12/1995]',0.137,-0.140,0.116,33.533,31.500,0.000,-
'[07:24:19.416 15/12/1995]',0.137,-0.140,0.116,33.158,30.950,0.000,-
'[07:24:19.418 15/12/1995]',0.137,-0.140,0.127,33.158,30.950,0.000,-
'[07:24:19.420 15/12/1995]',0.136,-0.140,0.127,33.158,30.950,0.000,-
'[07:24:19.422 15/12/1995]',0.136,-0.140,0.116,33.158,30.950,0.000,-
'[07:24:19.424 15/12/1995]',0.135,-0.137,0.127,32.783,30.350,0.000,-
'[07:24:19.426 15/12/1995]',0.134,-0.134,0.116,32.783,30.350,0.000,-
'[07:24:19.428 15/12/1995]',0.134,-0.130,0.110,32.783,30.350,0.000,-
'[07:24:19.430 15/12/1995]',0.133,-0.126,0.116,32.783,30.350,0.000,-
'[07:24:19.432 15/12/1995]',0.132,-0.122,0.116,32.558,29.900,0.000,-
'[07:24:19.434 15/12/1995]',0.131,-0.119,0.116,32.558,29.900,0.000,-
'[07:24:19.436 15/12/1995]',0.130,-0.117,0.116,32.558,29.900,0.000,-
'[07:24:19.438 15/12/1995]',0.129,-0.114,0.116,32.558,29.900,0.000,-
'[07:24:19.440 15/12/1995]',0.128,-0.114,0.116,32.408,29.850,0.000,-
'[07:24:19.442 15/12/1995]',0.126,-0.113,0.110,32.408,29.850,0.000,-
'[07:24:19.444 15/12/1995]',0.125,-0.113,0.110,32.408,29.850,0.000,-
'[07:24:19.446 15/12/1995]',0.124,-0.113,0.098,32.408,29.850,0.000,-
'[07:24:19.448 15/12/1995]',0.123,-0.113,0.110,32.783,30.500,0.000,-
'[07:24:19.450 15/12/1995]',0.123,-0.114,0.110,32.783,30.500,0.000,-
'[07:24:19.452 15/12/1995]',0.122,-0.114,0.116,32.783,30.500,0.000,-
'[07:24:19.454 15/12/1995]',0.122,-0.115,0.116,32.783,30.500,0.000,-
'[07:24:19.456 15/12/1995]',0.122,-0.116,0.116,34.809,31.700,0.000,-
'[07:24:19.458 15/12/1995]',0.123,-0.116,0.110,34.809,31.700,0.000,-
'[07:24:19.460 15/12/1995]',0.122,-0.116,0.110,34.809,31.700,0.000,-
'[07:24:19.462 15/12/1995]',0.121,-0.115,0.098,34.809,31.700,0.000,-
'[07:24:19.464 15/12/1995]',0.120,-0.113,0.098,39.910,33.350,0.000,-
'[07:24:19.466 15/12/1995]',0.119,-0.111,0.098,39.910,33.350,0.000,-
'[07:24:19.468 15/12/1995]',0.117,-0.108,0.110,39.910,33.350,0.000,-
'[07:24:19.470 15/12/1995]',0.115,-0.106,0.110,39.910,33.350,0.000,-
'[07:24:19.472 15/12/1995]',0.114,-0.104,0.110,49.962,35.300,0.000,-
'[07:24:19.474 15/12/1995]',0.113,-0.102,0.110,49.962,35.300,0.000,-
'[07:24:19.476 15/12/1995]',0.112,-0.101,0.110,49.962,35.300,0.000,-
'[07:24:19.478 15/12/1995]',0.112,-0.100,0.093,49.962,35.300,0.000,-
'[07:24:19.480 15/12/1995]',0.110,-0.098,0.093,65.191,37.400,0.000,-
'[07:24:19.482 15/12/1995]',0.109,-0.097,0.093,65.191,37.400,0.000,-
'[07:24:19.484 15/12/1995]',0.107,-0.095,0.098,65.191,37.400,0.000,-
'[07:24:19.486 15/12/1995]',0.106,-0.092,0.098,65.191,37.400,0.000,-
'[07:24:19.488 15/12/1995]',0.105,-0.090,0.098,83.946,39.650,0.000,-
'[07:24:19.490 15/12/1995]',0.103,-0.088,0.093,83.946,39.650,0.000,-
'[07:24:19.492 15/12/1995]',0.103,-0.086,0.087,83.946,39.650,0.000,-
'[07:24:19.494 15/12/1995]',0.102,-0.085,0.087,83.946,39.650,0.000,-
'[07:24:19.496 15/12/1995]',0.102,-0.085,0.087,102.626,41.900,0.000,-
'[07:24:19.498 15/12/1995]',0.102,-0.085,0.087,102.626,41.900,0.000,-
'[07:24:19.500 15/12/1995]',0.101,-0.084,0.093,102.626,41.900,0.000,-
'[07:24:19.502 15/12/1995]',0.101,-0.084,0.098,102.626,41.900,0.000,-
'[07:24:19.504 15/12/1995]',0.100,-0.082,0.098,117.179,44.000,0.000,-
'[07:24:19.506 15/12/1995]',0.100,-0.081,0.093,117.179,44.000,0.000,-
'[07:24:19.508 15/12/1995]',0.100,-0.079,0.093,117.179,44.000,0.000,-
'[07:24:19.510 15/12/1995]',0.101,-0.078,0.087,117.179,44.000,0.000,-
'[07:24:19.512 15/12/1995]',0.101,-0.076,0.087,125.206,45.900,0.000,-
'[07:24:19.514 15/12/1995]',0.102,-0.075,0.093,125.206,45.900,0.000,-
'[07:24:19.516 15/12/1995]',0.102,-0.074,0.093,125.206,45.900,0.000,-
'[07:24:19.518 15/12/1995]',0.102,-0.074,0.098,125.206,45.900,0.000,-
'[07:24:19.520 15/12/1995]',0.102,-0.075,0.093,126.482,47.400,0.000,-
'[07:24:19.522 15/12/1995]',0.102,-0.076,0.098,126.482,47.400,0.000,-
'[07:24:19.524 15/12/1995]',0.100,-0.077,0.093,126.482,47.400,0.000,-
'[07:24:19.526 15/12/1995]',0.098,-0.078,0.075,126.482,47.400,0.000,-
'[07:24:19.528 15/12/1995]',0.096,-0.078,0.075,122.806,48.600,0.000,-
'[07:24:19.530 15/12/1995]',0.094,-0.078,0.070,122.806,48.600,0.000,-
'[07:24:19.532 15/12/1995]',0.093,-0.076,0.075,122.806,48.600,0.000,-
'[07:24:19.534 15/12/1995]',0.092,-0.075,0.075,122.806,48.600,0.000,-
'[07:24:19.536 15/12/1995]',0.092,-0.072,0.087,116.954,49.400,0.000,-
'[07:24:19.538 15/12/1995]',0.092,-0.069,0.087,116.954,49.400,0.000,-
'[07:24:19.540 15/12/1995]',0.093,-0.067,0.087,116.954,49.400,0.000,-
'[07:24:19.542 15/12/1995]',0.093,-0.065,0.087,116.954,49.400,0.000,-
'[07:24:19.544 15/12/1995]',0.094,-0.064,0.075,110.653,49.900,0.000,-
'[07:24:19.546 15/12/1995]',0.094,-0.064,0.075,110.653,49.900,0.000,-
'[07:24:19.548 15/12/1995]',0.095,-0.064,0.075,110.653,49.900,0.000,-
'[07:24:19.550 15/12/1995]',0.095,-0.065,0.087,110.653,49.900,0.000,-
'[07:24:19.552 15/12/1995]',0.095,-0.066,0.087,104.876,50.000,0.000,-
'[07:24:19.554 15/12/1995]',0.095,-0.067,0.087,104.876,50.000,0.000,-
'[07:24:19.556 15/12/1995]',0.095,-0.069,0.087,104.876,50.000,0.000,-
'[07:24:19.558 15/12/1995]',0.094,-0.071,0.087,104.876,50.000,0.000,-
'[07:24:19.560 15/12/1995]',0.094,-0.072,0.087,99.775,49.750,0.000,-
'[07:24:19.562 15/12/1995]',0.093,-0.072,0.075,99.775,49.750,0.000,-
'[07:24:19.564 15/12/1995]',0.093,-0.073,0.075,99.775,49.750,0.000,-
'[07:24:19.566 15/12/1995]',0.092,-0.073,0.075,99.775,49.750,0.000,-
'[07:24:19.568 15/12/1995]',0.092,-0.073,0.087,95.199,49.300,0.000,-
'[07:24:19.570 15/12/1995]',0.092,-0.073,0.093,95.199,49.300,0.000,-
'[07:24:19.572 15/12/1995]',0.092,-0.073,0.087,95.199,49.300,0.000,-
'[07:24:19.574 15/12/1995]',0.091,-0.072,0.070,95.199,49.300,0.000,-
'[07:24:19.576 15/12/1995]',0.090,-0.072,0.070,91.298,48.650,0.000,-
'[07:24:19.578 15/12/1995]',0.089,-0.072,0.070,91.298,48.650,0.000,-
'[07:24:19.580 15/12/1995]',0.089,-0.074,0.075,91.298,48.650,0.000,-
'[07:24:19.582 15/12/1995]',0.089,-0.075,0.075,91.298,48.650,0.000,-
'[07:24:19.584 15/12/1995]',0.090,-0.077,0.093,87.772,47.900,0.000,-
'[07:24:19.586 15/12/1995]',0.091,-0.079,0.093,87.772,47.900,0.000,-
'[07:24:19.588 15/12/1995]',0.092,-0.080,0.093,87.772,47.900,0.000,-
'[07:24:19.590 15/12/1995]',0.093,-0.082,0.087,87.772,47.900,0.000,-
'[07:24:19.592 15/12/1995]',0.094,-0.083,0.087,84.846,47.000,0.000,-
'[07:24:19.594 15/12/1995]',0.096,-0.084,0.087,84.846,47.000,0.000,-
'[07:24:19.596 15/12/1995]',0.096,-0.084,0.087,84.846,47.000,0.000,-
'[07:24:19.598 15/12/1995]',0.097,-0.085,0.093,84.846,47.000,0.000,-
'[07:24:19.600 15/12/1995]',0.098,-0.084,0.093,82.446,46.050,0.000,-
'[07:24:19.602 15/12/1995]',0.098,-0.083,0.093,82.446,46.050,0.000,-
'[07:24:19.604 15/12/1995]',0.098,-0.082,0.093,82.446,46.050,0.000,-
'[07:24:19.606 15/12/1995]',0.098,-0.081,0.093,82.446,46.050,0.000,-
'[07:24:19.608 15/12/1995]',0.098,-0.080,0.087,80.495,45.100,0.000,-
'[07:24:19.610 15/12/1995]',0.098,-0.079,0.087,80.495,45.100,0.000,-
'[07:24:19.612 15/12/1995]',0.097,-0.078,0.087,80.495,45.100,0.000,-
'[07:24:19.614 15/12/1995]',0.097,-0.078,0.075,80.495,45.100,0.000,-
'[07:24:19.616 15/12/1995]',0.097,-0.078,0.087,78.920,43.950,0.000,-
'[07:24:19.618 15/12/1995]',0.096,-0.078,0.087,78.920,43.950,0.000,-
'[07:24:19.620 15/12/1995]',0.096,-0.077,0.087,78.920,43.950,0.000,-
'[07:24:19.622 15/12/1995]',0.095,-0.077,0.087,78.920,43.950,0.000,-
'[07:24:19.624 15/12/1995]',0.095,-0.077,0.087,77.344,42.800,0.000,-
'[07:24:19.626 15/12/1995]',0.094,-0.078,0.087,77.344,42.800,0.000,-
