'Time and date','MCL1 ','II ','V ','ABP ','PAP ','PLETH ','RESP '
'[14:00:34.564 04/04/1995]',0.013,-0.008,0.006,55.800,8.945,0.000,-0.595
'[14:00:34.566 04/04/1995]',0.013,-0.008,0.013,55.800,8.945,0.000,-0.595
'[14:00:34.568 04/04/1995]',0.013,-0.008,0.006,55.450,9.472,0.000,-0.596
'[14:00:34.570 04/04/1995]',0.013,-0.008,0.006,55.450,9.472,0.000,-0.596
'[14:00:34.572 04/04/1995]',0.013,-0.008,0.013,55.450,9.472,0.000,-0.596
'[14:00:34.574 04/04/1995]',0.013,-0.008,0.006,55.450,9.472,0.000,-0.596
'[14:00:34.576 04/04/1995]',0.013,-0.008,0.013,55.100,9.824,0.000,-0.597
'[14:00:34.578 04/04/1995]',0.013,-0.008,0.006,55.100,9.824,0.000,-0.597
'[14:00:34.580 04/04/1995]',0.007,-0.008,0.006,55.100,9.824,0.000,-0.597
'[14:00:34.582 04/04/1995]',0.013,-0.008,0.006,55.100,9.824,0.000,-0.597
'[14:00:34.584 04/04/1995]',0.013,0.001,0.006,54.750,10.176,0.000,-0.599
'[14:00:34.586 04/04/1995]',0.013,-0.008,0.006,54.750,10.176,0.000,-0.599
'[14:00:34.588 04/04/1995]',0.013,-0.008,0.001,54.750,10.176,0.000,-0.599
'[14:00:34.590 04/04/1995]',0.013,0.001,0.006,54.750,10.176,0.000,-0.599
'[14:00:34.592 04/04/1995]',0.013,0.001,0.006,54.400,10.528,0.000,-0.601
'[14:00:34.594 04/04/1995]',0.013,0.001,0.006,54.400,10.528,0.000,-0.601
'[14:00:34.596 04/04/1995]',0.019,0.001,0.006,54.400,10.528,0.000,-0.601
'[14:00:34.598 04/04/1995]',0.013,0.001,0.006,54.400,10.528,0.000,-0.601
'[14:00:34.600 04/04/1995]',0.013,0.001,0.006,54.050,11.005,0.000,-0.602
'[14:00:34.602 04/04/1995]',0.013,0.001,0.001,54.050,11.005,0.000,-0.602
'[14:00:34.604 04/04/1995]',0.013,0.001,0.006,54.050,11.005,0.000,-0.602
'[14:00:34.606 04/04/1995]',0.013,0.001,0.006,54.050,11.005,0.000,-0.602
'[14:00:34.608 04/04/1995]',0.013,0.001,0.006,53.700,11.658,0.000,-0.603
'[14:00:34.610 04/04/1995]',0.013,0.001,0.006,53.700,11.658,0.000,-0.603
'[14:00:34.612 04/04/1995]',0.013,0.001,0.006,53.700,11.658,0.000,-0.603
'[14:00:34.614 04/04/1995]',0.013,0.001,0.006,53.700,11.658,0.000,-0.603
'[14:00:34.616 04/04/1995]',0.013,-0.008,0.013,53.350,12.362,0.000,-0.604
'[14:00:34.618 04/04/1995]',0.007,-0.008,0.006,53.350,12.362,0.000,-0.604
'[14:00:34.620 04/04/1995]',0.007,-0.017,0.013,53.350,12.362,0.000,-0.604
'[14:00:34.622 04/04/1995]',0.007,-0.017,0.013,53.350,12.362,0.000,-0.604
'[14:00:34.624 04/04/1995]',0.001,-0.026,0.013,53.000,12.839,0.000,-0.604
'[14:00:34.626 04/04/1995]',0.001,-0.026,0.019,53.000,12.839,0.000,-0.604
'[14:00:34.628 04/04/1995]',-0.006,-0.017,0.031,53.000,12.839,0.000,-0.604
'[14:00:34.630 04/04/1995]',-0.018,-0.008,0.019,53.000,12.839,0.000,-0.604
'[14:00:34.632 04/04/1995]',-0.031,0.001,0.019,52.700,13.065,0.000,-0.605
'[14:00:34.634 04/04/1995]',-0.037,0.001,0.019,52.700,13.065,0.000,-0.605
'[14:00:34.636 04/04/1995]',-0.031,0.001,0.013,52.700,13.065,0.000,-0.605
'[14:00:34.638 04/04/1995]',-0.012,0.018,0.013,52.700,13.065,0.000,-0.605
'[14:00:34.640 04/04/1995]',0.001,0.027,0.001,52.400,13.065,0.000,-0.606
'[14:00:34.642 04/04/1995]',0.019,0.054,-0.012,52.400,13.065,0.000,-0.606
'[14:00:34.644 04/04/1995]',0.044,0.072,-0.036,52.400,13.065,0.000,-0.606
'[14:00:34.646 04/04/1995]',0.082,0.099,-0.061,52.400,13.065,0.000,-0.606
'[14:00:34.648 04/04/1995]',0.106,0.135,-0.080,52.100,12.839,0.000,-0.607
'[14:00:34.650 04/04/1995]',0.138,0.153,-0.104,52.100,12.839,0.000,-0.607
'[14:00:34.652 04/04/1995]',0.163,0.180,-0.129,52.100,12.839,0.000,-0.607
'[14:00:34.654 04/04/1995]',0.193,0.198,-0.141,52.100,12.839,0.000,-0.607
'[14:00:34.656 04/04/1995]',0.225,0.233,-0.166,51.850,12.487,0.000,-0.607
'[14:00:34.658 04/04/1995]',0.250,0.251,-0.190,51.850,12.487,0.000,-0.607
'[14:00:34.660 04/04/1995]',0.274,0.260,-0.196,51.850,12.487,0.000,-0.607
'[14:00:34.662 04/04/1995]',0.281,0.278,-0.209,51.850,12.487,0.000,-0.607
'[14:00:34.664 04/04/1995]',0.299,0.278,-0.215,51.700,12.136,0.000,-0.607
'[14:00:34.666 04/04/1995]',0.299,0.296,-0.221,51.700,12.136,0.000,-0.607
'[14:00:34.668 04/04/1995]',0.306,0.323,-0.239,51.700,12.136,0.000,-0.607
'[14:00:34.670 04/04/1995]',0.306,0.368,-0.258,51.700,12.136,0.000,-0.607
'[14:00:34.672 04/04/1995]',0.318,0.421,-0.276,51.450,11.884,0.000,-0.606
'[14:00:34.674 04/04/1995]',0.318,0.475,-0.301,51.450,11.884,0.000,-0.606
'[14:00:34.676 04/04/1995]',0.299,0.520,-0.319,51.450,11.884,0.000,-0.606
'[14:00:34.678 04/04/1995]',0.281,0.538,-0.319,51.450,11.884,0.000,-0.606
'[14:00:34.680 04/04/1995]',0.268,0.547,-0.319,51.300,11.658,0.000,-0.604
'[14:00:34.682 04/04/1995]',0.237,0.529,-0.319,51.300,11.658,0.000,-0.604
'[14:00:34.684 04/04/1995]',0.218,0.511,-0.301,51.300,11.658,0.000,-0.604
'[14:00:34.686 04/04/1995]',0.193,0.466,-0.276,51.300,11.658,0.000,-0.604
'[14:00:34.688 04/04/1995]',0.163,0.412,-0.246,51.050,11.407,0.000,-0.602
'[14:00:34.690 04/04/1995]',0.144,0.350,-0.215,51.050,11.407,0.000,-0.602
'[14:00:34.692 04/04/1995]',0.131,0.278,-0.184,51.050,11.407,0.000,-0.602
'[14:00:34.694 04/04/1995]',0.106,0.216,-0.141,51.050,11.407,0.000,-0.602
'[14:00:34.696 04/04/1995]',0.082,0.144,-0.110,50.800,11.231,0.000,-0.599
'[14:00:34.698 04/04/1995]',0.063,0.072,-0.080,50.800,11.231,0.000,-0.599
'[14:00:34.700 04/04/1995]',0.038,0.001,-0.036,50.800,11.231,0.000,-0.599
'[14:00:34.702 04/04/1995]',0.032,-0.044,-0.006,50.800,11.231,0.000,-0.599
'[14:00:34.704 04/04/1995]',0.013,-0.098,0.013,50.500,11.131,0.000,-0.597
'[14:00:34.706 04/04/1995]',0.007,-0.133,0.031,50.500,11.131,0.000,-0.597
'[14:00:34.708 04/04/1995]',0.001,-0.169,0.043,50.500,11.131,0.000,-0.597
'[14:00:34.710 04/04/1995]',0.001,-0.187,0.056,50.500,11.131,0.000,-0.597
'[14:00:34.712 04/04/1995]',-0.006,-0.187,0.068,50.300,11.131,0.000,-0.594
'[14:00:34.714 04/04/1995]',-0.006,-0.187,0.062,50.300,11.131,0.000,-0.594
'[14:00:34.716 04/04/1995]',-0.012,-0.178,0.068,50.300,11.131,0.000,-0.594
'[14:00:34.718 04/04/1995]',-0.012,-0.160,0.062,50.300,11.131,0.000,-0.594
'[14:00:34.720 04/04/1995]',-0.018,-0.142,0.068,50.050,11.231,0.000,-0.592
'[14:00:34.722 04/04/1995]',-0.018,-0.125,0.068,50.050,11.231,0.000,-0.592
'[14:00:34.724 04/04/1995]',-0.018,-0.125,0.062,50.050,11.231,0.000,-0.592
'[14:00:34.726 04/04/1995]',-0.031,-0.116,0.062,50.050,11.231,0.000,-0.592
'[14:00:34.728 04/04/1995]',-0.031,-0.107,0.062,49.750,11.709,0.000,-0.591
'[14:00:34.730 04/04/1995]',-0.031,-0.107,0.068,49.750,11.709,0.000,-0.591
'[14:00:34.732 04/04/1995]',-0.037,-0.107,0.068,49.750,11.709,0.000,-0.591
'[14:00:34.734 04/04/1995]',-0.037,-0.107,0.062,49.750,11.709,0.000,-0.591
'[14:00:34.736 04/04/1995]',-0.031,-0.098,0.068,49.500,12.588,0.000,-0.590
'[14:00:34.738 04/04/1995]',-0.031,-0.098,0.068,49.500,12.588,0.000,-0.590
'[14:00:34.740 04/04/1995]',-0.037,-0.107,0.062,49.500,12.588,0.000,-0.590
'[14:00:34.742 04/04/1995]',-0.037,-0.107,0.068,49.500,12.588,0.000,-0.590
'[14:00:34.744 04/04/1995]',-0.031,-0.107,0.068,49.300,13.894,0.000,-0.590
'[14:00:34.746 04/04/1995]',-0.037,-0.107,0.068,49.300,13.894,0.000,-0.590
'[14:00:34.748 04/04/1995]',-0.037,-0.107,0.062,49.300,13.894,0.000,-0.590
'[14:00:34.750 04/04/1995]',-0.037,-0.107,0.068,49.300,13.894,0.000,-0.590
'[14:00:34.752 04/04/1995]',-0.031,-0.107,0.068,49.050,15.477,0.000,-0.591
'[14:00:34.754 04/04/1995]',-0.037,-0.116,0.068,49.050,15.477,0.000,-0.591
'[14:00:34.756 04/04/1995]',-0.031,-0.107,0.068,49.050,15.477,0.000,-0.591
'[14:00:34.758 04/04/1995]',-0.031,-0.107,0.068,49.050,15.477,0.000,-0.591
'[14:00:34.760 04/04/1995]',-0.031,-0.116,0.068,48.850,17.437,0.000,-0.592
'[14:00:34.762 04/04/1995]',-0.037,-0.116,0.068,48.850,17.437,0.000,-0.592
'[14:00:34.764 04/04/1995]',-0.031,-0.116,0.068,48.850,17.437,0.000,-0.592
'[14:00:34.766 04/04/1995]',-0.031,-0.116,0.068,48.850,17.437,0.000,-0.592
'[14:00:34.768 04/04/1995]',-0.037,-0.107,0.068,48.700,19.548,0.000,-0.593
'[14:00:34.770 04/04/1995]',-0.037,-0.107,0.068,48.700,19.548,0.000,-0.593
'[14:00:34.772 04/04/1995]',-0.031,-0.116,0.068,48.700,19.548,0.000,-0.593
'[14:00:34.774 04/04/1995]',-0.031,-0.116,0.068,48.700,19.548,0.000,-0.593
'[14:00:34.776 04/04/1995]',-0.031,-0.116,0.068,48.450,21.658,0.000,-0.594
'[14:00:34.778 04/04/1995]',-0.031,-0.116,0.062,48.450,21.658,0.000,-0.594
'[14:00:34.780 04/04/1995]',-0.031,-0.116,0.068,48.450,21.658,0.000,-0.594
'[14:00:34.782 04/04/1995]',-0.031,-0.107,0.068,48.450,21.658,0.000,-0.594
'[14:00:34.784 04/04/1995]',-0.031,-0.107,0.068,48.300,23.492,0.000,-0.595
'[14:00:34.786 04/04/1995]',-0.031,-0.107,0.062,48.300,23.492,0.000,-0.595
'[14:00:34.788 04/04/1995]',-0.031,-0.107,0.068,48.300,23.492,0.000,-0.595
'[14:00:34.790 04/04/1995]',-0.031,-0.098,0.062,48.300,23.492,0.000,-0.595
'[14:00:34.792 04/04/1995]',-0.018,-0.107,0.062,48.100,25.075,0.000,-0.597
'[14:00:34.794 04/04/1995]',-0.018,-0.098,0.062,48.100,25.075,0.000,-0.597
'[14:00:34.796 04/04/1995]',-0.031,-0.098,0.062,48.100,25.075,0.000,-0.597
'[14:00:34.798 04/04/1995]',-0.031,-0.098,0.062,48.100,25.075,0.000,-0.597
'[14:00:34.800 04/04/1995]',-0.031,-0.098,0.056,47.950,26.382,0.000,-0.600
'[14:00:34.802 04/04/1995]',-0.031,-0.089,0.056,47.950,26.382,0.000,-0.600
'[14:00:34.804 04/04/1995]',-0.031,-0.089,0.056,47.950,26.382,0.000,-0.600
'[14:00:34.806 04/04/1995]',-0.018,-0.089,0.056,47.950,26.382,0.000,-0.600
'[14:00:34.808 04/04/1995]',-0.018,-0.080,0.056,47.800,27.387,0.000,-0.603
'[14:00:34.810 04/04/1995]',-0.018,-0.089,0.056,47.800,27.387,0.000,-0.603
'[14:00:34.812 04/04/1995]',-0.018,-0.080,0.056,47.800,27.387,0.000,-0.603
'[14:00:34.814 04/04/1995]',-0.018,-0.080,0.043,47.800,27.387,0.000,-0.603
'[14:00:34.816 04/04/1995]',-0.018,-0.080,0.056,47.700,28.015,0.000,-0.606
'[14:00:34.818 04/04/1995]',-0.018,-0.071,0.043,47.700,28.015,0.000,-0.606
'[14:00:34.820 04/04/1995]',-0.018,-0.071,0.043,47.700,28.015,0.000,-0.606
'[14:00:34.822 04/04/1995]',-0.018,-0.062,0.043,47.700,28.015,0.000,-0.606
'[14:00:34.824 04/04/1995]',-0.012,-0.062,0.043,47.700,28.317,0.000,-0.608
'[14:00:34.826 04/04/1995]',-0.012,-0.062,0.037,47.700,28.317,0.000,-0.608
'[14:00:34.828 04/04/1995]',-0.012,-0.053,0.037,47.700,28.317,0.000,-0.608
'[14:00:34.830 04/04/1995]',-0.012,-0.053,0.037,47.700,28.317,0.000,-0.608
'[14:00:34.832 04/04/1995]',-0.012,-0.053,0.031,47.750,28.367,0.000,-0.610
'[14:00:34.834 04/04/1995]',-0.012,-0.044,0.031,47.750,28.367,0.000,-0.610
'[14:00:34.836 04/04/1995]',-0.018,-0.035,0.019,47.750,28.367,0.000,-0.610
'[14:00:34.838 04/04/1995]',-0.012,-0.035,0.031,47.750,28.367,0.000,-0.610
'[14:00:34.840 04/04/1995]',-0.012,-0.035,0.031,47.800,28.191,0.000,-0.612
'[14:00:34.842 04/04/1995]',-0.012,-0.035,0.019,47.800,28.191,0.000,-0.612
'[14:00:34.844 04/04/1995]',-0.012,-0.026,0.019,47.800,28.191,0.000,-0.612
'[14:00:34.846 04/04/1995]',-0.012,-0.017,0.019,47.800,28.191,0.000,-0.612
'[14:00:34.848 04/04/1995]',-0.012,-0.017,0.019,48.050,27.663,0.000,-0.613
'[14:00:34.850 04/04/1995]',-0.012,-0.017,0.019,48.050,27.663,0.000,-0.613
'[14:00:34.852 04/04/1995]',-0.012,-0.008,0.019,48.050,27.663,0.000,-0.613
'[14:00:34.854 04/04/1995]',-0.012,-0.008,0.013,48.050,27.663,0.000,-0.613
'[14:00:34.856 04/04/1995]',-0.012,-0.008,0.013,48.400,26.734,0.000,-0.613
'[14:00:34.858 04/04/1995]',-0.012,0.001,0.013,48.400,26.734,0.000,-0.613
'[14:00:34.860 04/04/1995]',-0.012,0.001,0.013,48.400,26.734,0.000,-0.613
'[14:00:34.862 04/04/1995]',-0.018,0.001,0.013,48.400,26.734,0.000,-0.613
'[14:00:34.864 04/04/1995]',-0.012,0.001,0.013,49.150,25.327,0.000,-0.614
'[14:00:34.866 04/04/1995]',-0.012,0.001,0.013,49.150,25.327,0.000,-0.614
'[14:00:34.868 04/04/1995]',-0.012,0.001,0.006,49.150,25.327,0.000,-0.614
'[14:00:34.870 04/04/1995]',-0.012,0.001,0.006,49.150,25.327,0.000,-0.614
'[14:00:34.872 04/04/1995]',-0.012,0.001,0.006,50.550,23.719,0.000,-0.614
'[14:00:34.874 04/04/1995]',-0.012,0.001,0.006,50.550,23.719,0.000,-0.614
'[14:00:34.876 04/04/1995]',-0.012,0.001,0.006,50.550,23.719,0.000,-0.614
'[14:00:34.878 04/04/1995]',-0.012,0.001,0.006,50.550,23.719,0.000,-0.614
'[14:00:34.880 04/04/1995]',-0.012,0.009,0.001,53.100,22.487,0.000,-0.614
'[14:00:34.882 04/04/1995]',-0.012,0.009,0.006,53.100,22.487,0.000,-0.614
'[14:00:34.884 04/04/1995]',-0.006,0.009,0.006,53.100,22.487,0.000,-0.614
'[14:00:34.886 04/04/1995]',-0.012,0.018,0.006,53.100,22.487,0.000,-0.614
'[14:00:34.888 04/04/1995]',-0.012,0.018,0.001,56.900,21.960,0.000,-0.613
'[14:00:34.890 04/04/1995]',-0.012,0.018,0.001,56.900,21.960,0.000,-0.613
'[14:00:34.892 04/04/1995]',-0.012,0.018,0.006,56.900,21.960,0.000,-0.613
'[14:00:34.894 04/04/1995]',-0.012,0.027,0.001,56.900,21.960,0.000,-0.613
'[14:00:34.896 04/04/1995]',-0.012,0.027,0.001,62.150,21.910,0.000,-0.613
'[14:00:34.898 04/04/1995]',-0.012,0.027,0.001,62.150,21.910,0.000,-0.613
'[14:00:34.900 04/04/1995]',-0.018,0.027,0.001,62.150,21.910,0.000,-0.613
'[14:00:34.902 04/04/1995]',-0.018,0.027,0.001,62.150,21.910,0.000,-0.613
'[14:00:34.904 04/04/1995]',-0.012,0.027,0.001,68.550,22.010,0.000,-0.612
'[14:00:34.906 04/04/1995]',-0.018,0.027,0.001,68.550,22.010,0.000,-0.612
'[14:00:34.908 04/04/1995]',-0.018,0.027,0.001,68.550,22.010,0.000,-0.612
'[14:00:34.910 04/04/1995]',-0.018,0.036,0.001,68.550,22.010,0.000,-0.612
'[14:00:34.912 04/04/1995]',-0.018,0.036,0.001,75.400,22.136,0.000,-0.612
'[14:00:34.914 04/04/1995]',-0.018,0.036,0.001,75.400,22.136,0.000,-0.612
'[14:00:34.916 04/04/1995]',-0.018,0.036,0.001,75.400,22.136,0.000,-0.612
'[14:00:34.918 04/04/1995]',-0.018,0.036,0.001,75.400,22.136,0.000,-0.612
'[14:00:34.920 04/04/1995]',-0.018,0.036,0.001,81.850,22.487,0.000,-0.611
'[14:00:34.922 04/04/1995]',-0.018,0.045,0.001,81.850,22.487,0.000,-0.611
'[14:00:34.924 04/04/1995]',-0.018,0.045,0.001,81.850,22.487,0.000,-0.611
'[14:00:34.926 04/04/1995]',-0.018,0.036,-0.006,81.850,22.487,0.000,-0.611
'[14:00:34.928 04/04/1995]',-0.018,0.036,-0.006,87.200,23.090,0.000,-0.611
'[14:00:34.930 04/04/1995]',-0.031,0.045,0.001,87.200,23.090,0.000,-0.611
'[14:00:34.932 04/04/1995]',-0.031,0.036,-0.006,87.200,23.090,0.000,-0.611
'[14:00:34.934 04/04/1995]',-0.018,0.045,-0.006,87.200,23.090,0.000,-0.611
'[14:00:34.936 04/04/1995]',-0.018,0.045,-0.006,91.050,23.894,0.000,-0.610
'[14:00:34.938 04/04/1995]',-0.018,0.045,-0.006,91.050,23.894,0.000,-0.610
'[14:00:34.940 04/04/1995]',-0.018,0.045,-0.006,91.050,23.894,0.000,-0.610
'[14:00:34.942 04/04/1995]',-0.018,0.045,-0.006,91.050,23.894,0.000,-0.610
'[14:00:34.944 04/04/1995]',-0.018,0.045,0.001,93.450,24.673,0.000,-0.610
'[14:00:34.946 04/04/1995]',-0.018,0.045,0.001,93.450,24.673,0.000,-0.610
'[14:00:34.948 04/04/1995]',-0.031,0.045,0.001,93.450,24.673,0.000,-0.610
'[14:00:34.950 04/04/1995]',-0.018,0.045,0.001,93.450,24.673,0.000,-0.610
'[14:00:34.952 04/04/1995]',-0.018,0.036,0.001,94.750,25.251,0.000,-0.611
'[14:00:34.954 04/04/1995]',-0.018,0.045,0.001,94.750,25.251,0.000,-0.611
'[14:00:34.956 04/04/1995]',-0.018,0.045,0.001,94.750,25.251,0.000,-0.611
'[14:00:34.958 04/04/1995]',-0.018,0.045,0.001,94.750,25.251,0.000,-0.611
'[14:00:34.960 04/04/1995]',-0.018,0.036,0.001,95.350,25.678,0.000,-0.613
'[14:00:34.962 04/04/1995]',-0.031,0.036,0.001,95.350,25.678,0.000,-0.613
'[14:00:34.964 04/04/1995]',-0.031,0.027,0.001,95.350,25.678,0.000,-0.613
'[14:00:34.966 04/04/1995]',-0.031,0.027,0.001,95.350,25.678,0.000,-0.613
'[14:00:34.968 04/04/1995]',-0.031,0.036,0.001,95.450,25.955,0.000,-0.615
'[14:00:34.970 04/04/1995]',-0.018,0.036,0.001,95.450,25.955,0.000,-0.615
'[14:00:34.972 04/04/1995]',-0.018,0.036,0.001,95.450,25.955,0.000,-0.615
'[14:00:34.974 04/04/1995]',-0.018,0.036,0.001,95.450,25.955,0.000,-0.615
'[14:00:34.976 04/04/1995]',-0.018,0.027,0.006,95.200,26.030,0.000,-0.617
'[14:00:34.978 04/04/1995]',-0.012,0.027,0.006,95.200,26.030,0.000,-0.617
'[14:00:34.980 04/04/1995]',-0.018,0.027,0.001,95.200,26.030,0.000,-0.617
'[14:00:34.982 04/04/1995]',-0.018,0.027,0.006,95.200,26.030,0.000,-0.617
'[14:00:34.984 04/04/1995]',-0.018,0.027,0.006,94.700,25.779,0.000,-0.620
'[14:00:34.986 04/04/1995]',-0.018,0.027,0.006,94.700,25.779,0.000,-0.620
'[14:00:34.988 04/04/1995]',-0.018,0.018,0.001,94.700,25.779,0.000,-0.620
'[14:00:34.990 04/04/1995]',-0.018,0.027,0.006,94.700,25.779,0.000,-0.620
'[14:00:34.992 04/04/1995]',-0.012,0.018,0.001,93.950,25.377,0.000,-0.622
'[14:00:34.994 04/04/1995]',-0.018,0.009,0.006,93.950,25.377,0.000,-0.622
'[14:00:34.996 04/04/1995]',-0.018,0.009,0.001,93.950,25.377,0.000,-0.622
'[14:00:34.998 04/04/1995]',-0.012,0.009,0.006,93.950,25.377,0.000,-0.622
'[14:00:35.000 04/04/1995]',-0.012,0.018,0.006,92.900,24.849,0.000,-0.624
'[14:00:35.002 04/04/1995]',-0.018,0.009,0.001,92.900,24.849,0.000,-0.624
'[14:00:35.004 04/04/1995]',-0.012,0.009,0.006,92.900,24.849,0.000,-0.624
'[14:00:35.006 04/04/1995]',-0.012,0.018,0.006,92.900,24.849,0.000,-0.624
'[14:00:35.008 04/04/1995]',-0.012,0.009,0.006,91.450,24.246,0.000,-0.626
'[14:00:35.010 04/04/1995]',-0.012,0.009,0.006,91.450,24.246,0.000,-0.626
'[14:00:35.012 04/04/1995]',-0.012,0.009,0.006,91.450,24.246,0.000,-0.626
'[14:00:35.014 04/04/1995]',-0.012,0.009,0.006,91.450,24.246,0.000,-0.626
'[14:00:35.016 04/04/1995]',-0.012,0.009,0.006,89.750,23.668,0.000,-0.629
'[14:00:35.018 04/04/1995]',-0.012,0.009,0.006,89.750,23.668,0.000,-0.629
'[14:00:35.020 04/04/1995]',-0.012,0.009,0.006,89.750,23.668,0.000,-0.629
'[14:00:35.022 04/04/1995]',-0.012,0.009,0.006,89.750,23.668,0.000,-0.629
'[14:00:35.024 04/04/1995]',-0.012,0.009,0.006,87.700,23.191,0.000,-0.631
'[14:00:35.026 04/04/1995]',-0.012,0.001,0.001,87.700,23.191,0.000,-0.631
'[14:00:35.028 04/04/1995]',-0.012,0.001,0.006,87.700,23.191,0.000,-0.631
'[14:00:35.030 04/04/1995]',-0.012,0.001,0.006,87.700,23.191,0.000,-0.631
'[14:00:35.032 04/04/1995]',-0.012,0.001,0.006,85.400,22.839,0.000,-0.634
'[14:00:35.034 04/04/1995]',-0.012,0.001,0.013,85.400,22.839,0.000,-0.634
'[14:00:35.036 04/04/1995]',-0.006,0.001,0.006,85.400,22.839,0.000,-0.634
'[14:00:35.038 04/04/1995]',-0.012,0.001,0.006,85.400,22.839,0.000,-0.634
'[14:00:35.040 04/04/1995]',-0.006,0.001,0.006,82.800,22.714,0.000,-0.637
'[14:00:35.042 04/04/1995]',-0.012,0.001,0.006,82.800,22.714,0.000,-0.637
'[14:00:35.044 04/04/1995]',-0.012,0.001,0.006,82.800,22.714,0.000,-0.637
'[14:00:35.046 04/04/1995]',-0.006,0.001,0.013,82.800,22.714,0.000,-0.637
'[14:00:35.048 04/04/1995]',-0.006,0.001,0.013,80.050,22.663,0.000,-0.639
'[14:00:35.050 04/04/1995]',-0.012,0.001,0.006,80.050,22.663,0.000,-0.639
'[14:00:35.052 04/04/1995]',-0.012,0.001,0.006,80.050,22.663,0.000,-0.639
'[14:00:35.054 04/04/1995]',-0.012,0.001,0.006,80.050,22.663,0.000,-0.639
'[14:00:35.056 04/04/1995]',-0.006,0.001,0.013,77.100,22.613,0.000,-0.642
'[14:00:35.058 04/04/1995]',-0.006,0.001,0.006,77.100,22.613,0.000,-0.642
'[14:00:35.060 04/04/1995]',-0.012,0.001,0.006,77.100,22.613,0.000,-0.642
'[14:00:35.062 04/04/1995]',-0.012,0.001,0.006,77.100,22.613,0.000,-0.642
'[14:00:35.064 04/04/1995]',-0.006,0.001,0.006,74.150,22.613,0.000,-0.644
'[14:00:35.066 04/04/1995]',-0.006,0.001,0.006,74.150,22.613,0.000,-0.644
'[14:00:35.068 04/04/1995]',-0.012,0.001,0.006,74.150,22.613,0.000,-0.644
'[14:00:35.070 04/04/1995]',-0.012,0.001,0.006,74.150,22.613,0.000,-0.644
'[14:00:35.072 04/04/1995]',-0.012,0.001,0.006,71.150,22.663,0.000,-0.646
'[14:00:35.074 04/04/1995]',-0.006,0.001,0.006,71.150,22.663,0.000,-0.646
'[14:00:35.076 04/04/1995]',-0.012,0.001,0.013,71.150,22.663,0.000,-0.646
'[14:00:35.078 04/04/1995]',-0.012,0.001,0.006,71.150,22.663,0.000,-0.646
'[14:00:35.080 04/04/1995]',-0.006,0.001,0.013,68.200,22.839,0.000,-0.648
'[14:00:35.082 04/04/1995]',-0.006,0.001,0.013,68.200,22.839,0.000,-0.648
'[14:00:35.084 04/04/1995]',-0.012,0.001,0.013,68.200,22.839,0.000,-0.648
'[14:00:35.086 04/04/1995]',-0.012,0.001,0.013,68.200,22.839,0.000,-0.648
'[14:00:35.088 04/04/1995]',-0.006,0.001,0.013,65.500,22.965,0.000,-0.650
'[14:00:35.090 04/04/1995]',-0.006,0.001,0.013,65.500,22.965,0.000,-0.650
'[14:00:35.092 04/04/1995]',-0.006,-0.008,0.013,65.500,22.965,0.000,-0.650
'[14:00:35.094 04/04/1995]',-0.012,-0.008,0.013,65.500,22.965,0.000,-0.650
'[14:00:35.096 04/04/1995]',-0.012,-0.008,0.013,63.250,23.090,0.000,-0.652
'[14:00:35.098 04/04/1995]',-0.006,-0.017,0.013,63.250,23.090,0.000,-0.652
'[14:00:35.100 04/04/1995]',-0.012,0.001,0.013,63.250,23.090,0.000,-0.652
'[14:00:35.102 04/04/1995]',-0.006,0.001,0.013,63.250,23.090,0.000,-0.652
'[14:00:35.104 04/04/1995]',-0.006,0.001,0.013,61.450,23.090,0.000,-0.654
'[14:00:35.106 04/04/1995]',-0.006,-0.008,0.013,61.450,23.090,0.000,-0.654
'[14:00:35.108 04/04/1995]',-0.006,0.001,0.013,61.450,23.090,0.000,-0.654
'[14:00:35.110 04/04/1995]',-0.006,-0.008,0.013,61.450,23.090,0.000,-0.654
'[14:00:35.112 04/04/1995]',-0.006,-0.008,0.013,60.250,22.915,0.000,-0.655
'[14:00:35.114 04/04/1995]',0.001,-0.017,0.013,60.250,22.915,0.000,-0.655
'[14:00:35.116 04/04/1995]',-0.006,-0.008,0.013,60.250,22.915,0.000,-0.655
'[14:00:35.118 04/04/1995]',-0.006,-0.008,0.013,60.250,22.915,0.000,-0.655
'[14:00:35.120 04/04/1995]',-0.006,-0.017,0.013,59.500,22.663,0.000,-0.655
'[14:00:35.122 04/04/1995]',-0.006,-0.008,0.013,59.500,22.663,0.000,-0.655
'[14:00:35.124 04/04/1995]',-0.006,-0.008,0.013,59.500,22.663,0.000,-0.655
'[14:00:35.126 04/04/1995]',-0.006,-0.008,0.013,59.500,22.663,0.000,-0.655
'[14:00:35.128 04/04/1995]',-0.006,-0.008,0.013,59.000,22.362,0.000,-0.656
'[14:00:35.130 04/04/1995]',-0.006,-0.008,0.013,59.000,22.362,0.000,-0.656
'[14:00:35.132 04/04/1995]',-0.006,0.001,0.013,59.000,22.362,0.000,-0.656
'[14:00:35.134 04/04/1995]',-0.012,0.001,0.013,59.000,22.362,0.000,-0.656
'[14:00:35.136 04/04/1995]',-0.006,0.001,0.013,58.700,22.136,0.000,-0.656
'[14:00:35.138 04/04/1995]',-0.006,0.001,0.013,58.700,22.136,0.000,-0.656
'[14:00:35.140 04/04/1995]',-0.012,0.001,0.013,58.700,22.136,0.000,-0.656
