'Time and date','V','II','ABP','RESP'
'[10:41:17.554 04/04/1996]',0.035,-0.269,70.968,0.674
'[10:41:17.556 04/04/1996]',0.047,-0.269,70.968,0.674
'[10:41:17.558 04/04/1996]',0.058,-0.242,70.968,0.674
'[10:41:17.560 04/04/1996]',0.058,-0.215,71.724,0.647
'[10:41:17.562 04/04/1996]',0.058,-0.187,71.724,0.647
'[10:41:17.564 04/04/1996]',0.058,-0.187,71.724,0.647
'[10:41:17.566 04/04/1996]',0.058,-0.160,71.724,0.647
'[10:41:17.568 04/04/1996]',0.058,-0.160,72.429,0.622
'[10:41:17.570 04/04/1996]',0.058,-0.160,72.429,0.622
'[10:41:17.572 04/04/1996]',0.058,-0.133,72.429,0.622
'[10:41:17.574 04/04/1996]',0.058,-0.133,72.429,0.622
'[10:41:17.576 04/04/1996]',0.070,-0.133,73.034,0.596
'[10:41:17.578 04/04/1996]',0.070,-0.133,73.034,0.596
'[10:41:17.580 04/04/1996]',0.070,-0.133,73.034,0.596
'[10:41:17.582 04/04/1996]',0.070,-0.133,73.034,0.596
'[10:41:17.584 04/04/1996]',0.070,-0.133,73.438,0.571
'[10:41:17.586 04/04/1996]',0.070,-0.106,73.438,0.571
'[10:41:17.588 04/04/1996]',0.070,-0.106,73.438,0.571
'[10:41:17.590 04/04/1996]',0.070,-0.106,73.438,0.571
'[10:41:17.592 04/04/1996]',0.070,-0.106,73.639,0.545
'[10:41:17.594 04/04/1996]',0.070,-0.106,73.639,0.545
'[10:41:17.596 04/04/1996]',0.070,-0.106,73.639,0.545
'[10:41:17.598 04/04/1996]',0.070,-0.079,73.639,0.545
'[10:41:17.600 04/04/1996]',0.070,-0.079,73.790,0.520
'[10:41:17.602 04/04/1996]',0.070,-0.079,73.790,0.520
'[10:41:17.604 04/04/1996]',0.070,-0.079,73.790,0.520
'[10:41:17.606 04/04/1996]',0.070,-0.052,73.790,0.520
'[10:41:17.608 04/04/1996]',0.070,-0.052,73.790,0.495
'[10:41:17.610 04/04/1996]',0.070,-0.052,73.790,0.495
'[10:41:17.612 04/04/1996]',0.058,-0.052,73.790,0.495
'[10:41:17.614 04/04/1996]',0.070,-0.052,73.790,0.495
'[10:41:17.616 04/04/1996]',0.058,-0.025,73.639,0.469
'[10:41:17.618 04/04/1996]',0.058,-0.025,73.639,0.469
'[10:41:17.620 04/04/1996]',0.058,-0.025,73.639,0.469
'[10:41:17.622 04/04/1996]',0.070,-0.025,73.639,0.469
'[10:41:17.624 04/04/1996]',0.070,0.002,73.438,0.441
'[10:41:17.626 04/04/1996]',0.058,0.002,73.438,0.441
'[10:41:17.628 04/04/1996]',0.058,0.002,73.438,0.441
'[10:41:17.630 04/04/1996]',0.058,0.002,73.438,0.441
'[10:41:17.632 04/04/1996]',0.070,0.002,73.135,0.412
'[10:41:17.634 04/04/1996]',0.058,0.002,73.135,0.412
'[10:41:17.636 04/04/1996]',0.058,0.028,73.135,0.412
'[10:41:17.638 04/04/1996]',0.058,0.028,73.135,0.412
'[10:41:17.640 04/04/1996]',0.058,0.028,72.681,0.384
'[10:41:17.642 04/04/1996]',0.047,0.055,72.681,0.384
'[10:41:17.644 04/04/1996]',0.047,0.055,72.681,0.384
'[10:41:17.646 04/04/1996]',0.035,0.055,72.681,0.384
'[10:41:17.648 04/04/1996]',0.035,0.083,72.127,0.356
'[10:41:17.650 04/04/1996]',0.035,0.083,72.127,0.356
'[10:41:17.652 04/04/1996]',0.035,0.083,72.127,0.356
'[10:41:17.654 04/04/1996]',0.024,0.110,72.127,0.356
'[10:41:17.656 04/04/1996]',0.024,0.110,71.522,0.330
'[10:41:17.658 04/04/1996]',0.024,0.110,71.522,0.330
'[10:41:17.660 04/04/1996]',0.024,0.110,71.522,0.330
'[10:41:17.662 04/04/1996]',0.024,0.110,71.522,0.330
'[10:41:17.664 04/04/1996]',0.024,0.137,70.867,0.303
'[10:41:17.666 04/04/1996]',0.024,0.137,70.867,0.303
'[10:41:17.668 04/04/1996]',0.024,0.137,70.867,0.303
'[10:41:17.670 04/04/1996]',0.024,0.137,70.867,0.303
'[10:41:17.672 04/04/1996]',0.024,0.137,70.262,0.278
'[10:41:17.674 04/04/1996]',0.024,0.137,70.262,0.278
'[10:41:17.676 04/04/1996]',0.024,0.137,70.262,0.278
'[10:41:17.678 04/04/1996]',0.024,0.137,70.262,0.278
'[10:41:17.680 04/04/1996]',0.024,0.137,69.758,0.253
'[10:41:17.682 04/04/1996]',0.024,0.137,69.758,0.253
'[10:41:17.684 04/04/1996]',0.024,0.137,69.758,0.253
'[10:41:17.686 04/04/1996]',0.024,0.110,69.758,0.253
'[10:41:17.688 04/04/1996]',0.024,0.110,69.758,0.229
'[10:41:17.690 04/04/1996]',0.024,0.110,69.758,0.229
'[10:41:17.692 04/04/1996]',0.024,0.110,69.758,0.229
'[10:41:17.694 04/04/1996]',0.024,0.083,69.758,0.229
'[10:41:17.696 04/04/1996]',0.035,0.083,70.665,0.205
'[10:41:17.698 04/04/1996]',0.035,0.055,70.665,0.205
'[10:41:17.700 04/04/1996]',0.035,0.055,70.665,0.205
'[10:41:17.702 04/04/1996]',0.047,0.055,70.665,0.205
'[10:41:17.704 04/04/1996]',0.047,0.028,72.681,0.182
'[10:41:17.706 04/04/1996]',0.047,0.028,72.681,0.182
'[10:41:17.708 04/04/1996]',0.047,0.028,72.681,0.182
'[10:41:17.710 04/04/1996]',0.047,0.002,72.681,0.182
'[10:41:17.712 04/04/1996]',0.058,0.002,75.958,0.161
'[10:41:17.714 04/04/1996]',0.047,0.002,75.958,0.161
'[10:41:17.716 04/04/1996]',0.058,0.002,75.958,0.161
'[10:41:17.718 04/04/1996]',0.058,0.002,75.958,0.161
'[10:41:17.720 04/04/1996]',0.058,0.002,80.343,0.140
'[10:41:17.722 04/04/1996]',0.058,0.002,80.343,0.140
'[10:41:17.724 04/04/1996]',0.058,0.002,80.343,0.140
'[10:41:17.726 04/04/1996]',0.058,0.002,80.343,0.140
'[10:41:17.728 04/04/1996]',0.058,0.002,85.433,0.119
'[10:41:17.730 04/04/1996]',0.058,-0.025,85.433,0.119
'[10:41:17.732 04/04/1996]',0.058,-0.025,85.433,0.119
'[10:41:17.734 04/04/1996]',0.058,-0.025,85.433,0.119
'[10:41:17.736 04/04/1996]',0.058,-0.025,90.776,0.100
'[10:41:17.738 04/04/1996]',0.058,-0.025,90.776,0.100
'[10:41:17.740 04/04/1996]',0.058,-0.025,90.776,0.100
'[10:41:17.742 04/04/1996]',0.058,-0.052,90.776,0.100
'[10:41:17.744 04/04/1996]',0.058,-0.052,96.069,0.083
'[10:41:17.746 04/04/1996]',0.058,-0.052,96.069,0.083
'[10:41:17.748 04/04/1996]',0.058,-0.052,96.069,0.083
'[10:41:17.750 04/04/1996]',0.058,-0.052,96.069,0.083
'[10:41:17.752 04/04/1996]',0.058,-0.052,100.756,0.068
'[10:41:17.754 04/04/1996]',0.058,-0.052,100.756,0.068
'[10:41:17.756 04/04/1996]',0.047,-0.052,100.756,0.068
'[10:41:17.758 04/04/1996]',0.047,-0.079,100.756,0.068
'[10:41:17.760 04/04/1996]',0.047,-0.079,104.688,0.053
'[10:41:17.762 04/04/1996]',0.047,-0.079,104.688,0.053
'[10:41:17.764 04/04/1996]',0.047,-0.052,104.688,0.053
'[10:41:17.766 04/04/1996]',0.047,-0.079,104.688,0.053
'[10:41:17.768 04/04/1996]',0.047,-0.079,107.308,0.039
'[10:41:17.770 04/04/1996]',0.047,-0.079,107.308,0.039
'[10:41:17.772 04/04/1996]',0.047,-0.052,107.308,0.039
'[10:41:17.774 04/04/1996]',0.047,-0.079,107.308,0.039
'[10:41:17.776 04/04/1996]',0.047,-0.079,108.669,0.024
'[10:41:17.778 04/04/1996]',0.058,-0.052,108.669,0.024
'[10:41:17.780 04/04/1996]',0.047,-0.052,108.669,0.024
'[10:41:17.782 04/04/1996]',0.047,-0.052,108.669,0.024
'[10:41:17.784 04/04/1996]',0.035,-0.052,108.770,0.009
'[10:41:17.786 04/04/1996]',0.035,-0.052,108.770,0.009
'[10:41:17.788 04/04/1996]',0.035,-0.052,108.770,0.009
'[10:41:17.790 04/04/1996]',0.024,-0.052,108.770,0.009
'[10:41:17.792 04/04/1996]',0.035,-0.052,107.661,-0.007
'[10:41:17.794 04/04/1996]',0.024,-0.052,107.661,-0.007
'[10:41:17.796 04/04/1996]',0.024,-0.052,107.661,-0.007
'[10:41:17.798 04/04/1996]',0.024,-0.052,107.661,-0.007
'[10:41:17.800 04/04/1996]',0.024,-0.052,105.746,-0.025
'[10:41:17.802 04/04/1996]',0.024,-0.052,105.746,-0.025
'[10:41:17.804 04/04/1996]',0.024,-0.052,105.746,-0.025
'[10:41:17.806 04/04/1996]',0.012,-0.052,105.746,-0.025
'[10:41:17.808 04/04/1996]',0.012,-0.052,103.075,-0.043
'[10:41:17.810 04/04/1996]',0.012,-0.052,103.075,-0.043
'[10:41:17.812 04/04/1996]',0.024,-0.052,103.075,-0.043
'[10:41:17.814 04/04/1996]',0.012,-0.052,103.075,-0.043
'[10:41:17.816 04/04/1996]',0.024,-0.052,100.050,-0.062
'[10:41:17.818 04/04/1996]',0.024,-0.052,100.050,-0.062
'[10:41:17.820 04/04/1996]',0.012,-0.052,100.050,-0.062
'[10:41:17.822 04/04/1996]',0.001,-0.052,100.050,-0.062
'[10:41:17.824 04/04/1996]',0.001,-0.052,96.875,-0.083
'[10:41:17.826 04/04/1996]',0.001,-0.052,96.875,-0.083
'[10:41:17.828 04/04/1996]',0.001,-0.052,96.875,-0.083
'[10:41:17.830 04/04/1996]',0.001,-0.052,96.875,-0.083
'[10:41:17.832 04/04/1996]',0.001,-0.025,93.548,-0.104
'[10:41:17.834 04/04/1996]',0.001,-0.025,93.548,-0.104
'[10:41:17.836 04/04/1996]',0.001,-0.025,93.548,-0.104
'[10:41:17.838 04/04/1996]',0.001,-0.025,93.548,-0.104
'[10:41:17.840 04/04/1996]',0.001,-0.025,90.272,-0.126
'[10:41:17.842 04/04/1996]',0.001,0.002,90.272,-0.126
'[10:41:17.844 04/04/1996]',0.001,0.002,90.272,-0.126
'[10:41:17.846 04/04/1996]',0.001,0.002,90.272,-0.126
'[10:41:17.848 04/04/1996]',0.001,0.002,86.946,-0.148
'[10:41:17.850 04/04/1996]',0.001,0.002,86.946,-0.148
'[10:41:17.852 04/04/1996]',0.001,0.002,86.946,-0.148
'[10:41:17.854 04/04/1996]',0.001,0.002,86.946,-0.148
'[10:41:17.856 04/04/1996]',0.001,0.002,83.720,-0.171
'[10:41:17.858 04/04/1996]',-0.011,0.002,83.720,-0.171
'[10:41:17.860 04/04/1996]',-0.011,0.002,83.720,-0.171
'[10:41:17.862 04/04/1996]',-0.011,0.002,83.720,-0.171
'[10:41:17.864 04/04/1996]',-0.011,0.002,80.494,-0.193
'[10:41:17.866 04/04/1996]',-0.022,0.002,80.494,-0.193
'[10:41:17.868 04/04/1996]',-0.022,0.002,80.494,-0.193
'[10:41:17.870 04/04/1996]',-0.011,0.002,80.494,-0.193
'[10:41:17.872 04/04/1996]',-0.022,0.002,77.520,-0.213
'[10:41:17.874 04/04/1996]',-0.022,0.002,77.520,-0.213
'[10:41:17.876 04/04/1996]',-0.022,0.002,77.520,-0.213
'[10:41:17.878 04/04/1996]',-0.022,0.002,77.520,-0.213
'[10:41:17.880 04/04/1996]',-0.022,0.002,74.798,-0.234
'[10:41:17.882 04/04/1996]',-0.022,-0.025,74.798,-0.234
'[10:41:17.884 04/04/1996]',-0.022,-0.025,74.798,-0.234
'[10:41:17.886 04/04/1996]',-0.011,-0.052,74.798,-0.234
'[10:41:17.888 04/04/1996]',-0.011,-0.052,72.429,-0.253
'[10:41:17.890 04/04/1996]',0.001,-0.079,72.429,-0.253
'[10:41:17.892 04/04/1996]',0.001,-0.079,72.429,-0.253
'[10:41:17.894 04/04/1996]',0.001,-0.079,72.429,-0.253
'[10:41:17.896 04/04/1996]',0.001,-0.079,70.413,-0.271
'[10:41:17.898 04/04/1996]',0.012,-0.079,70.413,-0.271
'[10:41:17.900 04/04/1996]',0.012,-0.106,70.413,-0.271
'[10:41:17.902 04/04/1996]',0.012,-0.106,70.413,-0.271
'[10:41:17.904 04/04/1996]',0.012,-0.106,68.750,-0.287
'[10:41:17.906 04/04/1996]',0.024,-0.106,68.750,-0.287
'[10:41:17.908 04/04/1996]',0.024,-0.106,68.750,-0.287
'[10:41:17.910 04/04/1996]',0.024,-0.106,68.750,-0.287
'[10:41:17.912 04/04/1996]',0.012,-0.106,67.540,-0.303
'[10:41:17.914 04/04/1996]',0.012,-0.133,67.540,-0.303
'[10:41:17.916 04/04/1996]',0.012,-0.133,67.540,-0.303
'[10:41:17.918 04/04/1996]',0.012,-0.133,67.540,-0.303
'[10:41:17.920 04/04/1996]',0.024,-0.133,66.633,-0.319
'[10:41:17.922 04/04/1996]',0.024,-0.133,66.633,-0.319
'[10:41:17.924 04/04/1996]',0.035,-0.160,66.633,-0.319
'[10:41:17.926 04/04/1996]',0.047,-0.187,66.633,-0.319
'[10:41:17.928 04/04/1996]',0.058,-0.187,66.179,-0.333
'[10:41:17.930 04/04/1996]',0.058,-0.187,66.179,-0.333
'[10:41:17.932 04/04/1996]',0.035,-0.133,66.179,-0.333
'[10:41:17.934 04/04/1996]',0.024,-0.052,66.179,-0.333
'[10:41:17.936 04/04/1996]',-0.011,0.028,66.028,-0.348
'[10:41:17.938 04/04/1996]',-0.057,0.164,66.028,-0.348
'[10:41:17.940 04/04/1996]',-0.126,0.354,66.028,-0.348
'[10:41:17.942 04/04/1996]',-0.218,0.570,66.028,-0.348
'[10:41:17.944 04/04/1996]',-0.299,0.760,66.280,-0.363
'[10:41:17.946 04/04/1996]',-0.380,0.948,66.280,-0.363
'[10:41:17.948 04/04/1996]',-0.461,1.084,66.280,-0.363
'[10:41:17.950 04/04/1996]',-0.506,1.164,66.280,-0.363
'[10:41:17.952 04/04/1996]',-0.541,1.218,66.835,-0.380
'[10:41:17.954 04/04/1996]',-0.553,1.218,66.835,-0.380
'[10:41:17.956 04/04/1996]',-0.529,1.164,66.835,-0.380
'[10:41:17.958 04/04/1996]',-0.484,1.030,66.835,-0.380
'[10:41:17.960 04/04/1996]',-0.391,0.785,67.540,-0.396
'[10:41:17.962 04/04/1996]',-0.288,0.461,67.540,-0.396
'[10:41:17.964 04/04/1996]',-0.183,0.164,67.540,-0.396
'[10:41:17.966 04/04/1996]',-0.091,-0.025,67.540,-0.396
'[10:41:17.968 04/04/1996]',-0.022,-0.160,68.296,-0.410
'[10:41:17.970 04/04/1996]',0.001,-0.242,68.296,-0.410
'[10:41:17.972 04/04/1996]',0.012,-0.269,68.296,-0.410
'[10:41:17.974 04/04/1996]',0.024,-0.269,68.296,-0.410
'[10:41:17.976 04/04/1996]',0.035,-0.269,69.153,-0.425
'[10:41:17.978 04/04/1996]',0.035,-0.242,69.153,-0.425
'[10:41:17.980 04/04/1996]',0.047,-0.215,69.153,-0.425
'[10:41:17.982 04/04/1996]',0.058,-0.187,69.153,-0.425
'[10:41:17.984 04/04/1996]',0.058,-0.187,70.010,-0.439
'[10:41:17.986 04/04/1996]',0.047,-0.160,70.010,-0.439
'[10:41:17.988 04/04/1996]',0.058,-0.160,70.010,-0.439
'[10:41:17.990 04/04/1996]',0.047,-0.133,70.010,-0.439
'[10:41:17.992 04/04/1996]',0.047,-0.133,70.817,-0.453
'[10:41:17.994 04/04/1996]',0.058,-0.133,70.817,-0.453
'[10:41:17.996 04/04/1996]',0.058,-0.133,70.817,-0.453
'[10:41:17.998 04/04/1996]',0.058,-0.133,70.817,-0.453
'[10:41:18.000 04/04/1996]',0.058,-0.106,71.522,-0.466
'[10:41:18.002 04/04/1996]',0.058,-0.106,71.522,-0.466
'[10:41:18.004 04/04/1996]',0.058,-0.106,71.522,-0.466
'[10:41:18.006 04/04/1996]',0.058,-0.106,71.522,-0.466
'[10:41:18.008 04/04/1996]',0.058,-0.106,72.127,-0.478
'[10:41:18.010 04/04/1996]',0.058,-0.106,72.127,-0.478
'[10:41:18.012 04/04/1996]',0.058,-0.079,72.127,-0.478
'[10:41:18.014 04/04/1996]',0.047,-0.079,72.127,-0.478
'[10:41:18.016 04/04/1996]',0.058,-0.079,72.581,-0.491
'[10:41:18.018 04/04/1996]',0.047,-0.079,72.581,-0.491
'[10:41:18.020 04/04/1996]',0.047,-0.079,72.581,-0.491
'[10:41:18.022 04/04/1996]',0.047,-0.052,72.581,-0.491
'[10:41:18.024 04/04/1996]',0.047,-0.052,72.933,-0.504
'[10:41:18.026 04/04/1996]',0.035,-0.052,72.933,-0.504
'[10:41:18.028 04/04/1996]',0.047,-0.052,72.933,-0.504
'[10:41:18.030 04/04/1996]',0.035,-0.052,72.933,-0.504
'[10:41:18.032 04/04/1996]',0.035,-0.052,73.135,-0.518
'[10:41:18.034 04/04/1996]',0.035,-0.025,73.135,-0.518
'[10:41:18.036 04/04/1996]',0.035,-0.025,73.135,-0.518
'[10:41:18.038 04/04/1996]',0.047,-0.025,73.135,-0.518
'[10:41:18.040 04/04/1996]',0.047,-0.025,73.185,-0.534
'[10:41:18.042 04/04/1996]',0.024,0.002,73.185,-0.534
'[10:41:18.044 04/04/1996]',0.024,0.002,73.185,-0.534
'[10:41:18.046 04/04/1996]',0.024,0.002,73.185,-0.534
'[10:41:18.048 04/04/1996]',0.024,0.002,73.135,-0.550
'[10:41:18.050 04/04/1996]',0.024,0.002,73.135,-0.550
'[10:41:18.052 04/04/1996]',0.024,0.002,73.135,-0.550
'[10:41:18.054 04/04/1996]',0.024,0.002,73.135,-0.550
'[10:41:18.056 04/04/1996]',0.024,0.028,72.833,-0.568
'[10:41:18.058 04/04/1996]',0.024,0.028,72.833,-0.568
'[10:41:18.060 04/04/1996]',0.012,0.028,72.833,-0.568
'[10:41:18.062 04/04/1996]',0.024,0.028,72.833,-0.568
'[10:41:18.064 04/04/1996]',0.024,0.055,72.429,-0.585
'[10:41:18.066 04/04/1996]',0.012,0.055,72.429,-0.585
'[10:41:18.068 04/04/1996]',0.012,0.055,72.429,-0.585
'[10:41:18.070 04/04/1996]',0.001,0.083,72.429,-0.585
'[10:41:18.072 04/04/1996]',0.012,0.083,71.875,-0.602
'[10:41:18.074 04/04/1996]',0.001,0.083,71.875,-0.602
'[10:41:18.076 04/04/1996]',0.001,0.083,71.875,-0.602
'[10:41:18.078 04/04/1996]',0.001,0.110,71.875,-0.602
'[10:41:18.080 04/04/1996]',0.001,0.110,71.321,-0.619
'[10:41:18.082 04/04/1996]',0.001,0.110,71.321,-0.619
'[10:41:18.084 04/04/1996]',0.001,0.110,71.321,-0.619
'[10:41:18.086 04/04/1996]',0.001,0.110,71.321,-0.619
'[10:41:18.088 04/04/1996]',0.001,0.137,70.615,-0.634
'[10:41:18.090 04/04/1996]',0.001,0.110,70.615,-0.634
'[10:41:18.092 04/04/1996]',0.001,0.137,70.615,-0.634
'[10:41:18.094 04/04/1996]',0.001,0.110,70.615,-0.634
'[10:41:18.096 04/04/1996]',0.001,0.137,69.960,-0.649
'[10:41:18.098 04/04/1996]',0.001,0.110,69.960,-0.649
'[10:41:18.100 04/04/1996]',0.001,0.110,69.960,-0.649
'[10:41:18.102 04/04/1996]',0.001,0.110,69.960,-0.649
'[10:41:18.104 04/04/1996]',0.001,0.110,69.456,-0.663
'[10:41:18.106 04/04/1996]',0.001,0.110,69.456,-0.663
'[10:41:18.108 04/04/1996]',0.001,0.083,69.456,-0.663
'[10:41:18.110 04/04/1996]',0.012,0.110,69.456,-0.663
'[10:41:18.112 04/04/1996]',0.024,0.083,69.456,-0.676
'[10:41:18.114 04/04/1996]',0.012,0.083,69.456,-0.676
'[10:41:18.116 04/04/1996]',0.012,0.055,69.456,-0.676
'[10:41:18.118 04/04/1996]',0.012,0.055,69.456,-0.676
'[10:41:18.120 04/04/1996]',0.012,0.055,70.363,-0.687
'[10:41:18.122 04/04/1996]',0.012,0.028,70.363,-0.687
'[10:41:18.124 04/04/1996]',0.012,0.028,70.363,-0.687
'[10:41:18.126 04/04/1996]',0.024,0.028,70.363,-0.687
'[10:41:18.128 04/04/1996]',0.024,0.002,72.329,-0.695
'[10:41:18.130 04/04/1996]',0.024,0.002,72.329,-0.695
'[10:41:18.132 04/04/1996]',0.024,0.002,72.329,-0.695
'[10:41:18.134 04/04/1996]',0.024,0.002,72.329,-0.695
'[10:41:18.136 04/04/1996]',0.024,0.002,75.454,-0.700
'[10:41:18.138 04/04/1996]',0.024,0.002,75.454,-0.700
'[10:41:18.140 04/04/1996]',0.024,0.002,75.454,-0.700
'[10:41:18.142 04/04/1996]',0.024,0.002,75.454,-0.700
'[10:41:18.144 04/04/1996]',0.024,-0.025,79.536,-0.703
'[10:41:18.146 04/04/1996]',0.024,-0.025,79.536,-0.703
'[10:41:18.148 04/04/1996]',0.024,-0.025,79.536,-0.703
'[10:41:18.150 04/04/1996]',0.024,-0.025,79.536,-0.703
'[10:41:18.152 04/04/1996]',0.024,-0.025,84.274,-0.703
'[10:41:18.154 04/04/1996]',0.024,-0.025,84.274,-0.703
'[10:41:18.156 04/04/1996]',0.024,-0.025,84.274,-0.703
'[10:41:18.158 04/04/1996]',0.012,-0.025,84.274,-0.703
'[10:41:18.160 04/04/1996]',0.012,-0.052,89.264,-0.702
'[10:41:18.162 04/04/1996]',0.012,-0.052,89.264,-0.702
'[10:41:18.164 04/04/1996]',0.012,-0.052,89.264,-0.702
'[10:41:18.166 04/04/1996]',0.012,-0.052,89.264,-0.702
'[10:41:18.168 04/04/1996]',0.024,-0.052,94.153,-0.698
'[10:41:18.170 04/04/1996]',0.024,-0.052,94.153,-0.698
'[10:41:18.172 04/04/1996]',0.012,-0.052,94.153,-0.698
'[10:41:18.174 04/04/1996]',0.024,-0.052,94.153,-0.698
'[10:41:18.176 04/04/1996]',0.024,-0.052,98.488,-0.693
'[10:41:18.178 04/04/1996]',0.024,-0.079,98.488,-0.693
'[10:41:18.180 04/04/1996]',0.024,-0.052,98.488,-0.693
'[10:41:18.182 04/04/1996]',0.024,-0.052,98.488,-0.693
'[10:41:18.184 04/04/1996]',0.024,-0.052,101.915,-0.688
'[10:41:18.186 04/04/1996]',0.024,-0.052,101.915,-0.688
'[10:41:18.188 04/04/1996]',0.024,-0.052,101.915,-0.688
'[10:41:18.190 04/04/1996]',0.024,-0.052,101.915,-0.688
'[10:41:18.192 04/04/1996]',0.035,-0.052,104.183,-0.684
'[10:41:18.194 04/04/1996]',0.024,-0.052,104.183,-0.684
'[10:41:18.196 04/04/1996]',0.024,-0.052,104.183,-0.684
'[10:41:18.198 04/04/1996]',0.012,-0.052,104.183,-0.684
'[10:41:18.200 04/04/1996]',0.012,-0.052,105.141,-0.682
'[10:41:18.202 04/04/1996]',0.001,-0.052,105.141,-0.682
'[10:41:18.204 04/04/1996]',0.001,-0.052,105.141,-0.682
'[10:41:18.206 04/04/1996]',0.012,-0.052,105.141,-0.682
'[10:41:18.208 04/04/1996]',0.012,-0.052,104.889,-0.681
'[10:41:18.210 04/04/1996]',0.001,-0.052,104.889,-0.681
'[10:41:18.212 04/04/1996]',0.012,-0.052,104.889,-0.681
'[10:41:18.214 04/04/1996]',0.001,-0.052,104.889,-0.681
'[10:41:18.216 04/04/1996]',0.001,-0.052,103.528,-0.682
'[10:41:18.218 04/04/1996]',0.001,-0.052,103.528,-0.682
'[10:41:18.220 04/04/1996]',0.001,-0.025,103.528,-0.682
'[10:41:18.222 04/04/1996]',0.012,-0.052,103.528,-0.682
'[10:41:18.224 04/04/1996]',0.012,-0.052,101.411,-0.686
'[10:41:18.226 04/04/1996]',0.001,-0.052,101.411,-0.686
'[10:41:18.228 04/04/1996]',0.001,-0.025,101.411,-0.686
'[10:41:18.230 04/04/1996]',0.001,-0.025,101.411,-0.686
'[10:41:18.232 04/04/1996]',0.001,-0.025,98.790,-0.693
'[10:41:18.234 04/04/1996]',0.001,-0.025,98.790,-0.693
'[10:41:18.236 04/04/1996]',0.012,-0.025,98.790,-0.693
'[10:41:18.238 04/04/1996]',0.012,-0.025,98.790,-0.693
'[10:41:18.240 04/04/1996]',0.012,-0.052,95.917,-0.702
'[10:41:18.242 04/04/1996]',0.001,-0.052,95.917,-0.702
'[10:41:18.244 04/04/1996]',0.012,-0.025,95.917,-0.702
'[10:41:18.246 04/04/1996]',0.012,-0.052,95.917,-0.702
'[10:41:18.248 04/04/1996]',0.012,-0.052,92.944,-0.713
'[10:41:18.250 04/04/1996]',0.012,-0.025,92.944,-0.713
'[10:41:18.252 04/04/1996]',0.001,-0.025,92.944,-0.713
'[10:41:18.254 04/04/1996]',0.012,-0.025,92.944,-0.713
'[10:41:18.256 04/04/1996]',0.012,-0.025,89.869,-0.724
'[10:41:18.258 04/04/1996]',0.001,0.002,89.869,-0.724
'[10:41:18.260 04/04/1996]',0.001,0.002,89.869,-0.724
'[10:41:18.262 04/04/1996]',0.012,0.002,89.869,-0.724
'[10:41:18.264 04/04/1996]',0.001,0.002,86.694,-0.737
'[10:41:18.266 04/04/1996]',0.001,0.002,86.694,-0.737
'[10:41:18.268 04/04/1996]',0.001,0.002,86.694,-0.737
'[10:41:18.270 04/04/1996]',0.001,0.002,86.694,-0.737
'[10:41:18.272 04/04/1996]',0.001,0.002,83.569,-0.750
'[10:41:18.274 04/04/1996]',0.001,0.002,83.569,-0.750
'[10:41:18.276 04/04/1996]',0.001,0.002,83.569,-0.750
'[10:41:18.278 04/04/1996]',0.001,0.002,83.569,-0.750
'[10:41:18.280 04/04/1996]',0.001,0.002,80.393,-0.762
'[10:41:18.282 04/04/1996]',0.001,0.002,80.393,-0.762
'[10:41:18.284 04/04/1996]',0.001,0.002,80.393,-0.762
'[10:41:18.286 04/04/1996]',0.001,0.002,80.393,-0.762
'[10:41:18.288 04/04/1996]',0.001,0.002,77.319,-0.775
'[10:41:18.290 04/04/1996]',0.001,0.002,77.319,-0.775
'[10:41:18.292 04/04/1996]',-0.011,0.002,77.319,-0.775
'[10:41:18.294 04/04/1996]',-0.011,0.002,77.319,-0.775
'[10:41:18.296 04/04/1996]',-0.011,0.002,74.446,-0.787
'[10:41:18.298 04/04/1996]',-0.011,0.002,74.446,-0.787
'[10:41:18.300 04/04/1996]',-0.011,0.002,74.446,-0.787
'[10:41:18.302 04/04/1996]',-0.011,0.002,74.446,-0.787
'[10:41:18.304 04/04/1996]',0.001,0.002,71.976,-0.798
'[10:41:18.306 04/04/1996]',0.001,-0.025,71.976,-0.798
'[10:41:18.308 04/04/1996]',0.001,-0.052,71.976,-0.798
'[10:41:18.310 04/04/1996]',0.001,-0.052,71.976,-0.798
'[10:41:18.312 04/04/1996]',0.012,-0.052,69.808,-0.809
'[10:41:18.314 04/04/1996]',0.012,-0.079,69.808,-0.809
'[10:41:18.316 04/04/1996]',0.012,-0.079,69.808,-0.809
'[10:41:18.318 04/04/1996]',0.024,-0.079,69.808,-0.809
'[10:41:18.320 04/04/1996]',0.024,-0.079,68.095,-0.820
'[10:41:18.322 04/04/1996]',0.024,-0.106,68.095,-0.820
'[10:41:18.324 04/04/1996]',0.024,-0.106,68.095,-0.820
'[10:41:18.326 04/04/1996]',0.024,-0.106,68.095,-0.820
'[10:41:18.328 04/04/1996]',0.024,-0.106,66.885,-0.829
'[10:41:18.330 04/04/1996]',0.024,-0.106,66.885,-0.829
'[10:41:18.332 04/04/1996]',0.024,-0.106,66.885,-0.829
'[10:41:18.334 04/04/1996]',0.024,-0.106,66.885,-0.829
'[10:41:18.336 04/04/1996]',0.035,-0.106,65.927,-0.837
'[10:41:18.338 04/04/1996]',0.035,-0.133,65.927,-0.837
'[10:41:18.340 04/04/1996]',0.035,-0.133,65.927,-0.837
'[10:41:18.342 04/04/1996]',0.035,-0.133,65.927,-0.837
