'Time and date','II','V','ABP','PAP','UAP','PLETH','RESP'
'[09:06:24.208 05/12/1995]',-0.071,0.024,40.126,21.025,75.700,-0.266,0.072
'[09:06:24.210 05/12/1995]',-0.082,0.030,40.126,21.025,75.700,-0.266,0.072
'[09:06:24.212 05/12/1995]',-0.092,0.030,40.126,21.025,75.700,-0.266,0.072
'[09:06:24.214 05/12/1995]',-0.092,0.024,40.126,21.025,75.700,-0.266,0.072
'[09:06:24.216 05/12/1995]',-0.082,0.024,39.901,20.850,73.500,-0.277,0.077
'[09:06:24.218 05/12/1995]',-0.071,0.024,39.901,20.850,73.500,-0.277,0.077
'[09:06:24.220 05/12/1995]',-0.051,0.012,39.901,20.850,73.500,-0.277,0.077
'[09:06:24.222 05/12/1995]',-0.051,0.012,39.901,20.850,73.500,-0.277,0.077
'[09:06:24.224 05/12/1995]',-0.040,0.012,39.601,20.500,71.300,-0.289,0.083
'[09:06:24.226 05/12/1995]',-0.051,0.012,39.601,20.500,71.300,-0.289,0.083
'[09:06:24.228 05/12/1995]',-0.051,0.024,39.601,20.500,71.300,-0.289,0.083
'[09:06:24.230 05/12/1995]',-0.061,0.030,39.601,20.500,71.300,-0.289,0.083
'[09:06:24.232 05/12/1995]',-0.071,0.030,39.376,20.025,69.300,-0.302,0.088
'[09:06:24.234 05/12/1995]',-0.061,0.030,39.376,20.025,69.300,-0.302,0.088
'[09:06:24.236 05/12/1995]',-0.061,0.030,39.376,20.025,69.300,-0.302,0.088
'[09:06:24.238 05/12/1995]',-0.071,0.024,39.376,20.025,69.300,-0.302,0.088
'[09:06:24.240 05/12/1995]',-0.071,0.024,39.226,19.550,67.750,-0.311,0.093
'[09:06:24.242 05/12/1995]',-0.061,0.024,39.226,19.550,67.750,-0.311,0.093
'[09:06:24.244 05/12/1995]',-0.071,0.024,39.226,19.550,67.750,-0.311,0.093
'[09:06:24.246 05/12/1995]',-0.082,0.024,39.226,19.550,67.750,-0.311,0.093
'[09:06:24.248 05/12/1995]',-0.071,0.030,39.001,19.325,66.750,-0.323,0.100
'[09:06:24.250 05/12/1995]',-0.071,0.024,39.001,19.325,66.750,-0.323,0.100
'[09:06:24.252 05/12/1995]',-0.061,0.024,39.001,19.325,66.750,-0.323,0.100
'[09:06:24.254 05/12/1995]',-0.061,0.012,39.001,19.325,66.750,-0.323,0.100
'[09:06:24.256 05/12/1995]',-0.051,0.024,38.776,19.275,66.150,-0.331,0.105
'[09:06:24.258 05/12/1995]',-0.061,0.024,38.776,19.275,66.150,-0.331,0.105
'[09:06:24.260 05/12/1995]',-0.071,0.024,38.776,19.275,66.150,-0.331,0.105
'[09:06:24.262 05/12/1995]',-0.071,0.030,38.776,19.275,66.150,-0.331,0.105
'[09:06:24.264 05/12/1995]',-0.071,0.030,38.551,19.550,65.650,-0.342,0.110
'[09:06:24.266 05/12/1995]',-0.061,0.024,38.551,19.550,65.650,-0.342,0.110
'[09:06:24.268 05/12/1995]',-0.040,0.012,38.551,19.550,65.650,-0.342,0.110
'[09:06:24.270 05/12/1995]',-0.040,0.006,38.551,19.550,65.650,-0.342,0.110
'[09:06:24.272 05/12/1995]',-0.040,0.006,38.401,19.900,65.150,-0.349,0.115
'[09:06:24.274 05/12/1995]',-0.040,0.006,38.401,19.900,65.150,-0.349,0.115
'[09:06:24.276 05/12/1995]',-0.061,0.012,38.401,19.900,65.150,-0.349,0.115
'[09:06:24.278 05/12/1995]',-0.071,0.024,38.401,19.900,65.150,-0.349,0.115
'[09:06:24.280 05/12/1995]',-0.051,0.036,38.251,20.325,64.550,-0.357,0.119
'[09:06:24.282 05/12/1995]',-0.030,0.047,38.251,20.325,64.550,-0.357,0.119
'[09:06:24.284 05/12/1995]',0.001,0.053,38.251,20.325,64.550,-0.357,0.119
'[09:06:24.286 05/12/1995]',0.042,0.077,38.251,20.325,64.550,-0.357,0.119
'[09:06:24.288 05/12/1995]',0.063,0.100,38.101,20.500,63.900,-0.368,0.124
'[09:06:24.290 05/12/1995]',0.083,0.130,38.101,20.500,63.900,-0.368,0.124
'[09:06:24.292 05/12/1995]',0.104,0.153,38.101,20.500,63.900,-0.368,0.124
'[09:06:24.294 05/12/1995]',0.135,0.183,38.101,20.500,63.900,-0.368,0.124
'[09:06:24.296 05/12/1995]',0.165,0.206,37.951,20.425,63.200,-0.377,0.129
'[09:06:24.298 05/12/1995]',0.217,0.224,37.951,20.425,63.200,-0.377,0.129
'[09:06:24.300 05/12/1995]',0.269,0.230,37.951,20.425,63.200,-0.377,0.129
'[09:06:24.302 05/12/1995]',0.341,0.230,37.951,20.425,63.200,-0.377,0.129
'[09:06:24.304 05/12/1995]',0.403,0.230,37.726,20.250,62.500,-0.384,0.133
'[09:06:24.306 05/12/1995]',0.444,0.230,37.726,20.250,62.500,-0.384,0.133
'[09:06:24.308 05/12/1995]',0.485,0.224,37.726,20.250,62.500,-0.384,0.133
'[09:06:24.310 05/12/1995]',0.516,0.230,37.726,20.250,62.500,-0.384,0.133
'[09:06:24.312 05/12/1995]',0.527,0.224,37.576,20.250,61.850,-0.392,0.138
'[09:06:24.314 05/12/1995]',0.537,0.206,37.576,20.250,61.850,-0.392,0.138
'[09:06:24.316 05/12/1995]',0.537,0.200,37.576,20.250,61.850,-0.392,0.138
'[09:06:24.318 05/12/1995]',0.537,0.177,37.576,20.250,61.850,-0.392,0.138
'[09:06:24.320 05/12/1995]',0.537,0.159,37.501,20.625,61.200,-0.400,0.142
'[09:06:24.322 05/12/1995]',0.516,0.136,37.501,20.625,61.200,-0.400,0.142
'[09:06:24.324 05/12/1995]',0.485,0.118,37.501,20.625,61.200,-0.400,0.142
'[09:06:24.326 05/12/1995]',0.444,0.094,37.501,20.625,61.200,-0.400,0.142
'[09:06:24.328 05/12/1995]',0.413,0.089,37.276,21.250,60.750,-0.408,0.146
'[09:06:24.330 05/12/1995]',0.393,0.077,37.276,21.250,60.750,-0.408,0.146
'[09:06:24.332 05/12/1995]',0.393,0.071,37.276,21.250,60.750,-0.408,0.146
'[09:06:24.334 05/12/1995]',0.403,0.053,37.276,21.250,60.750,-0.408,0.146
'[09:06:24.336 05/12/1995]',0.403,0.047,37.126,22.025,60.450,-0.414,0.151
'[09:06:24.338 05/12/1995]',0.393,0.030,37.126,22.025,60.450,-0.414,0.151
'[09:06:24.340 05/12/1995]',0.372,0.024,37.126,22.025,60.450,-0.414,0.151
'[09:06:24.342 05/12/1995]',0.351,0.024,37.126,22.025,60.450,-0.414,0.151
'[09:06:24.344 05/12/1995]',0.331,0.024,36.901,22.675,60.250,-0.420,0.155
'[09:06:24.346 05/12/1995]',0.310,0.024,36.901,22.675,60.250,-0.420,0.155
'[09:06:24.348 05/12/1995]',0.290,0.024,36.901,22.675,60.250,-0.420,0.155
'[09:06:24.350 05/12/1995]',0.279,0.012,36.901,22.675,60.250,-0.420,0.155
'[09:06:24.352 05/12/1995]',0.259,0.006,36.751,23.250,60.250,-0.425,0.160
'[09:06:24.354 05/12/1995]',0.228,0.001,36.751,23.250,60.250,-0.425,0.160
'[09:06:24.356 05/12/1995]',0.207,0.001,36.751,23.250,60.250,-0.425,0.160
'[09:06:24.358 05/12/1995]',0.155,0.006,36.751,23.250,60.250,-0.425,0.160
'[09:06:24.360 05/12/1995]',0.083,0.012,36.676,23.775,60.450,-0.431,0.163
'[09:06:24.362 05/12/1995]',0.031,0.024,36.676,23.775,60.450,-0.431,0.163
'[09:06:24.364 05/12/1995]',0.001,0.024,36.676,23.775,60.450,-0.431,0.163
'[09:06:24.366 05/12/1995]',-0.030,0.024,36.676,23.775,60.450,-0.431,0.163
'[09:06:24.368 05/12/1995]',-0.030,0.012,36.451,24.300,60.600,-0.436,0.165
'[09:06:24.370 05/12/1995]',-0.051,0.012,36.451,24.300,60.600,-0.436,0.165
'[09:06:24.372 05/12/1995]',-0.092,0.006,36.451,24.300,60.600,-0.436,0.165
'[09:06:24.374 05/12/1995]',-0.113,0.012,36.451,24.300,60.600,-0.436,0.165
'[09:06:24.376 05/12/1995]',-0.134,0.012,36.376,25.300,60.800,-0.441,0.166
'[09:06:24.378 05/12/1995]',-0.144,0.024,36.376,25.300,60.800,-0.441,0.166
'[09:06:24.380 05/12/1995]',-0.154,0.012,36.376,25.300,60.800,-0.441,0.166
'[09:06:24.382 05/12/1995]',-0.164,0.012,36.376,25.300,60.800,-0.441,0.166
'[09:06:24.384 05/12/1995]',-0.164,0.006,36.151,26.950,61.050,-0.445,0.166
'[09:06:24.386 05/12/1995]',-0.164,0.012,36.151,26.950,61.050,-0.445,0.166
'[09:06:24.388 05/12/1995]',-0.174,0.006,36.151,26.950,61.050,-0.445,0.166
'[09:06:24.390 05/12/1995]',-0.174,0.012,36.151,26.950,61.050,-0.445,0.166
'[09:06:24.392 05/12/1995]',-0.195,0.012,36.076,29.275,61.250,-0.449,0.167
'[09:06:24.394 05/12/1995]',-0.185,0.012,36.076,29.275,61.250,-0.449,0.167
'[09:06:24.396 05/12/1995]',-0.174,0.012,36.076,29.275,61.250,-0.449,0.167
'[09:06:24.398 05/12/1995]',-0.174,0.006,36.076,29.275,61.250,-0.449,0.167
'[09:06:24.400 05/12/1995]',-0.164,0.006,35.851,31.975,61.500,-0.456,0.168
'[09:06:24.402 05/12/1995]',-0.134,0.006,35.851,31.975,61.500,-0.456,0.168
'[09:06:24.404 05/12/1995]',-0.144,0.001,35.851,31.975,61.500,-0.456,0.168
'[09:06:24.406 05/12/1995]',-0.144,0.001,35.851,31.975,61.500,-0.456,0.168
'[09:06:24.408 05/12/1995]',-0.164,0.001,35.701,34.725,61.800,-0.459,0.170
'[09:06:24.410 05/12/1995]',-0.185,0.006,35.701,34.725,61.800,-0.459,0.170
'[09:06:24.412 05/12/1995]',-0.195,0.012,35.701,34.725,61.800,-0.459,0.170
'[09:06:24.414 05/12/1995]',-0.205,0.012,35.701,34.725,61.800,-0.459,0.170
'[09:06:24.416 05/12/1995]',-0.195,0.012,35.626,37.550,62.100,-0.460,0.171
'[09:06:24.418 05/12/1995]',-0.174,0.006,35.626,37.550,62.100,-0.460,0.171
'[09:06:24.420 05/12/1995]',-0.144,0.001,35.626,37.550,62.100,-0.460,0.171
'[09:06:24.422 05/12/1995]',-0.134,-0.005,35.626,37.550,62.100,-0.460,0.171
'[09:06:24.424 05/12/1995]',-0.154,0.001,35.401,40.600,62.300,-0.464,0.172
'[09:06:24.426 05/12/1995]',-0.174,0.006,35.401,40.600,62.300,-0.464,0.172
'[09:06:24.428 05/12/1995]',-0.174,0.012,35.401,40.600,62.300,-0.464,0.172
'[09:06:24.430 05/12/1995]',-0.174,0.012,35.401,40.600,62.300,-0.464,0.172
'[09:06:24.432 05/12/1995]',-0.174,0.012,35.251,43.700,62.550,-0.465,0.172
'[09:06:24.434 05/12/1995]',-0.164,0.006,35.251,43.700,62.550,-0.465,0.172
'[09:06:24.436 05/12/1995]',-0.134,0.001,35.251,43.700,62.550,-0.465,0.172
'[09:06:24.438 05/12/1995]',-0.134,-0.005,35.251,43.700,62.550,-0.465,0.172
'[09:06:24.440 05/12/1995]',-0.134,0.001,35.101,46.050,62.750,-0.469,0.173
'[09:06:24.442 05/12/1995]',-0.154,0.006,35.101,46.050,62.750,-0.469,0.173
'[09:06:24.444 05/12/1995]',-0.174,0.006,35.101,46.050,62.750,-0.469,0.173
'[09:06:24.446 05/12/1995]',-0.174,0.012,35.101,46.050,62.750,-0.469,0.173
'[09:06:24.448 05/12/1995]',-0.174,0.006,35.026,46.150,62.850,-0.471,0.173
'[09:06:24.450 05/12/1995]',-0.154,0.006,35.026,46.150,62.850,-0.471,0.173
'[09:06:24.452 05/12/1995]',-0.144,0.001,35.026,46.150,62.850,-0.471,0.173
'[09:06:24.454 05/12/1995]',-0.134,0.001,35.026,46.150,62.850,-0.471,0.173
'[09:06:24.456 05/12/1995]',-0.134,0.001,35.026,43.225,63.100,-0.473,0.172
'[09:06:24.458 05/12/1995]',-0.154,0.001,35.026,43.225,63.100,-0.473,0.172
'[09:06:24.460 05/12/1995]',-0.174,0.006,35.026,43.225,63.100,-0.473,0.172
'[09:06:24.462 05/12/1995]',-0.174,0.006,35.026,43.225,63.100,-0.473,0.172
'[09:06:24.464 05/12/1995]',-0.174,0.006,35.176,38.550,63.300,-0.476,0.172
'[09:06:24.466 05/12/1995]',-0.154,0.001,35.176,38.550,63.300,-0.476,0.172
'[09:06:24.468 05/12/1995]',-0.154,0.001,35.176,38.550,63.300,-0.476,0.172
'[09:06:24.470 05/12/1995]',-0.134,-0.005,35.176,38.550,63.300,-0.476,0.172
'[09:06:24.472 05/12/1995]',-0.134,-0.005,35.626,34.675,63.600,-0.479,0.171
'[09:06:24.474 05/12/1995]',-0.134,-0.005,35.626,34.675,63.600,-0.479,0.171
'[09:06:24.476 05/12/1995]',-0.134,0.001,35.626,34.675,63.600,-0.479,0.171
'[09:06:24.478 05/12/1995]',-0.144,0.001,35.626,34.675,63.600,-0.479,0.171
'[09:06:24.480 05/12/1995]',-0.154,0.006,36.751,33.975,63.900,-0.482,0.170
'[09:06:24.482 05/12/1995]',-0.134,0.001,36.751,33.975,63.900,-0.482,0.170
'[09:06:24.484 05/12/1995]',-0.123,-0.005,36.751,33.975,63.900,-0.482,0.170
'[09:06:24.486 05/12/1995]',-0.113,-0.005,36.751,33.975,63.900,-0.482,0.170
'[09:06:24.488 05/12/1995]',-0.102,-0.011,38.926,36.950,64.150,-0.487,0.169
'[09:06:24.490 05/12/1995]',-0.113,-0.005,38.926,36.950,64.150,-0.487,0.169
'[09:06:24.492 05/12/1995]',-0.134,0.001,38.926,36.950,64.150,-0.487,0.169
'[09:06:24.494 05/12/1995]',-0.164,0.006,38.926,36.950,64.150,-0.487,0.169
'[09:06:24.496 05/12/1995]',-0.174,0.012,42.376,42.825,64.450,-0.488,0.169
'[09:06:24.498 05/12/1995]',-0.164,0.006,42.376,42.825,64.450,-0.488,0.169
'[09:06:24.500 05/12/1995]',-0.144,0.001,42.376,42.825,64.450,-0.488,0.169
'[09:06:24.502 05/12/1995]',-0.123,-0.005,42.376,42.825,64.450,-0.488,0.169
'[09:06:24.504 05/12/1995]',-0.092,-0.011,46.876,49.800,64.700,-0.492,0.169
'[09:06:24.506 05/12/1995]',-0.092,-0.023,46.876,49.800,64.700,-0.492,0.169
'[09:06:24.508 05/12/1995]',-0.102,-0.011,46.876,49.800,64.700,-0.492,0.169
'[09:06:24.510 05/12/1995]',-0.134,-0.005,46.876,49.800,64.700,-0.492,0.169
'[09:06:24.512 05/12/1995]',-0.154,-0.005,51.901,55.700,65.000,-0.492,0.170
'[09:06:24.514 05/12/1995]',-0.154,0.001,51.901,55.700,65.000,-0.492,0.170
'[09:06:24.516 05/12/1995]',-0.144,-0.005,51.901,55.700,65.000,-0.492,0.170
'[09:06:24.518 05/12/1995]',-0.113,-0.011,51.901,55.700,65.000,-0.492,0.170
'[09:06:24.520 05/12/1995]',-0.102,-0.023,56.851,59.050,65.300,-0.492,0.172
'[09:06:24.522 05/12/1995]',-0.092,-0.023,56.851,59.050,65.300,-0.492,0.172
'[09:06:24.524 05/12/1995]',-0.113,-0.023,56.851,59.050,65.300,-0.492,0.172
'[09:06:24.526 05/12/1995]',-0.134,-0.023,56.851,59.050,65.300,-0.492,0.172
'[09:06:24.528 05/12/1995]',-0.134,-0.011,61.577,59.575,65.550,-0.490,0.174
'[09:06:24.530 05/12/1995]',-0.134,-0.005,61.577,59.575,65.550,-0.490,0.174
'[09:06:24.532 05/12/1995]',-0.134,-0.011,61.577,59.575,65.550,-0.490,0.174
'[09:06:24.534 05/12/1995]',-0.113,-0.023,61.577,59.575,65.550,-0.490,0.174
'[09:06:24.536 05/12/1995]',-0.092,-0.029,66.152,57.525,65.800,-0.485,0.178
'[09:06:24.538 05/12/1995]',-0.082,-0.029,66.152,57.525,65.800,-0.485,0.178
'[09:06:24.540 05/12/1995]',-0.092,-0.023,66.152,57.525,65.800,-0.485,0.178
'[09:06:24.542 05/12/1995]',-0.113,-0.023,66.152,57.525,65.800,-0.485,0.178
'[09:06:24.544 05/12/1995]',-0.123,-0.011,70.502,53.375,66.000,-0.479,0.182
'[09:06:24.546 05/12/1995]',-0.134,-0.023,70.502,53.375,66.000,-0.479,0.182
'[09:06:24.548 05/12/1995]',-0.113,-0.023,70.502,53.375,66.000,-0.479,0.182
'[09:06:24.550 05/12/1995]',-0.092,-0.029,70.502,53.375,66.000,-0.479,0.182
'[09:06:24.552 05/12/1995]',-0.082,-0.029,74.702,47.925,66.300,-0.469,0.187
'[09:06:24.554 05/12/1995]',-0.082,-0.029,74.702,47.925,66.300,-0.469,0.187
'[09:06:24.556 05/12/1995]',-0.082,-0.029,74.702,47.925,66.300,-0.469,0.187
'[09:06:24.558 05/12/1995]',-0.102,-0.023,74.702,47.925,66.300,-0.469,0.187
'[09:06:24.560 05/12/1995]',-0.123,-0.011,78.677,43.000,66.550,-0.454,0.193
'[09:06:24.562 05/12/1995]',-0.134,-0.011,78.677,43.000,66.550,-0.454,0.193
'[09:06:24.564 05/12/1995]',-0.134,-0.011,78.677,43.000,66.550,-0.454,0.193
'[09:06:24.566 05/12/1995]',-0.113,-0.023,78.677,43.000,66.550,-0.454,0.193
'[09:06:24.568 05/12/1995]',-0.082,-0.029,82.052,40.300,66.700,-0.438,0.199
'[09:06:24.570 05/12/1995]',-0.082,-0.035,82.052,40.300,66.700,-0.438,0.199
'[09:06:24.572 05/12/1995]',-0.071,-0.035,82.052,40.300,66.700,-0.438,0.199
'[09:06:24.574 05/12/1995]',-0.082,-0.035,82.052,40.300,66.700,-0.438,0.199
'[09:06:24.576 05/12/1995]',-0.092,-0.029,84.827,40.425,66.850,-0.417,0.205
'[09:06:24.578 05/12/1995]',-0.113,-0.023,84.827,40.425,66.850,-0.417,0.205
'[09:06:24.580 05/12/1995]',-0.123,-0.011,84.827,40.425,66.850,-0.417,0.205
'[09:06:24.582 05/12/1995]',-0.113,-0.023,84.827,40.425,66.850,-0.417,0.205
'[09:06:24.584 05/12/1995]',-0.092,-0.029,87.002,42.875,66.900,-0.392,0.210
'[09:06:24.586 05/12/1995]',-0.082,-0.029,87.002,42.875,66.900,-0.392,0.210
'[09:06:24.588 05/12/1995]',-0.071,-0.029,87.002,42.875,66.900,-0.392,0.210
'[09:06:24.590 05/12/1995]',-0.082,-0.029,87.002,42.875,66.900,-0.392,0.210
'[09:06:24.592 05/12/1995]',-0.082,-0.023,88.652,46.625,67.000,-0.365,0.214
'[09:06:24.594 05/12/1995]',-0.082,-0.011,88.652,46.625,67.000,-0.365,0.214
'[09:06:24.596 05/12/1995]',-0.092,-0.011,88.652,46.625,67.000,-0.365,0.214
'[09:06:24.598 05/12/1995]',-0.082,-0.011,88.652,46.625,67.000,-0.365,0.214
'[09:06:24.600 05/12/1995]',-0.082,-0.029,89.777,50.325,67.200,-0.334,0.218
'[09:06:24.602 05/12/1995]',-0.061,-0.023,89.777,50.325,67.200,-0.334,0.218
'[09:06:24.604 05/12/1995]',-0.051,-0.023,89.777,50.325,67.200,-0.334,0.218
'[09:06:24.606 05/12/1995]',-0.061,-0.023,89.777,50.325,67.200,-0.334,0.218
'[09:06:24.608 05/12/1995]',-0.082,-0.011,90.527,52.850,67.400,-0.299,0.221
'[09:06:24.610 05/12/1995]',-0.082,0.001,90.527,52.850,67.400,-0.299,0.221
'[09:06:24.612 05/12/1995]',-0.092,0.001,90.527,52.850,67.400,-0.299,0.221
'[09:06:24.614 05/12/1995]',-0.092,0.001,90.527,52.850,67.400,-0.299,0.221
'[09:06:24.616 05/12/1995]',-0.082,-0.005,90.752,53.725,67.650,-0.261,0.223
'[09:06:24.618 05/12/1995]',-0.051,-0.011,90.752,53.725,67.650,-0.261,0.223
'[09:06:24.620 05/12/1995]',-0.040,-0.011,90.752,53.725,67.650,-0.261,0.223
'[09:06:24.622 05/12/1995]',-0.040,-0.011,90.752,53.725,67.650,-0.261,0.223
'[09:06:24.624 05/12/1995]',-0.051,-0.005,90.677,52.950,67.900,-0.222,0.225
'[09:06:24.626 05/12/1995]',-0.071,0.001,90.677,52.950,67.900,-0.222,0.225
'[09:06:24.628 05/12/1995]',-0.082,0.006,90.677,52.950,67.900,-0.222,0.225
'[09:06:24.630 05/12/1995]',-0.082,0.006,90.677,52.950,67.900,-0.222,0.225
'[09:06:24.632 05/12/1995]',-0.082,0.006,90.227,51.025,68.100,-0.178,0.225
'[09:06:24.634 05/12/1995]',-0.051,-0.005,90.227,51.025,68.100,-0.178,0.225
'[09:06:24.636 05/12/1995]',-0.030,-0.005,90.227,51.025,68.100,-0.178,0.225
'[09:06:24.638 05/12/1995]',-0.030,-0.005,90.227,51.025,68.100,-0.178,0.225
'[09:06:24.640 05/12/1995]',-0.040,-0.005,89.327,48.450,68.350,-0.135,0.226
'[09:06:24.642 05/12/1995]',-0.040,0.001,89.327,48.450,68.350,-0.135,0.226
'[09:06:24.644 05/12/1995]',-0.071,0.006,89.327,48.450,68.350,-0.135,0.226
'[09:06:24.646 05/12/1995]',-0.082,0.006,89.327,48.450,68.350,-0.135,0.226
'[09:06:24.648 05/12/1995]',-0.082,0.006,88.202,45.875,68.600,-0.091,0.226
'[09:06:24.650 05/12/1995]',-0.071,0.006,88.202,45.875,68.600,-0.091,0.226
'[09:06:24.652 05/12/1995]',-0.051,0.001,88.202,45.875,68.600,-0.091,0.226
'[09:06:24.654 05/12/1995]',-0.040,-0.005,88.202,45.875,68.600,-0.091,0.226
'[09:06:24.656 05/12/1995]',-0.040,-0.005,86.777,43.575,68.800,-0.048,0.226
'[09:06:24.658 05/12/1995]',-0.040,0.001,86.777,43.575,68.800,-0.048,0.226
'[09:06:24.660 05/12/1995]',-0.051,0.001,86.777,43.575,68.800,-0.048,0.226
'[09:06:24.662 05/12/1995]',-0.071,0.006,86.777,43.575,68.800,-0.048,0.226
'[09:06:24.664 05/12/1995]',-0.082,0.006,85.127,41.600,69.100,-0.007,0.225
'[09:06:24.666 05/12/1995]',-0.071,0.006,85.127,41.600,69.100,-0.007,0.225
'[09:06:24.668 05/12/1995]',-0.051,0.001,85.127,41.600,69.100,-0.007,0.225
'[09:06:24.670 05/12/1995]',-0.051,0.001,85.127,41.600,69.100,-0.007,0.225
'[09:06:24.672 05/12/1995]',-0.040,0.001,83.252,39.775,69.300,0.034,-0.512
'[09:06:24.674 05/12/1995]',-0.051,0.001,83.252,39.775,69.300,0.034,-0.512
'[09:06:24.676 05/12/1995]',-0.061,0.001,83.252,39.775,69.300,0.034,-0.512
'[09:06:24.678 05/12/1995]',-0.071,0.006,83.252,39.775,69.300,0.034,-0.512
'[09:06:24.680 05/12/1995]',-0.082,0.006,81.152,38.300,69.550,0.070,-0.512
'[09:06:24.682 05/12/1995]',-0.061,0.006,81.152,38.300,69.550,0.070,-0.512
'[09:06:24.684 05/12/1995]',-0.051,0.001,81.152,38.300,69.550,0.070,-0.512
'[09:06:24.686 05/12/1995]',-0.040,-0.005,81.152,38.300,69.550,0.070,-0.512
'[09:06:24.688 05/12/1995]',-0.040,-0.005,78.902,37.425,69.750,0.103,-0.512
'[09:06:24.690 05/12/1995]',-0.040,-0.005,78.902,37.425,69.750,0.103,-0.512
'[09:06:24.692 05/12/1995]',-0.061,0.001,78.902,37.425,69.750,0.103,-0.512
'[09:06:24.694 05/12/1995]',-0.071,0.001,78.902,37.425,69.750,0.103,-0.512
'[09:06:24.696 05/12/1995]',-0.071,0.006,76.427,37.025,69.950,0.135,-0.512
'[09:06:24.698 05/12/1995]',-0.071,0.001,76.427,37.025,69.950,0.135,-0.512
'[09:06:24.700 05/12/1995]',-0.061,0.001,76.427,37.025,69.950,0.135,-0.512
'[09:06:24.702 05/12/1995]',-0.040,-0.005,76.427,37.025,69.950,0.135,-0.512
'[09:06:24.704 05/12/1995]',-0.030,-0.005,73.877,36.775,70.150,0.162,-0.512
'[09:06:24.706 05/12/1995]',-0.040,-0.005,73.877,36.775,70.150,0.162,-0.512
'[09:06:24.708 05/12/1995]',-0.040,-0.005,73.877,36.775,70.150,0.162,-0.512
'[09:06:24.710 05/12/1995]',-0.061,0.006,73.877,36.775,70.150,0.162,-0.512
'[09:06:24.712 05/12/1995]',-0.071,0.001,71.327,36.375,70.400,0.183,-0.512
'[09:06:24.714 05/12/1995]',-0.061,0.001,71.327,36.375,70.400,0.183,-0.512
'[09:06:24.716 05/12/1995]',-0.051,0.001,71.327,36.375,70.400,0.183,-0.512
'[09:06:24.718 05/12/1995]',-0.040,-0.005,71.327,36.375,70.400,0.183,-0.512
'[09:06:24.720 05/12/1995]',0.001,0.001,68.702,36.375,70.650,0.204,-0.512
'[09:06:24.722 05/12/1995]',0.001,0.001,68.702,36.375,70.650,0.204,-0.512
'[09:06:24.724 05/12/1995]',0.001,0.001,68.702,36.375,70.650,0.204,-0.512
'[09:06:24.726 05/12/1995]',0.001,0.001,68.702,36.375,70.650,0.204,-0.512
'[09:06:24.728 05/12/1995]',0.001,0.001,66.077,38.025,70.800,0.217,-0.512
'[09:06:24.730 05/12/1995]',0.001,0.001,66.077,38.025,70.800,0.217,-0.512
'[09:06:24.732 05/12/1995]',0.001,0.001,66.077,38.025,70.800,0.217,-0.512
'[09:06:24.734 05/12/1995]',0.001,0.001,66.077,38.025,70.800,0.217,-0.512
'[09:06:24.736 05/12/1995]',0.001,0.001,63.677,42.825,71.050,0.230,-0.512
'[09:06:24.738 05/12/1995]',0.001,0.001,63.677,42.825,71.050,0.230,-0.512
'[09:06:24.740 05/12/1995]',0.001,0.001,63.677,42.825,71.050,0.230,-0.512
'[09:06:24.742 05/12/1995]',0.001,0.001,63.677,42.825,71.050,0.230,-0.512
'[09:06:24.744 05/12/1995]',0.001,0.001,61.427,50.675,71.250,0.236,-0.512
'[09:06:24.746 05/12/1995]',0.001,0.001,61.427,50.675,71.250,0.236,-0.512
'[09:06:24.748 05/12/1995]',0.001,0.001,61.427,50.675,71.250,0.236,-0.512
'[09:06:24.750 05/12/1995]',0.001,0.001,61.427,50.675,71.250,0.236,-0.512
'[09:06:24.752 05/12/1995]',0.001,0.001,59.476,59.700,71.450,0.240,-0.512
'[09:06:24.754 05/12/1995]',0.001,0.001,59.476,59.700,71.450,0.240,-0.512
'[09:06:24.756 05/12/1995]',0.001,0.001,59.476,59.700,71.450,0.240,-0.512
'[09:06:24.758 05/12/1995]',0.001,0.001,59.476,59.700,71.450,0.240,-0.512
'[09:06:24.760 05/12/1995]',0.001,0.001,57.826,66.600,71.650,0.237,-0.512
'[09:06:24.762 05/12/1995]',0.001,0.001,57.826,66.600,71.650,0.237,-0.512
'[09:06:24.764 05/12/1995]',0.001,0.001,57.826,66.600,71.650,0.237,-0.512
'[09:06:24.766 05/12/1995]',0.001,0.001,57.826,66.600,71.650,0.237,-0.512
'[09:06:24.768 05/12/1995]',0.001,0.001,56.326,68.725,71.800,0.234,-0.512
'[09:06:24.770 05/12/1995]',0.001,0.001,56.326,68.725,71.800,0.234,-0.512
'[09:06:24.772 05/12/1995]',0.001,0.001,56.326,68.725,71.800,0.234,-0.512
'[09:06:24.774 05/12/1995]',0.001,0.001,56.326,68.725,71.800,0.234,-0.512
'[09:06:24.776 05/12/1995]',0.001,0.001,55.051,64.800,72.000,0.228,-0.512
'[09:06:24.778 05/12/1995]',0.001,0.001,55.051,64.800,72.000,0.228,-0.512
'[09:06:24.780 05/12/1995]',0.001,0.001,55.051,64.800,72.000,0.228,-0.512
'[09:06:24.782 05/12/1995]',0.001,0.001,55.051,64.800,72.000,0.228,-0.512
'[09:06:24.784 05/12/1995]',0.001,0.001,54.001,55.875,72.150,0.220,-0.512
'[09:06:24.786 05/12/1995]',0.001,0.001,54.001,55.875,72.150,0.220,-0.512
