'Time and date','III','MCL1'
'[09:32:58.000 04/12/1995]',-0.026,0.370
'[09:32:58.002 04/12/1995]',-0.023,0.370
'[09:32:58.004 04/12/1995]',-0.021,0.370
'[09:32:58.006 04/12/1995]',-0.018,0.370
'[09:32:58.008 04/12/1995]',-0.017,0.370
'[09:32:58.010 04/12/1995]',-0.015,0.403
'[09:32:58.012 04/12/1995]',-0.014,0.403
'[09:32:58.014 04/12/1995]',-0.012,0.403
'[09:32:58.016 04/12/1995]',-0.012,0.403
'[09:32:58.018 04/12/1995]',-0.011,0.403
'[09:32:58.020 04/12/1995]',-0.011,0.403
'[09:32:58.022 04/12/1995]',-0.010,0.403
'[09:32:58.024 04/12/1995]',-0.010,0.403
'[09:32:58.026 04/12/1995]',-0.009,0.403
'[09:32:58.028 04/12/1995]',-0.009,0.403
'[09:32:58.030 04/12/1995]',-0.009,0.403
'[09:32:58.032 04/12/1995]',-0.009,0.403
'[09:32:58.034 04/12/1995]',-0.008,0.403
'[09:32:58.036 04/12/1995]',-0.009,0.370
'[09:32:58.038 04/12/1995]',-0.009,0.370
'[09:32:58.040 04/12/1995]',-0.008,0.370
'[09:32:58.042 04/12/1995]',-0.008,0.370
'[09:32:58.044 04/12/1995]',-0.006,0.370
'[09:32:58.046 04/12/1995]',-0.005,0.336
'[09:32:58.048 04/12/1995]',-0.003,0.336
'[09:32:58.050 04/12/1995]',-0.001,0.336
'[09:32:58.052 04/12/1995]',0.001,0.336
'[09:32:58.054 04/12/1995]',0.002,0.303
'[09:32:58.056 04/12/1995]',0.003,0.303
'[09:32:58.058 04/12/1995]',0.004,0.303
'[09:32:58.060 04/12/1995]',0.004,0.303
'[09:32:58.062 04/12/1995]',0.005,0.269
'[09:32:58.064 04/12/1995]',0.004,0.269
'[09:32:58.066 04/12/1995]',0.004,0.236
'[09:32:58.068 04/12/1995]',0.004,0.236
'[09:32:58.070 04/12/1995]',0.004,0.236
'[09:32:58.072 04/12/1995]',0.003,0.202
'[09:32:58.074 04/12/1995]',0.002,0.202
'[09:32:58.076 04/12/1995]',0.000,0.169
'[09:32:58.078 04/12/1995]',-0.001,0.169
'[09:32:58.080 04/12/1995]',-0.003,0.169
'[09:32:58.082 04/12/1995]',-0.004,0.135
'[09:32:58.084 04/12/1995]',-0.005,0.135
'[09:32:58.086 04/12/1995]',-0.005,0.102
'[09:32:58.088 04/12/1995]',-0.006,0.102
'[09:32:58.090 04/12/1995]',-0.006,0.102
'[09:32:58.092 04/12/1995]',-0.006,0.102
'[09:32:58.094 04/12/1995]',-0.005,0.068
'[09:32:58.096 04/12/1995]',-0.006,0.068
'[09:32:58.098 04/12/1995]',-0.007,0.068
'[09:32:58.100 04/12/1995]',-0.009,0.068
'[09:32:58.102 04/12/1995]',-0.012,0.035
'[09:32:58.104 04/12/1995]',-0.014,0.035
'[09:32:58.106 04/12/1995]',-0.017,0.035
'[09:32:58.108 04/12/1995]',-0.018,0.035
'[09:32:58.110 04/12/1995]',-0.020,0.035
'[09:32:58.112 04/12/1995]',-0.021,0.003
'[09:32:58.114 04/12/1995]',-0.022,0.003
'[09:32:58.116 04/12/1995]',-0.023,0.003
'[09:32:58.118 04/12/1995]',-0.024,0.003
'[09:32:58.120 04/12/1995]',-0.024,0.003
'[09:32:58.122 04/12/1995]',-0.025,0.003
'[09:32:58.124 04/12/1995]',-0.025,0.003
'[09:32:58.126 04/12/1995]',-0.026,0.003
'[09:32:58.128 04/12/1995]',-0.027,0.003
'[09:32:58.130 04/12/1995]',-0.029,0.003
'[09:32:58.132 04/12/1995]',-0.030,0.003
'[09:32:58.134 04/12/1995]',-0.031,0.003
'[09:32:58.136 04/12/1995]',-0.032,0.003
'[09:32:58.138 04/12/1995]',-0.032,0.003
'[09:32:58.140 04/12/1995]',-0.033,0.003
'[09:32:58.142 04/12/1995]',-0.033,0.003
'[09:32:58.144 04/12/1995]',-0.034,0.003
'[09:32:58.146 04/12/1995]',-0.034,0.003
'[09:32:58.148 04/12/1995]',-0.034,0.003
'[09:32:58.150 04/12/1995]',-0.033,0.003
'[09:32:58.152 04/12/1995]',-0.033,0.003
'[09:32:58.154 04/12/1995]',-0.032,0.003
'[09:32:58.156 04/12/1995]',-0.032,0.003
'[09:32:58.158 04/12/1995]',-0.032,0.003
'[09:32:58.160 04/12/1995]',-0.033,0.003
'[09:32:58.162 04/12/1995]',-0.033,0.003
'[09:32:58.164 04/12/1995]',-0.034,0.003
'[09:32:58.166 04/12/1995]',-0.035,0.003
'[09:32:58.168 04/12/1995]',-0.035,0.003
'[09:32:58.170 04/12/1995]',-0.035,0.003
'[09:32:58.172 04/12/1995]',-0.035,0.003
'[09:32:58.174 04/12/1995]',-0.035,0.003
'[09:32:58.176 04/12/1995]',-0.036,0.003
'[09:32:58.178 04/12/1995]',-0.037,0.003
'[09:32:58.180 04/12/1995]',-0.038,0.003
'[09:32:58.182 04/12/1995]',-0.040,0.003
'[09:32:58.184 04/12/1995]',-0.041,0.003
'[09:32:58.186 04/12/1995]',-0.042,0.003
'[09:32:58.188 04/12/1995]',-0.043,0.003
'[09:32:58.190 04/12/1995]',-0.043,0.003
'[09:32:58.192 04/12/1995]',-0.043,0.003
'[09:32:58.194 04/12/1995]',-0.043,0.003
'[09:32:58.196 04/12/1995]',-0.042,0.003
'[09:32:58.198 04/12/1995]',-0.041,0.003
'[09:32:58.200 04/12/1995]',-0.040,0.003
'[09:32:58.202 04/12/1995]',-0.039,0.003
'[09:32:58.204 04/12/1995]',-0.039,0.003
'[09:32:58.206 04/12/1995]',-0.040,0.003
'[09:32:58.208 04/12/1995]',-0.040,0.003
'[09:32:58.210 04/12/1995]',-0.040,0.003
'[09:32:58.212 04/12/1995]',-0.040,0.003
'[09:32:58.214 04/12/1995]',-0.040,0.003
'[09:32:58.216 04/12/1995]',-0.040,0.003
'[09:32:58.218 04/12/1995]',-0.040,0.003
'[09:32:58.220 04/12/1995]',-0.038,0.003
'[09:32:58.222 04/12/1995]',-0.037,0.003
'[09:32:58.224 04/12/1995]',-0.035,0.003
'[09:32:58.226 04/12/1995]',-0.034,0.003
'[09:32:58.228 04/12/1995]',-0.032,0.003
'[09:32:58.230 04/12/1995]',-0.030,0.003
'[09:32:58.232 04/12/1995]',-0.027,0.003
'[09:32:58.234 04/12/1995]',-0.025,0.003
'[09:32:58.236 04/12/1995]',-0.022,0.003
'[09:32:58.238 04/12/1995]',-0.020,0.003
'[09:32:58.240 04/12/1995]',-0.017,0.003
'[09:32:58.242 04/12/1995]',-0.015,0.003
'[09:32:58.244 04/12/1995]',-0.012,0.003
'[09:32:58.246 04/12/1995]',-0.010,0.003
'[09:32:58.248 04/12/1995]',-0.009,0.003
'[09:32:58.250 04/12/1995]',-0.007,0.003
'[09:32:58.252 04/12/1995]',-0.008,0.003
'[09:32:58.254 04/12/1995]',-0.009,0.003
'[09:32:58.256 04/12/1995]',-0.013,0.003
'[09:32:58.258 04/12/1995]',-0.016,0.003
'[09:32:58.260 04/12/1995]',-0.019,0.003
'[09:32:58.262 04/12/1995]',-0.022,0.003
'[09:32:58.264 04/12/1995]',-0.025,0.003
'[09:32:58.266 04/12/1995]',-0.027,0.003
'[09:32:58.268 04/12/1995]',-0.026,0.003
'[09:32:58.270 04/12/1995]',-0.026,0.003
'[09:32:58.272 04/12/1995]',-0.025,0.003
'[09:32:58.274 04/12/1995]',-0.024,0.003
'[09:32:58.276 04/12/1995]',-0.024,0.003
'[09:32:58.278 04/12/1995]',-0.024,0.003
'[09:32:58.280 04/12/1995]',-0.025,0.003
'[09:32:58.282 04/12/1995]',-0.026,0.003
'[09:32:58.284 04/12/1995]',-0.027,0.003
'[09:32:58.286 04/12/1995]',-0.028,0.003
'[09:32:58.288 04/12/1995]',-0.026,0.003
'[09:32:58.290 04/12/1995]',-0.025,0.003
'[09:32:58.292 04/12/1995]',-0.022,0.003
'[09:32:58.294 04/12/1995]',-0.019,0.003
'[09:32:58.296 04/12/1995]',-0.016,0.003
'[09:32:58.298 04/12/1995]',-0.013,0.003
'[09:32:58.300 04/12/1995]',-0.012,0.003
'[09:32:58.302 04/12/1995]',-0.011,0.003
'[09:32:58.304 04/12/1995]',-0.013,0.003
'[09:32:58.306 04/12/1995]',-0.014,0.003
'[09:32:58.308 04/12/1995]',-0.015,0.003
'[09:32:58.310 04/12/1995]',-0.015,0.003
'[09:32:58.312 04/12/1995]',-0.014,0.003
'[09:32:58.314 04/12/1995]',-0.012,0.003
'[09:32:58.316 04/12/1995]',-0.008,0.003
'[09:32:58.318 04/12/1995]',-0.004,0.003
'[09:32:58.320 04/12/1995]',0.002,0.003
'[09:32:58.322 04/12/1995]',0.009,0.035
'[09:32:58.324 04/12/1995]',0.015,0.035
'[09:32:58.326 04/12/1995]',0.022,0.035
'[09:32:58.328 04/12/1995]',0.028,0.035
'[09:32:58.330 04/12/1995]',0.035,0.035
'[09:32:58.332 04/12/1995]',0.040,0.035
'[09:32:58.334 04/12/1995]',0.044,0.003
'[09:32:58.336 04/12/1995]',0.047,0.003
'[09:32:58.338 04/12/1995]',0.050,0.003
'[09:32:58.340 04/12/1995]',0.049,0.003
'[09:32:58.342 04/12/1995]',0.048,0.003
'[09:32:58.344 04/12/1995]',0.044,0.003
'[09:32:58.346 04/12/1995]',0.040,0.003
'[09:32:58.348 04/12/1995]',0.034,0.003
'[09:32:58.350 04/12/1995]',0.028,0.003
'[09:32:58.352 04/12/1995]',0.022,-0.030
'[09:32:58.354 04/12/1995]',0.016,-0.030
'[09:32:58.356 04/12/1995]',0.011,-0.030
'[09:32:58.358 04/12/1995]',0.006,-0.030
'[09:32:58.360 04/12/1995]',0.002,-0.030
'[09:32:58.362 04/12/1995]',-0.001,-0.030
'[09:32:58.364 04/12/1995]',-0.004,-0.030
'[09:32:58.366 04/12/1995]',-0.006,-0.030
'[09:32:58.368 04/12/1995]',-0.008,-0.030
'[09:32:58.370 04/12/1995]',-0.011,-0.030
'[09:32:58.372 04/12/1995]',-0.013,-0.030
'[09:32:58.374 04/12/1995]',-0.016,-0.030
'[09:32:58.376 04/12/1995]',-0.019,-0.030
'[09:32:58.378 04/12/1995]',-0.022,-0.030
'[09:32:58.380 04/12/1995]',-0.025,-0.030
'[09:32:58.382 04/12/1995]',-0.029,-0.030
'[09:32:58.384 04/12/1995]',-0.032,-0.030
'[09:32:58.386 04/12/1995]',-0.035,-0.030
'[09:32:58.388 04/12/1995]',-0.037,-0.030
'[09:32:58.390 04/12/1995]',-0.039,-0.030
'[09:32:58.392 04/12/1995]',-0.040,-0.030
'[09:32:58.394 04/12/1995]',-0.042,-0.064
'[09:32:58.396 04/12/1995]',-0.043,-0.030
'[09:32:58.398 04/12/1995]',-0.043,-0.030
'[09:32:58.400 04/12/1995]',-0.043,-0.030
'[09:32:58.402 04/12/1995]',-0.044,-0.064
'[09:32:58.404 04/12/1995]',-0.044,-0.064
'[09:32:58.406 04/12/1995]',-0.044,-0.030
'[09:32:58.408 04/12/1995]',-0.044,-0.064
'[09:32:58.410 04/12/1995]',-0.044,-0.064
'[09:32:58.412 04/12/1995]',-0.044,-0.030
'[09:32:58.414 04/12/1995]',-0.043,-0.030
'[09:32:58.416 04/12/1995]',-0.042,-0.030
'[09:32:58.418 04/12/1995]',-0.041,-0.030
'[09:32:58.420 04/12/1995]',-0.040,-0.030
'[09:32:58.422 04/12/1995]',-0.040,-0.064
'[09:32:58.424 04/12/1995]',-0.040,-0.064
'[09:32:58.426 04/12/1995]',-0.041,-0.064
'[09:32:58.428 04/12/1995]',-0.041,-0.064
'[09:32:58.430 04/12/1995]',-0.042,-0.030
'[09:32:58.432 04/12/1995]',-0.043,-0.030
'[09:32:58.434 04/12/1995]',-0.043,-0.030
'[09:32:58.436 04/12/1995]',-0.042,-0.064
'[09:32:58.438 04/12/1995]',-0.041,-0.030
'[09:32:58.440 04/12/1995]',-0.037,-0.064
'[09:32:58.442 04/12/1995]',-0.033,-0.064
'[09:32:58.444 04/12/1995]',-0.027,-0.030
'[09:32:58.446 04/12/1995]',-0.021,-0.030
'[09:32:58.448 04/12/1995]',-0.015,-0.030
'[09:32:58.450 04/12/1995]',-0.009,-0.064
'[09:32:58.452 04/12/1995]',-0.007,-0.030
'[09:32:58.454 04/12/1995]',-0.005,-0.064
'[09:32:58.456 04/12/1995]',-0.006,-0.030
'[09:32:58.458 04/12/1995]',-0.007,-0.064
'[09:32:58.460 04/12/1995]',-0.010,-0.030
'[09:32:58.462 04/12/1995]',-0.013,-0.030
'[09:32:58.464 04/12/1995]',-0.016,-0.030
'[09:32:58.466 04/12/1995]',-0.019,-0.030
'[09:32:58.468 04/12/1995]',-0.020,-0.030
'[09:32:58.470 04/12/1995]',-0.021,-0.030
'[09:32:58.472 04/12/1995]',-0.019,-0.030
'[09:32:58.474 04/12/1995]',-0.017,-0.064
'[09:32:58.476 04/12/1995]',-0.013,-0.064
'[09:32:58.478 04/12/1995]',-0.010,-0.064
'[09:32:58.480 04/12/1995]',-0.006,-0.030
'[09:32:58.482 04/12/1995]',-0.001,-0.030
'[09:32:58.484 04/12/1995]',0.005,-0.064
'[09:32:58.486 04/12/1995]',0.011,-0.030
'[09:32:58.488 04/12/1995]',0.021,-0.030
'[09:32:58.490 04/12/1995]',0.030,-0.064
'[09:32:58.492 04/12/1995]',0.046,-0.064
'[09:32:58.494 04/12/1995]',0.062,-0.064
'[09:32:58.496 04/12/1995]',0.087,-0.064
'[09:32:58.498 04/12/1995]',0.111,-0.064
'[09:32:58.500 04/12/1995]',0.143,-0.064
'[09:32:58.502 04/12/1995]',0.175,-0.097
'[09:32:58.504 04/12/1995]',0.212,-0.131
'[09:32:58.506 04/12/1995]',0.248,-0.164
'[09:32:58.508 04/12/1995]',0.283,-0.198
'[09:32:58.510 04/12/1995]',0.318,-0.265
'[09:32:58.512 04/12/1995]',0.347,-0.332
'[09:32:58.514 04/12/1995]',0.376,-0.466
'[09:32:58.516 04/12/1995]',0.393,-0.598
'[09:32:58.518 04/12/1995]',0.409,-0.732
'[09:32:58.520 04/12/1995]',0.414,-0.866
'[09:32:58.522 04/12/1995]',0.419,-1.032
'[09:32:58.524 04/12/1995]',0.414,-1.166
'[09:32:58.526 04/12/1995]',0.409,-1.266
'[09:32:58.528 04/12/1995]',0.399,-1.367
'[09:32:58.530 04/12/1995]',0.389,-1.432
'[09:32:58.532 04/12/1995]',0.380,-1.466
'[09:32:58.534 04/12/1995]',0.371,-1.432
'[09:32:58.536 04/12/1995]',0.366,-1.432
'[09:32:58.538 04/12/1995]',0.360,-1.432
'[09:32:58.540 04/12/1995]',0.361,-1.400
'[09:32:58.542 04/12/1995]',0.362,-1.367
'[09:32:58.544 04/12/1995]',0.369,-1.333
'[09:32:58.546 04/12/1995]',0.377,-1.266
'[09:32:58.548 04/12/1995]',0.394,-1.233
'[09:32:58.550 04/12/1995]',0.411,-1.132
'[09:32:58.552 04/12/1995]',0.433,-1.032
'[09:32:58.554 04/12/1995]',0.455,-0.900
'[09:32:58.556 04/12/1995]',0.472,-0.799
'[09:32:58.558 04/12/1995]',0.490,-0.665
'[09:32:58.560 04/12/1995]',0.492,-0.565
'[09:32:58.562 04/12/1995]',0.493,-0.432
'[09:32:58.564 04/12/1995]',0.473,-0.332
'[09:32:58.566 04/12/1995]',0.453,-0.265
'[09:32:58.568 04/12/1995]',0.414,-0.198
'[09:32:58.570 04/12/1995]',0.375,-0.164
'[09:32:58.572 04/12/1995]',0.326,-0.097
'[09:32:58.574 04/12/1995]',0.277,-0.030
'[09:32:58.576 04/12/1995]',0.229,0.003
'[09:32:58.578 04/12/1995]',0.181,0.003
'[09:32:58.580 04/12/1995]',0.140,0.068
'[09:32:58.582 04/12/1995]',0.099,0.068
'[09:32:58.584 04/12/1995]',0.068,0.102
'[09:32:58.586 04/12/1995]',0.037,0.102
'[09:32:58.588 04/12/1995]',0.015,0.135
'[09:32:58.590 04/12/1995]',-0.006,0.135
'[09:32:58.592 04/12/1995]',-0.022,0.169
'[09:32:58.594 04/12/1995]',-0.037,0.169
'[09:32:58.596 04/12/1995]',-0.046,0.169
'[09:32:58.598 04/12/1995]',-0.056,0.202
'[09:32:58.600 04/12/1995]',-0.062,0.202
'[09:32:58.602 04/12/1995]',-0.069,0.202
'[09:32:58.604 04/12/1995]',-0.073,0.202
'[09:32:58.606 04/12/1995]',-0.077,0.202
'[09:32:58.608 04/12/1995]',-0.080,0.202
'[09:32:58.610 04/12/1995]',-0.083,0.236
'[09:32:58.612 04/12/1995]',-0.085,0.236
'[09:32:58.614 04/12/1995]',-0.086,0.202
'[09:32:58.616 04/12/1995]',-0.085,0.202
'[09:32:58.618 04/12/1995]',-0.083,0.202
'[09:32:58.620 04/12/1995]',-0.079,0.202
'[09:32:58.622 04/12/1995]',-0.076,0.202
'[09:32:58.624 04/12/1995]',-0.071,0.202
'[09:32:58.626 04/12/1995]',-0.067,0.236
'[09:32:58.628 04/12/1995]',-0.064,0.236
'[09:32:58.630 04/12/1995]',-0.061,0.236
'[09:32:58.632 04/12/1995]',-0.060,0.236
'[09:32:58.634 04/12/1995]',-0.058,0.236
'[09:32:58.636 04/12/1995]',-0.058,0.236
'[09:32:58.638 04/12/1995]',-0.058,0.202
'[09:32:58.640 04/12/1995]',-0.058,0.202
'[09:32:58.642 04/12/1995]',-0.057,0.236
'[09:32:58.644 04/12/1995]',-0.058,0.236
'[09:32:58.646 04/12/1995]',-0.058,0.236
'[09:32:58.648 04/12/1995]',-0.059,0.236
'[09:32:58.650 04/12/1995]',-0.060,0.236
'[09:32:58.652 04/12/1995]',-0.061,0.236
'[09:32:58.654 04/12/1995]',-0.062,0.236
'[09:32:58.656 04/12/1995]',-0.062,0.236
'[09:32:58.658 04/12/1995]',-0.063,0.236
'[09:32:58.660 04/12/1995]',-0.061,0.236
'[09:32:58.662 04/12/1995]',-0.059,0.236
'[09:32:58.664 04/12/1995]',-0.056,0.236
'[09:32:58.666 04/12/1995]',-0.053,0.236
'[09:32:58.668 04/12/1995]',-0.048,0.269
'[09:32:58.670 04/12/1995]',-0.044,0.269
'[09:32:58.672 04/12/1995]',-0.041,0.269
'[09:32:58.674 04/12/1995]',-0.038,0.269
'[09:32:58.676 04/12/1995]',-0.036,0.269
'[09:32:58.678 04/12/1995]',-0.034,0.269
'[09:32:58.680 04/12/1995]',-0.033,0.303
'[09:32:58.682 04/12/1995]',-0.032,0.303
'[09:32:58.684 04/12/1995]',-0.032,0.303
'[09:32:58.686 04/12/1995]',-0.031,0.303
'[09:32:58.688 04/12/1995]',-0.032,0.269
'[09:32:58.690 04/12/1995]',-0.032,0.303
'[09:32:58.692 04/12/1995]',-0.032,0.303
'[09:32:58.694 04/12/1995]',-0.032,0.303
'[09:32:58.696 04/12/1995]',-0.033,0.303
'[09:32:58.698 04/12/1995]',-0.033,0.303
'[09:32:58.700 04/12/1995]',-0.034,0.303
'[09:32:58.702 04/12/1995]',-0.034,0.303
'[09:32:58.704 04/12/1995]',-0.033,0.303
'[09:32:58.706 04/12/1995]',-0.032,0.303
'[09:32:58.708 04/12/1995]',-0.030,0.303
'[09:32:58.710 04/12/1995]',-0.028,0.303
'[09:32:58.712 04/12/1995]',-0.025,0.303
'[09:32:58.714 04/12/1995]',-0.023,0.303
'[09:32:58.716 04/12/1995]',-0.021,0.303
'[09:32:58.718 04/12/1995]',-0.019,0.303
'[09:32:58.720 04/12/1995]',-0.018,0.303
'[09:32:58.722 04/12/1995]',-0.017,0.303
'[09:32:58.724 04/12/1995]',-0.015,0.269
'[09:32:58.726 04/12/1995]',-0.014,0.269
'[09:32:58.728 04/12/1995]',-0.012,0.303
'[09:32:58.730 04/12/1995]',-0.011,0.269
'[09:32:58.732 04/12/1995]',-0.011,0.269
'[09:32:58.734 04/12/1995]',-0.010,0.269
'[09:32:58.736 04/12/1995]',-0.009,0.236
'[09:32:58.738 04/12/1995]',-0.009,0.236
'[09:32:58.740 04/12/1995]',-0.007,0.236
'[09:32:58.742 04/12/1995]',-0.005,0.236
'[09:32:58.744 04/12/1995]',-0.004,0.236
'[09:32:58.746 04/12/1995]',-0.002,0.236
'[09:32:58.748 04/12/1995]',0.001,0.202
'[09:32:58.750 04/12/1995]',0.004,0.202
'[09:32:58.752 04/12/1995]',0.005,0.202
'[09:32:58.754 04/12/1995]',0.006,0.169
'[09:32:58.756 04/12/1995]',0.006,0.169
'[09:32:58.758 04/12/1995]',0.006,0.169
'[09:32:58.760 04/12/1995]',0.005,0.169
'[09:32:58.762 04/12/1995]',0.004,0.135
'[09:32:58.764 04/12/1995]',0.003,0.135
'[09:32:58.766 04/12/1995]',0.002,0.135
'[09:32:58.768 04/12/1995]',0.002,0.102
'[09:32:58.770 04/12/1995]',0.002,0.102
'[09:32:58.772 04/12/1995]',0.002,0.068
'[09:32:58.774 04/12/1995]',0.002,0.068
'[09:32:58.776 04/12/1995]',0.003,0.068
'[09:32:58.778 04/12/1995]',0.003,0.068
'[09:32:58.780 04/12/1995]',0.003,0.068
'[09:32:58.782 04/12/1995]',0.004,0.035
'[09:32:58.784 04/12/1995]',0.004,0.035
'[09:32:58.786 04/12/1995]',0.005,0.035
'[09:32:58.788 04/12/1995]',0.007,0.003
'[09:32:58.790 04/12/1995]',0.009,0.003
'[09:32:58.792 04/12/1995]',0.011,0.003
'[09:32:58.794 04/12/1995]',0.014,0.003
'[09:32:58.796 04/12/1995]',0.014,0.003
'[09:32:58.798 04/12/1995]',0.014,0.003
'[09:32:58.800 04/12/1995]',0.012,0.003
'[09:32:58.802 04/12/1995]',0.010,0.003
'[09:32:58.804 04/12/1995]',0.006,0.003
'[09:32:58.806 04/12/1995]',0.002,0.003
'[09:32:58.808 04/12/1995]',-0.003,0.003
'[09:32:58.810 04/12/1995]',-0.007,0.003
'[09:32:58.812 04/12/1995]',-0.009,0.003
'[09:32:58.814 04/12/1995]',-0.012,-0.030
'[09:32:58.816 04/12/1995]',-0.012,0.003
'[09:32:58.818 04/12/1995]',-0.011,-0.030
'[09:32:58.820 04/12/1995]',-0.010,-0.030
'[09:32:58.822 04/12/1995]',-0.008,-0.030
'[09:32:58.824 04/12/1995]',-0.007,-0.030
'[09:32:58.826 04/12/1995]',-0.006,-0.030
'[09:32:58.828 04/12/1995]',-0.005,-0.030
'[09:32:58.830 04/12/1995]',-0.004,-0.030
'[09:32:58.832 04/12/1995]',-0.003,-0.030
'[09:32:58.834 04/12/1995]',-0.002,-0.030
'[09:32:58.836 04/12/1995]',-0.003,-0.030
'[09:32:58.838 04/12/1995]',-0.004,-0.030
'[09:32:58.840 04/12/1995]',-0.004,-0.030
'[09:32:58.842 04/12/1995]',-0.005,-0.030
'[09:32:58.844 04/12/1995]',-0.005,-0.030
'[09:32:58.846 04/12/1995]',-0.005,-0.030
'[09:32:58.848 04/12/1995]',-0.004,-0.030
'[09:32:58.850 04/12/1995]',-0.004,-0.030
'[09:32:58.852 04/12/1995]',-0.004,-0.030
'[09:32:58.854 04/12/1995]',-0.004,-0.030
'[09:32:58.856 04/12/1995]',-0.004,0.003
'[09:32:58.858 04/12/1995]',-0.004,-0.030
'[09:32:58.860 04/12/1995]',-0.003,-0.030
'[09:32:58.862 04/12/1995]',-0.003,-0.030
'[09:32:58.864 04/12/1995]',-0.004,-0.030
'[09:32:58.866 04/12/1995]',-0.005,-0.030
'[09:32:58.868 04/12/1995]',-0.007,-0.030
'[09:32:58.870 04/12/1995]',-0.008,-0.030
'[09:32:58.872 04/12/1995]',-0.009,-0.030
'[09:32:58.874 04/12/1995]',-0.011,-0.030
'[09:32:58.876 04/12/1995]',-0.011,-0.030
'[09:32:58.878 04/12/1995]',-0.012,-0.030
'[09:32:58.880 04/12/1995]',-0.012,0.003
'[09:32:58.882 04/12/1995]',-0.012,0.003
'[09:32:58.884 04/12/1995]',-0.010,0.003
'[09:32:58.886 04/12/1995]',-0.009,0.003
'[09:32:58.888 04/12/1995]',-0.008,0.003
'[09:32:58.890 04/12/1995]',-0.006,0.003
'[09:32:58.892 04/12/1995]',-0.007,0.003
'[09:32:58.894 04/12/1995]',-0.007,0.003
'[09:32:58.896 04/12/1995]',-0.008,0.003
'[09:32:58.898 04/12/1995]',-0.009,0.003
'[09:32:58.900 04/12/1995]',-0.010,0.003
'[09:32:58.902 04/12/1995]',-0.011,0.003
'[09:32:58.904 04/12/1995]',-0.012,0.003
'[09:32:58.906 04/12/1995]',-0.014,0.003
'[09:32:58.908 04/12/1995]',-0.014,0.003
'[09:32:58.910 04/12/1995]',-0.015,0.003
'[09:32:58.912 04/12/1995]',-0.015,0.003
'[09:32:58.914 04/12/1995]',-0.015,0.003
'[09:32:58.916 04/12/1995]',-0.014,0.003
'[09:32:58.918 04/12/1995]',-0.013,0.003
'[09:32:58.920 04/12/1995]',-0.012,0.003
'[09:32:58.922 04/12/1995]',-0.011,0.003
'[09:32:58.924 04/12/1995]',-0.010,-0.030
'[09:32:58.926 04/12/1995]',-0.009,0.003
'[09:32:58.928 04/12/1995]',-0.010,0.003
'[09:32:58.930 04/12/1995]',-0.011,0.003
'[09:32:58.932 04/12/1995]',-0.013,-0.030
'[09:32:58.934 04/12/1995]',-0.015,0.003
'[09:32:58.936 04/12/1995]',-0.017,0.003
'[09:32:58.938 04/12/1995]',-0.020,-0.030
'[09:32:58.940 04/12/1995]',-0.022,-0.030
'[09:32:58.942 04/12/1995]',-0.025,-0.030
'[09:32:58.944 04/12/1995]',-0.027,-0.030
'[09:32:58.946 04/12/1995]',-0.030,-0.030
'[09:32:58.948 04/12/1995]',-0.031,-0.030
'[09:32:58.950 04/12/1995]',-0.032,-0.030
'[09:32:58.952 04/12/1995]',-0.032,-0.030
'[09:32:58.954 04/12/1995]',-0.032,-0.030
'[09:32:58.956 04/12/1995]',-0.029,-0.030
'[09:32:58.958 04/12/1995]',-0.026,-0.030
'[09:32:58.960 04/12/1995]',-0.021,-0.030
'[09:32:58.962 04/12/1995]',-0.017,-0.030
'[09:32:58.964 04/12/1995]',-0.012,-0.030
'[09:32:58.966 04/12/1995]',-0.007,-0.030
'[09:32:58.968 04/12/1995]',-0.005,-0.030
'[09:32:58.970 04/12/1995]',-0.003,-0.030
'[09:32:58.972 04/12/1995]',-0.004,-0.030
'[09:32:58.974 04/12/1995]',-0.006,-0.030
'[09:32:58.976 04/12/1995]',-0.009,-0.030
'[09:32:58.978 04/12/1995]',-0.013,-0.030
'[09:32:58.980 04/12/1995]',-0.015,-0.030
'[09:32:58.982 04/12/1995]',-0.018,-0.030
'[09:32:58.984 04/12/1995]',-0.017,-0.030
'[09:32:58.986 04/12/1995]',-0.017,-0.064
'[09:32:58.988 04/12/1995]',-0.014,-0.064
'[09:32:58.990 04/12/1995]',-0.011,-0.064
'[09:32:58.992 04/12/1995]',-0.008,-0.064
'[09:32:58.994 04/12/1995]',-0.005,-0.030
'[09:32:58.996 04/12/1995]',-0.004,-0.030
'[09:32:58.998 04/12/1995]',-0.002,-0.030
'[09:32:59.000 04/12/1995]',-0.001,-0.030
'[09:32:59.002 04/12/1995]',-0.001,-0.030
'[09:32:59.004 04/12/1995]',0.002,-0.030
'[09:32:59.006 04/12/1995]',0.004,-0.030
'[09:32:59.008 04/12/1995]',0.009,-0.030
'[09:32:59.010 04/12/1995]',0.015,-0.030
'[09:32:59.012 04/12/1995]',0.021,0.003
'[09:32:59.014 04/12/1995]',0.027,0.003
'[09:32:59.016 04/12/1995]',0.029,0.003
'[09:32:59.018 04/12/1995]',0.032,-0.030
'[09:32:59.020 04/12/1995]',0.032,0.003
'[09:32:59.022 04/12/1995]',0.031,0.003
'[09:32:59.024 04/12/1995]',0.031,0.003
'[09:32:59.026 04/12/1995]',0.031,0.003
'[09:32:59.028 04/12/1995]',0.034,0.003
'[09:32:59.030 04/12/1995]',0.036,0.003
