'Time and date','MCL1','II','ABP','PAP','CVP','PLETH'
'[10:39:00.774 09/02/1996]',-0.046,0.070,59.598,30.125,10.363,-0.158
'[10:39:00.776 09/02/1996]',-0.043,0.056,59.146,30.200,10.188,-0.197
'[10:39:00.778 09/02/1996]',-0.040,0.042,59.146,30.200,10.188,-0.197
'[10:39:00.780 09/02/1996]',-0.038,0.034,59.146,30.200,10.188,-0.197
'[10:39:00.782 09/02/1996]',-0.037,0.025,59.146,30.200,10.188,-0.197
'[10:39:00.784 09/02/1996]',-0.037,0.021,58.643,30.200,10.062,-0.231
'[10:39:00.786 09/02/1996]',-0.037,0.017,58.643,30.200,10.062,-0.231
'[10:39:00.788 09/02/1996]',-0.038,0.015,58.643,30.200,10.062,-0.231
'[10:39:00.790 09/02/1996]',-0.040,0.012,58.643,30.200,10.062,-0.231
'[10:39:00.792 09/02/1996]',-0.041,0.009,58.191,30.000,10.062,-0.260
'[10:39:00.794 09/02/1996]',-0.041,0.007,58.191,30.000,10.062,-0.260
'[10:39:00.796 09/02/1996]',-0.040,0.006,58.191,30.000,10.062,-0.260
'[10:39:00.798 09/02/1996]',-0.039,0.005,58.191,30.000,10.062,-0.260
'[10:39:00.800 09/02/1996]',-0.037,0.004,57.739,29.650,10.188,-0.289
'[10:39:00.802 09/02/1996]',-0.035,0.004,57.739,29.650,10.188,-0.289
'[10:39:00.804 09/02/1996]',-0.033,0.004,57.739,29.650,10.188,-0.289
'[10:39:00.806 09/02/1996]',-0.030,0.003,57.739,29.650,10.188,-0.289
'[10:39:00.808 09/02/1996]',-0.027,0.003,57.286,29.249,10.363,-0.311
'[10:39:00.810 09/02/1996]',-0.024,0.002,57.286,29.249,10.363,-0.311
'[10:39:00.812 09/02/1996]',-0.021,0.001,57.286,29.249,10.363,-0.311
'[10:39:00.814 09/02/1996]',-0.019,-0.001,57.286,29.249,10.363,-0.311
'[10:39:00.816 09/02/1996]',-0.018,-0.003,56.884,28.774,10.650,-0.334
'[10:39:00.818 09/02/1996]',-0.017,-0.005,56.884,28.774,10.650,-0.334
'[10:39:00.820 09/02/1996]',-0.018,-0.006,56.884,28.774,10.650,-0.334
'[10:39:00.822 09/02/1996]',-0.020,-0.008,56.884,28.774,10.650,-0.334
'[10:39:00.824 09/02/1996]',-0.021,-0.010,56.533,28.499,11.000,-0.354
'[10:39:00.826 09/02/1996]',-0.023,-0.012,56.533,28.499,11.000,-0.354
'[10:39:00.828 09/02/1996]',-0.025,-0.015,56.533,28.499,11.000,-0.354
'[10:39:00.830 09/02/1996]',-0.026,-0.017,56.533,28.499,11.000,-0.354
'[10:39:00.832 09/02/1996]',-0.028,-0.019,56.181,28.374,11.588,-0.372
'[10:39:00.834 09/02/1996]',-0.030,-0.022,56.181,28.374,11.588,-0.372
'[10:39:00.836 09/02/1996]',-0.030,-0.025,56.181,28.374,11.588,-0.372
'[10:39:00.838 09/02/1996]',-0.030,-0.029,56.181,28.374,11.588,-0.372
'[10:39:00.840 09/02/1996]',-0.030,-0.034,55.829,28.549,12.175,-0.386
'[10:39:00.842 09/02/1996]',-0.030,-0.038,55.829,28.549,12.175,-0.386
'[10:39:00.844 09/02/1996]',-0.030,-0.043,55.829,28.549,12.175,-0.386
'[10:39:00.846 09/02/1996]',-0.030,-0.047,55.829,28.549,12.175,-0.386
'[10:39:00.848 09/02/1996]',-0.030,-0.051,55.528,28.774,12.650,-0.402
'[10:39:00.850 09/02/1996]',-0.031,-0.056,55.528,28.774,12.650,-0.402
'[10:39:00.852 09/02/1996]',-0.032,-0.060,55.528,28.774,12.650,-0.402
'[10:39:00.854 09/02/1996]',-0.033,-0.065,55.528,28.774,12.650,-0.402
'[10:39:00.856 09/02/1996]',-0.034,-0.068,55.226,28.949,12.938,-0.415
'[10:39:00.858 09/02/1996]',-0.035,-0.070,55.226,28.949,12.938,-0.415
'[10:39:00.860 09/02/1996]',-0.036,-0.072,55.226,28.949,12.938,-0.415
'[10:39:00.862 09/02/1996]',-0.037,-0.074,55.226,28.949,12.938,-0.415
'[10:39:00.864 09/02/1996]',-0.038,-0.075,55.126,28.774,13.225,-0.429
'[10:39:00.866 09/02/1996]',-0.040,-0.076,55.126,28.774,13.225,-0.429
'[10:39:00.868 09/02/1996]',-0.041,-0.075,55.126,28.774,13.225,-0.429
'[10:39:00.870 09/02/1996]',-0.041,-0.075,55.126,28.774,13.225,-0.429
'[10:39:00.872 09/02/1996]',-0.041,-0.074,55.327,28.249,13.588,-0.441
'[10:39:00.874 09/02/1996]',-0.040,-0.073,55.327,28.249,13.588,-0.441
'[10:39:00.876 09/02/1996]',-0.040,-0.073,55.327,28.249,13.588,-0.441
'[10:39:00.878 09/02/1996]',-0.040,-0.073,55.327,28.249,13.588,-0.441
'[10:39:00.880 09/02/1996]',-0.041,-0.073,56.030,27.673,13.812,-0.452
'[10:39:00.882 09/02/1996]',-0.041,-0.073,56.030,27.673,13.812,-0.452
'[10:39:00.884 09/02/1996]',-0.043,-0.073,56.030,27.673,13.812,-0.452
'[10:39:00.886 09/02/1996]',-0.045,-0.074,56.030,27.673,13.812,-0.452
'[10:39:00.888 09/02/1996]',-0.049,-0.075,57.789,27.498,13.812,-0.459
'[10:39:00.890 09/02/1996]',-0.053,-0.077,57.789,27.498,13.812,-0.459
'[10:39:00.892 09/02/1996]',-0.057,-0.080,57.789,27.498,13.812,-0.459
'[10:39:00.894 09/02/1996]',-0.061,-0.083,57.789,27.498,13.812,-0.459
'[10:39:00.896 09/02/1996]',-0.065,-0.086,61.357,27.848,13.588,-0.469
'[10:39:00.898 09/02/1996]',-0.069,-0.089,61.357,27.848,13.588,-0.469
'[10:39:00.900 09/02/1996]',-0.073,-0.093,61.357,27.848,13.588,-0.469
'[10:39:00.902 09/02/1996]',-0.078,-0.097,61.357,27.848,13.588,-0.469
'[10:39:00.904 09/02/1996]',-0.082,-0.101,67.437,28.599,13.175,-0.472
'[10:39:00.906 09/02/1996]',-0.086,-0.104,67.437,28.599,13.175,-0.472
'[10:39:00.908 09/02/1996]',-0.089,-0.107,67.437,28.599,13.175,-0.472
'[10:39:00.910 09/02/1996]',-0.093,-0.111,67.437,28.599,13.175,-0.472
'[10:39:00.912 09/02/1996]',-0.095,-0.113,76.080,29.475,12.588,-0.469
'[10:39:00.914 09/02/1996]',-0.096,-0.115,76.080,29.475,12.588,-0.469
'[10:39:00.916 09/02/1996]',-0.096,-0.116,76.080,29.475,12.588,-0.469
'[10:39:00.918 09/02/1996]',-0.095,-0.116,76.080,29.475,12.588,-0.469
'[10:39:00.920 09/02/1996]',-0.093,-0.115,86.683,30.200,11.887,-0.461
'[10:39:00.922 09/02/1996]',-0.092,-0.114,86.683,30.200,11.887,-0.461
'[10:39:00.924 09/02/1996]',-0.092,-0.112,86.683,30.200,11.887,-0.461
'[10:39:00.926 09/02/1996]',-0.092,-0.109,86.683,30.200,11.887,-0.461
'[10:39:00.928 09/02/1996]',-0.092,-0.106,97.889,30.600,11.175,-0.445
'[10:39:00.930 09/02/1996]',-0.093,-0.104,97.889,30.600,11.175,-0.445
'[10:39:00.932 09/02/1996]',-0.093,-0.101,97.889,30.600,11.175,-0.445
'[10:39:00.934 09/02/1996]',-0.094,-0.098,97.889,30.600,11.175,-0.445
'[10:39:00.936 09/02/1996]',-0.094,-0.094,108.191,30.901,10.650,-0.415
'[10:39:00.938 09/02/1996]',-0.094,-0.090,108.191,30.901,10.650,-0.415
'[10:39:00.940 09/02/1996]',-0.094,-0.086,108.191,30.901,10.650,-0.415
'[10:39:00.942 09/02/1996]',-0.094,-0.083,108.191,30.901,10.650,-0.415
'[10:39:00.944 09/02/1996]',-0.093,-0.079,116.332,31.251,10.363,-0.375
'[10:39:00.946 09/02/1996]',-0.092,-0.074,116.332,31.251,10.363,-0.375
'[10:39:00.948 09/02/1996]',-0.090,-0.069,116.332,31.251,10.363,-0.375
'[10:39:00.950 09/02/1996]',-0.088,-0.064,116.332,31.251,10.363,-0.375
'[10:39:00.952 09/02/1996]',-0.086,-0.059,121.508,31.776,10.300,-0.314
'[10:39:00.954 09/02/1996]',-0.083,-0.053,121.508,31.776,10.300,-0.314
'[10:39:00.956 09/02/1996]',-0.081,-0.048,121.508,31.776,10.300,-0.314
'[10:39:00.958 09/02/1996]',-0.079,-0.042,121.508,31.776,10.300,-0.314
'[10:39:00.960 09/02/1996]',-0.077,-0.038,123.769,32.302,10.363,-0.241
'[10:39:00.962 09/02/1996]',-0.076,-0.034,123.769,32.302,10.363,-0.241
'[10:39:00.964 09/02/1996]',-0.074,-0.029,123.769,32.302,10.363,-0.241
'[10:39:00.966 09/02/1996]',-0.072,-0.025,123.769,32.302,10.363,-0.241
'[10:39:00.968 09/02/1996]',-0.068,-0.021,123.719,32.652,10.537,-0.151
'[10:39:00.970 09/02/1996]',-0.064,-0.017,123.719,32.652,10.537,-0.151
'[10:39:00.972 09/02/1996]',-0.059,-0.013,123.719,32.652,10.537,-0.151
'[10:39:00.974 09/02/1996]',-0.054,-0.008,123.719,32.652,10.537,-0.151
'[10:39:00.976 09/02/1996]',-0.049,-0.004,122.060,32.827,10.825,-0.052
'[10:39:00.978 09/02/1996]',-0.044,0.001,122.060,32.827,10.825,-0.052
'[10:39:00.980 09/02/1996]',-0.040,0.004,122.060,32.827,10.825,-0.052
'[10:39:00.982 09/02/1996]',-0.036,0.008,122.060,32.827,10.825,-0.052
'[10:39:00.984 09/02/1996]',-0.031,0.010,119.598,32.952,11.238,0.061
'[10:39:00.986 09/02/1996]',-0.026,0.012,119.598,32.952,11.238,0.061
'[10:39:00.988 09/02/1996]',-0.021,0.013,119.598,32.952,11.238,0.061
'[10:39:00.990 09/02/1996]',-0.015,0.015,119.598,32.952,11.238,0.061
'[10:39:00.992 09/02/1996]',-0.011,0.017,117.035,32.952,11.713,0.178
'[10:39:00.994 09/02/1996]',-0.008,0.019,117.035,32.952,11.713,0.178
'[10:39:00.996 09/02/1996]',-0.006,0.021,117.035,32.952,11.713,0.178
'[10:39:00.998 09/02/1996]',-0.004,0.023,117.035,32.952,11.713,0.178
'[10:39:01.000 09/02/1996]',-0.002,0.024,114.472,32.952,12.175,0.293
'[10:39:01.002 09/02/1996]',0.000,0.025,114.472,32.952,12.175,0.293
'[10:39:01.004 09/02/1996]',0.001,0.025,114.472,32.952,12.175,0.293
'[10:39:01.006 09/02/1996]',0.001,0.026,114.472,32.952,12.175,0.293
'[10:39:01.008 09/02/1996]',0.002,0.025,112.211,32.702,12.700,0.406
'[10:39:01.010 09/02/1996]',0.003,0.024,112.211,32.702,12.700,0.406
'[10:39:01.012 09/02/1996]',0.003,0.022,112.211,32.702,12.700,0.406
'[10:39:01.014 09/02/1996]',0.003,0.021,112.211,32.702,12.700,0.406
'[10:39:01.016 09/02/1996]',0.003,0.019,109.899,32.252,13.225,0.514
'[10:39:01.018 09/02/1996]',0.003,0.018,109.899,32.252,13.225,0.514
'[10:39:01.020 09/02/1996]',0.004,0.016,109.899,32.252,13.225,0.514
'[10:39:01.022 09/02/1996]',0.004,0.014,109.899,32.252,13.225,0.514
'[10:39:01.024 09/02/1996]',0.005,0.013,107.487,31.651,13.762,0.610
'[10:39:01.026 09/02/1996]',0.007,0.013,107.487,31.651,13.762,0.610
'[10:39:01.028 09/02/1996]',0.009,0.012,107.487,31.651,13.762,0.610
'[10:39:01.030 09/02/1996]',0.012,0.011,107.487,31.651,13.762,0.610
'[10:39:01.032 09/02/1996]',0.013,0.011,104.774,31.001,14.225,0.693
'[10:39:01.034 09/02/1996]',0.015,0.011,104.774,31.001,14.225,0.693
'[10:39:01.036 09/02/1996]',0.017,0.013,104.774,31.001,14.225,0.693
'[10:39:01.038 09/02/1996]',0.018,0.014,104.774,31.001,14.225,0.693
'[10:39:01.040 09/02/1996]',0.019,0.015,101.658,30.550,14.525,0.758
'[10:39:01.042 09/02/1996]',0.020,0.016,101.658,30.550,14.525,0.758
'[10:39:01.044 09/02/1996]',0.020,0.017,101.658,30.550,14.525,0.758
'[10:39:01.046 09/02/1996]',0.020,0.017,101.658,30.550,14.525,0.758
'[10:39:01.048 09/02/1996]',0.019,0.019,98.040,30.125,14.575,0.810
'[10:39:01.050 09/02/1996]',0.019,0.021,98.040,30.125,14.575,0.810
'[10:39:01.052 09/02/1996]',0.018,0.024,98.040,30.125,14.575,0.810
'[10:39:01.054 09/02/1996]',0.018,0.026,98.040,30.125,14.575,0.810
'[10:39:01.056 09/02/1996]',0.018,0.030,94.070,29.775,14.350,0.847
'[10:39:01.058 09/02/1996]',0.018,0.035,94.070,29.775,14.350,0.847
'[10:39:01.060 09/02/1996]',0.018,0.040,94.070,29.775,14.350,0.847
'[10:39:01.062 09/02/1996]',0.018,0.045,94.070,29.775,14.350,0.847
'[10:39:01.064 09/02/1996]',0.018,0.049,89.598,29.249,13.988,0.869
'[10:39:01.066 09/02/1996]',0.018,0.053,89.598,29.249,13.988,0.869
'[10:39:01.068 09/02/1996]',0.018,0.056,89.598,29.249,13.988,0.869
'[10:39:01.070 09/02/1996]',0.018,0.058,89.598,29.249,13.988,0.869
'[10:39:01.072 09/02/1996]',0.018,0.059,84.874,28.674,13.525,0.878
'[10:39:01.074 09/02/1996]',0.018,0.059,84.874,28.674,13.525,0.878
'[10:39:01.076 09/02/1996]',0.018,0.058,84.874,28.674,13.525,0.878
'[10:39:01.078 09/02/1996]',0.017,0.057,84.874,28.674,13.525,0.878
'[10:39:01.080 09/02/1996]',0.016,0.056,80.101,28.073,13.050,0.874
'[10:39:01.082 09/02/1996]',0.015,0.055,80.101,28.073,13.050,0.874
'[10:39:01.084 09/02/1996]',0.015,0.054,80.101,28.073,13.050,0.874
'[10:39:01.086 09/02/1996]',0.014,0.053,80.101,28.073,13.050,0.874
'[10:39:01.088 09/02/1996]',0.014,0.053,75.678,27.673,12.588,0.856
'[10:39:01.090 09/02/1996]',0.014,0.053,75.678,27.673,12.588,0.856
'[10:39:01.092 09/02/1996]',0.014,0.053,75.678,27.673,12.588,0.856
'[10:39:01.094 09/02/1996]',0.014,0.054,75.678,27.673,12.588,0.856
'[10:39:01.096 09/02/1996]',0.014,0.054,71.960,27.548,12.175,0.829
'[10:39:01.098 09/02/1996]',0.014,0.055,71.960,27.548,12.175,0.829
'[10:39:01.100 09/02/1996]',0.013,0.056,71.960,27.548,12.175,0.829
'[10:39:01.102 09/02/1996]',0.013,0.056,71.960,27.548,12.175,0.829
'[10:39:01.104 09/02/1996]',0.012,0.057,69.296,27.598,11.825,0.951
'[10:39:01.106 09/02/1996]',0.011,0.058,69.296,27.598,11.825,0.951
'[10:39:01.108 09/02/1996]',0.010,0.059,69.296,27.598,11.825,0.951
'[10:39:01.110 09/02/1996]',0.009,0.059,69.296,27.598,11.825,0.951
'[10:39:01.112 09/02/1996]',0.008,0.059,67.889,27.848,11.588,0.900
'[10:39:01.114 09/02/1996]',0.007,0.058,67.889,27.848,11.588,0.900
'[10:39:01.116 09/02/1996]',0.004,0.058,67.889,27.848,11.588,0.900
'[10:39:01.118 09/02/1996]',0.000,0.058,67.889,27.848,11.588,0.900
'[10:39:01.120 09/02/1996]',-0.004,0.058,67.588,28.073,11.475,0.853
'[10:39:01.122 09/02/1996]',-0.007,0.058,67.588,28.073,11.475,0.853
'[10:39:01.124 09/02/1996]',-0.010,0.057,67.588,28.073,11.475,0.853
'[10:39:01.126 09/02/1996]',-0.013,0.056,67.588,28.073,11.475,0.853
'[10:39:01.128 09/02/1996]',-0.016,0.053,68.090,28.324,11.412,0.792
'[10:39:01.130 09/02/1996]',-0.019,0.050,68.090,28.324,11.412,0.792
'[10:39:01.132 09/02/1996]',-0.021,0.045,68.090,28.324,11.412,0.792
'[10:39:01.134 09/02/1996]',-0.023,0.041,68.090,28.324,11.412,0.792
'[10:39:01.136 09/02/1996]',-0.024,0.037,68.945,28.499,11.475,0.730
'[10:39:01.138 09/02/1996]',-0.025,0.033,68.945,28.499,11.475,0.730
'[10:39:01.140 09/02/1996]',-0.021,0.035,68.945,28.499,11.475,0.730
'[10:39:01.142 09/02/1996]',-0.018,0.037,68.945,28.499,11.475,0.730
'[10:39:01.144 09/02/1996]',-0.004,0.051,69.899,28.549,11.537,0.664
'[10:39:01.146 09/02/1996]',0.010,0.066,69.899,28.549,11.537,0.664
'[10:39:01.148 09/02/1996]',0.037,0.098,69.899,28.549,11.537,0.664
'[10:39:01.150 09/02/1996]',0.064,0.129,69.899,28.549,11.537,0.664
'[10:39:01.152 09/02/1996]',0.107,0.180,70.603,28.499,11.475,0.599
'[10:39:01.154 09/02/1996]',0.151,0.232,70.603,28.499,11.475,0.599
'[10:39:01.156 09/02/1996]',0.210,0.304,70.603,28.499,11.475,0.599
'[10:39:01.158 09/02/1996]',0.269,0.376,70.603,28.499,11.475,0.599
'[10:39:01.160 09/02/1996]',0.334,0.461,70.955,28.374,11.475,0.528
'[10:39:01.162 09/02/1996]',0.398,0.546,70.955,28.374,11.475,0.528
'[10:39:01.164 09/02/1996]',0.447,0.627,70.955,28.374,11.475,0.528
'[10:39:01.166 09/02/1996]',0.496,0.709,70.955,28.374,11.475,0.528
'[10:39:01.168 09/02/1996]',0.511,0.770,71.005,28.123,11.412,0.458
'[10:39:01.170 09/02/1996]',0.527,0.831,71.005,28.123,11.412,0.458
'[10:39:01.172 09/02/1996]',0.503,0.861,71.005,28.123,11.412,0.458
'[10:39:01.174 09/02/1996]',0.480,0.891,71.005,28.123,11.412,0.458
'[10:39:01.176 09/02/1996]',0.426,0.889,70.804,27.898,11.350,0.392
'[10:39:01.178 09/02/1996]',0.372,0.888,70.804,27.898,11.350,0.392
'[10:39:01.180 09/02/1996]',0.306,0.861,70.804,27.898,11.350,0.392
'[10:39:01.182 09/02/1996]',0.241,0.833,70.804,27.898,11.350,0.392
'[10:39:01.184 09/02/1996]',0.182,0.787,70.402,27.673,11.300,0.325
'[10:39:01.186 09/02/1996]',0.123,0.742,70.402,27.673,11.300,0.325
'[10:39:01.188 09/02/1996]',0.080,0.685,70.402,27.673,11.300,0.325
'[10:39:01.190 09/02/1996]',0.036,0.628,70.402,27.673,11.300,0.325
'[10:39:01.192 09/02/1996]',0.011,0.566,69.799,27.498,11.300,0.259
'[10:39:01.194 09/02/1996]',-0.015,0.504,69.799,27.498,11.300,0.259
'[10:39:01.196 09/02/1996]',-0.026,0.445,69.799,27.498,11.300,0.259
'[10:39:01.198 09/02/1996]',-0.038,0.386,69.799,27.498,11.300,0.259
'[10:39:01.200 09/02/1996]',-0.039,0.336,69.196,27.323,11.350,0.199
'[10:39:01.202 09/02/1996]',-0.040,0.286,69.196,27.323,11.350,0.199
'[10:39:01.204 09/02/1996]',-0.035,0.245,69.196,27.323,11.350,0.199
'[10:39:01.206 09/02/1996]',-0.030,0.205,69.196,27.323,11.350,0.199
'[10:39:01.208 09/02/1996]',-0.025,0.172,68.543,27.148,11.475,0.138
'[10:39:01.210 09/02/1996]',-0.021,0.140,68.543,27.148,11.475,0.138
'[10:39:01.212 09/02/1996]',-0.019,0.113,68.543,27.148,11.475,0.138
'[10:39:01.214 09/02/1996]',-0.018,0.086,68.543,27.148,11.475,0.138
'[10:39:01.216 09/02/1996]',-0.018,0.065,67.990,26.972,11.588,0.086
'[10:39:01.218 09/02/1996]',-0.018,0.044,67.990,26.972,11.588,0.086
'[10:39:01.220 09/02/1996]',-0.019,0.030,67.990,26.972,11.588,0.086
'[10:39:01.222 09/02/1996]',-0.020,0.016,67.990,26.972,11.588,0.086
'[10:39:01.224 09/02/1996]',-0.021,0.008,67.487,26.722,11.713,0.037
'[10:39:01.226 09/02/1996]',-0.022,0.000,67.487,26.722,11.713,0.037
'[10:39:01.228 09/02/1996]',-0.022,-0.004,67.487,26.722,11.713,0.037
'[10:39:01.230 09/02/1996]',-0.022,-0.009,67.487,26.722,11.713,0.037
'[10:39:01.232 09/02/1996]',-0.022,-0.011,67.035,26.447,11.762,-0.005
'[10:39:01.234 09/02/1996]',-0.022,-0.012,67.035,26.447,11.762,-0.005
'[10:39:01.236 09/02/1996]',-0.022,-0.011,67.035,26.447,11.762,-0.005
'[10:39:01.238 09/02/1996]',-0.022,-0.011,67.035,26.447,11.762,-0.005
'[10:39:01.240 09/02/1996]',-0.022,-0.009,66.633,26.072,11.887,-0.045
'[10:39:01.242 09/02/1996]',-0.023,-0.007,66.633,26.072,11.887,-0.045
'[10:39:01.244 09/02/1996]',-0.025,-0.006,66.633,26.072,11.887,-0.045
'[10:39:01.246 09/02/1996]',-0.027,-0.005,66.633,26.072,11.887,-0.045
'[10:39:01.248 09/02/1996]',-0.031,-0.006,66.080,25.721,11.938,-0.081
'[10:39:01.250 09/02/1996]',-0.035,-0.007,66.080,25.721,11.938,-0.081
'[10:39:01.252 09/02/1996]',-0.037,-0.008,66.080,25.721,11.938,-0.081
'[10:39:01.254 09/02/1996]',-0.040,-0.009,66.080,25.721,11.938,-0.081
'[10:39:01.256 09/02/1996]',-0.041,-0.011,65.628,25.371,11.938,-0.114
'[10:39:01.258 09/02/1996]',-0.042,-0.012,65.628,25.371,11.938,-0.114
'[10:39:01.260 09/02/1996]',-0.041,-0.013,65.628,25.371,11.938,-0.114
'[10:39:01.262 09/02/1996]',-0.040,-0.015,65.628,25.371,11.938,-0.114
'[10:39:01.264 09/02/1996]',-0.040,-0.015,65.126,25.196,12.000,-0.141
'[10:39:01.266 09/02/1996]',-0.040,-0.016,65.126,25.196,12.000,-0.141
'[10:39:01.268 09/02/1996]',-0.041,-0.018,65.126,25.196,12.000,-0.141
'[10:39:01.270 09/02/1996]',-0.041,-0.019,65.126,25.196,12.000,-0.141
'[10:39:01.272 09/02/1996]',-0.043,-0.021,64.623,25.321,12.062,-0.172
'[10:39:01.274 09/02/1996]',-0.044,-0.022,64.623,25.321,12.062,-0.172
'[10:39:01.276 09/02/1996]',-0.047,-0.022,64.623,25.321,12.062,-0.172
'[10:39:01.278 09/02/1996]',-0.050,-0.023,64.623,25.321,12.062,-0.172
'[10:39:01.280 09/02/1996]',-0.052,-0.023,64.020,25.796,12.000,-0.194
'[10:39:01.282 09/02/1996]',-0.054,-0.023,64.020,25.796,12.000,-0.194
'[10:39:01.284 09/02/1996]',-0.056,-0.025,64.020,25.796,12.000,-0.194
'[10:39:01.286 09/02/1996]',-0.057,-0.026,64.020,25.796,12.000,-0.194
'[10:39:01.288 09/02/1996]',-0.059,-0.028,63.417,26.447,11.887,-0.222
'[10:39:01.290 09/02/1996]',-0.060,-0.030,63.417,26.447,11.887,-0.222
'[10:39:01.292 09/02/1996]',-0.061,-0.030,63.417,26.447,11.887,-0.222
'[10:39:01.294 09/02/1996]',-0.062,-0.030,63.417,26.447,11.887,-0.222
'[10:39:01.296 09/02/1996]',-0.062,-0.030,62.915,26.897,11.650,-0.241
'[10:39:01.298 09/02/1996]',-0.063,-0.031,62.915,26.897,11.650,-0.241
'[10:39:01.300 09/02/1996]',-0.064,-0.033,62.915,26.897,11.650,-0.241
'[10:39:01.302 09/02/1996]',-0.064,-0.034,62.915,26.897,11.650,-0.241
'[10:39:01.304 09/02/1996]',-0.065,-0.037,62.412,26.897,11.350,-0.267
'[10:39:01.306 09/02/1996]',-0.066,-0.040,62.412,26.897,11.350,-0.267
'[10:39:01.308 09/02/1996]',-0.067,-0.044,62.412,26.897,11.350,-0.267
'[10:39:01.310 09/02/1996]',-0.068,-0.049,62.412,26.897,11.350,-0.267
'[10:39:01.312 09/02/1996]',-0.070,-0.053,62.111,26.447,11.300,-0.287
'[10:39:01.314 09/02/1996]',-0.073,-0.058,62.111,26.447,11.300,-0.287
'[10:39:01.316 09/02/1996]',-0.075,-0.062,62.111,26.447,11.300,-0.287
'[10:39:01.318 09/02/1996]',-0.078,-0.067,62.111,26.447,11.300,-0.287
'[10:39:01.320 09/02/1996]',-0.080,-0.071,62.111,25.847,11.537,-0.309
'[10:39:01.322 09/02/1996]',-0.082,-0.075,62.111,25.847,11.537,-0.309
'[10:39:01.324 09/02/1996]',-0.084,-0.079,62.111,25.847,11.537,-0.309
'[10:39:01.326 09/02/1996]',-0.085,-0.083,62.111,25.847,11.537,-0.309
'[10:39:01.328 09/02/1996]',-0.087,-0.086,62.714,25.621,12.000,-0.325
'[10:39:01.330 09/02/1996]',-0.089,-0.090,62.714,25.621,12.000,-0.325
'[10:39:01.332 09/02/1996]',-0.091,-0.093,62.714,25.621,12.000,-0.325
'[10:39:01.334 09/02/1996]',-0.093,-0.096,62.714,25.621,12.000,-0.325
'[10:39:01.336 09/02/1996]',-0.095,-0.098,64.322,26.197,12.475,-0.343
'[10:39:01.338 09/02/1996]',-0.096,-0.099,64.322,26.197,12.475,-0.343
'[10:39:01.340 09/02/1996]',-0.097,-0.099,64.322,26.197,12.475,-0.343
'[10:39:01.342 09/02/1996]',-0.098,-0.099,64.322,26.197,12.475,-0.343
'[10:39:01.344 09/02/1996]',-0.098,-0.099,67.538,27.423,12.875,-0.357
'[10:39:01.346 09/02/1996]',-0.097,-0.099,67.538,27.423,12.875,-0.357
'[10:39:01.348 09/02/1996]',-0.098,-0.099,67.538,27.423,12.875,-0.357
'[10:39:01.350 09/02/1996]',-0.098,-0.099,67.538,27.423,12.875,-0.357
'[10:39:01.352 09/02/1996]',-0.099,-0.099,72.915,28.949,13.113,-0.367
'[10:39:01.354 09/02/1996]',-0.099,-0.099,72.915,28.949,13.113,-0.367
'[10:39:01.356 09/02/1996]',-0.100,-0.100,72.915,28.949,13.113,-0.367
'[10:39:01.358 09/02/1996]',-0.100,-0.100,72.915,28.949,13.113,-0.367
'[10:39:01.360 09/02/1996]',-0.102,-0.101,80.553,30.250,13.287,-0.372
'[10:39:01.362 09/02/1996]',-0.103,-0.102,80.553,30.250,13.287,-0.372
'[10:39:01.364 09/02/1996]',-0.105,-0.103,80.553,30.250,13.287,-0.372
'[10:39:01.366 09/02/1996]',-0.107,-0.105,80.553,30.250,13.287,-0.372
'[10:39:01.368 09/02/1996]',-0.108,-0.107,89.849,31.126,13.287,-0.365
'[10:39:01.370 09/02/1996]',-0.110,-0.109,89.849,31.126,13.287,-0.365
'[10:39:01.372 09/02/1996]',-0.111,-0.111,89.849,31.126,13.287,-0.365
'[10:39:01.374 09/02/1996]',-0.112,-0.112,89.849,31.126,13.287,-0.365
'[10:39:01.376 09/02/1996]',-0.113,-0.112,99.698,31.526,13.350,-0.352
'[10:39:01.378 09/02/1996]',-0.113,-0.112,99.698,31.526,13.350,-0.352
'[10:39:01.380 09/02/1996]',-0.114,-0.111,99.698,31.526,13.350,-0.352
'[10:39:01.382 09/02/1996]',-0.114,-0.110,99.698,31.526,13.350,-0.352
'[10:39:01.384 09/02/1996]',-0.114,-0.107,108.844,31.877,13.412,-0.322
'[10:39:01.386 09/02/1996]',-0.113,-0.105,108.844,31.877,13.412,-0.322
'[10:39:01.388 09/02/1996]',-0.111,-0.103,108.844,31.877,13.412,-0.322
'[10:39:01.390 09/02/1996]',-0.109,-0.102,108.844,31.877,13.412,-0.322
'[10:39:01.392 09/02/1996]',-0.105,-0.101,116.181,32.427,13.588,-0.282
'[10:39:01.394 09/02/1996]',-0.101,-0.099,116.181,32.427,13.588,-0.282
'[10:39:01.396 09/02/1996]',-0.097,-0.098,116.181,32.427,13.588,-0.282
'[10:39:01.398 09/02/1996]',-0.092,-0.097,116.181,32.427,13.588,-0.282
'[10:39:01.400 09/02/1996]',-0.086,-0.094,121.156,33.053,13.637,-0.227
'[10:39:01.402 09/02/1996]',-0.080,-0.091,121.156,33.053,13.637,-0.227
'[10:39:01.404 09/02/1996]',-0.075,-0.086,121.156,33.053,13.637,-0.227
'[10:39:01.406 09/02/1996]',-0.071,-0.082,121.156,33.053,13.637,-0.227
'[10:39:01.408 09/02/1996]',-0.068,-0.076,123.668,33.653,13.525,-0.151
